rank	username	minecraft:picked_up/minecraft:cobbled_deepslate_wall
1	EMC_	674
2	Kubelz	189
3	Jackattack53	144
4	tuckerdoodle	142
5	Mr_Byzantine	109
6	PlasticOtari	81
7	Smoke____	63
8	mihimihimihi	52
9	corvidpartyfor6	43
10	groofles	33
11	dartwaffle	29
11	mobunni	29
13	Wowful	27
14	AltnumberF4	24
15	pintsizedrogue	23
16	CoffeeNoir	22
17	Megarboh	13
18	Sleepy_Time_	9
19	00000000-0000-0000-0009-01ff0c3e5e4f	8
20	Mahoose	7
20	jessewegottacook	7
20	TheSecondLord	7
20	prizm_	7
24	Smashic	6
25	Huwulling	5
25	Mattesco	5
25	Jimb0nat0r	5
28	Ev0luti0nz	4
28	MrKrabOnCoke	4
30	lorpus	3
31	Mookle96	2
31	Moofyman	2
31	weabis	2
31	00000000-0000-0000-0009-01f073f37a91	2
35	k_ce	1
35	Blackberry1310	1
35	Crowman1	1
35	thewindmillman	1
35	luseis	1
35	Fuad_R	1
35	SpacesickPrism	1
