rank	username	minecraft:picked_up/minecraft:raw_iron
271	skonos	43
274	08061945	42
274	majlin16	42
276	_Razar	41
276	Skippeh	41
278	joethahobo	40
278	XLIFluid	40
278	Issachan	40
278	Skylord_Luke	40
278	Living_Storms	40
278	ATurtle4936	40
278	SprinklerMan	40
285	Lil_Breadboy	39
286	iElijah	38
286	738b4f65-6cbd-4ead-ba31-c14211abfb06	38
286	Momomia1997	38
289	MoistEggo	37
289	MrQuanQuan	37
291	floodjon	34
291	A_Potatoe	34
291	Bonzaidalek	34
294	BINKENSTOCK	32
295	Lilinaya17	31
295	eviltunix	31
297	Xalithia	30
298	Tino666	29
298	EtherealSilveon	29
298	somegirl12_	29
