rank	username	minecraft:picked_up/minecraft:chorus_flower
1	m_be9	2176
2	Smoke____	2103
3	xxPipperDipperxx	1268
4	thewindmillman	682
5	beeperbeeper5	594
6	TheShyPig	548
7	PigDab	427
8	El_Jalapeno	424
9	UrbanPlanningEx	374
10	6king6colt6	300
11	luseis	259
12	ProfessorBee	256
13	ProbablyNick	142
14	ZaneABrain	134
15	brofrickcheaters	124
16	Marbz_	104
16	Nicserso	104
18	bloodbiter	101
19	Arceus1975	100
20	PhantomsGhost_	96
21	diggydog67	95
22	HellsSponge	92
23	Blaiku	90
24	Lez_	80
25	lordpipe	77
26	pintsizedrogue	74
27	Fullut	64
27	pixelviolin	64
29	Mahoose	61
30	MakeHistory157	60
31	kekhon	59
31	TheEnderMan548	59
33	joethahobo	53
33	crying_wolf_13	53
33	Hyp3rion_	53
36	Jackattack53	51
37	LexMakesHistory	49
37	Ezekson	49
39	Zoeyfortnite	47
40	MyNameIsJobo	43
41	Kubeusz2010	38
42	Kowcio_	36
43	Prodiginus	34
43	claivin	34
45	SaucyDark	33
45	fkGrim	33
45	sp00ky_ghost977	33
48	Shogunite	32
48	Spacewardharpy7	32
50	fanofbands101	30
51	Legendosh	29
52	Eraxa	28
52	RealGroot	28
54	DTwenty	27
54	Dogcorn69420	27
56	Xalithia	26
57	Steelynan	24
58	ooga47	23
58	Akoot_	23
60	ShedJr_	22
60	Blu3beast	22
60	Airem_Core	22
63	MattieHD	21
63	PlasticOtari	21
65	Werbe	20
65	RobotMinion101	20
67	Kyrum2169	19
68	FreakGenius	18
68	TechnoNinja64	18
70	Kakolbus	17
70	XxCookiequeenxX	17
70	MineMaster0012	17
73	Maenara	15
74	iSammael	14
75	Ailmast	12
75	KomputerDude	12
75	Razzgriz	12
75	Quotary	12
79	H0UNDFRMH3LL	11
80	UncreativeArtist	10
81	Batman922	9
81	ehunt54	9
81	Hisiste	9
84	jushykins	8
84	500am	8
84	RoofTyler	8
84	Jimb0nat0r	8
84	JayToe	8
89	thebaddruid	7
89	Professor_x8	7
91	Mewar	6
91	SellyZ	6
93	Merv__	5
93	12Magner05	5
93	SteveCraftBlocks	5
93	noam464	5
93	SuperPooch06	5
93	Xclax101	5
93	wwwwinnebagoooo	5
93	Soplight	5
93	Hermanni__	5
102	Apollo_993	4
102	SammiWolfGirl	4
102	Skippeh	4
105	eitanzaki	3
105	Euclidoris	3
105	Blackberry1310	3
105	PegLegPete93	3
105	Windo_licker	3
105	legal_tax_evader	3
105	ApophisNova	3
105	ItsJWolff	3
105	xzvu	3
105	striker90333	3
105	MyNamaSheff	3
116	Groovy_MoonBird	2
116	FazeObama69	2
116	EMC_	2
116	bigstankyy	2
116	rarrq	2
116	xPixelRainx	2
116	TheSecondLord	2
116	redikul	2
116	set67	2
116	M_Patata	2
116	Zaridey	2
116	gabriels543	2
116	SlayerCrypto	2
116	Rebytre	2
116	iElijah	2
116	wfk7	2
116	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
116	epiksk8erduck	2
116	TheTrueClipse	2
116	Dusk_95	2
116	MasterNueve	2
116	33sudo	2
116	PortlyPete69	2
116	Iamthejo	2
116	h2p_emrld	2
116	00000000-0000-0000-0009-01f6557d802a	2
142	Sleek_Storm_721	1
142	KarlKaek	1
142	Hpdinosaur	1
142	RebelAndroid	1
142	jessewegottacook	1
142	Historical_Sand	1
142	Ssor69	1
142	heckface	1
142	Boboczus	1
142	Awyrlas	1
142	himak1	1
142	ROY4LE	1
142	Covalents	1
142	shadowthemonkey	1
142	burbankbuilder28	1
142	Donutt	1
142	SilentSebast	1
142	BRRRN179	1
142	Ender_Souls	1
142	ougstur	1
142	Leyna3	1
142	ADEXTV	1
142	Wowful	1
142	bpmm	1
142	Fuhrer_Teemo	1
142	MAns_44	1
142	Nycteus_	1
142	Groundler	1
142	mihimihimihi	1
142	WyngGoy	1
142	Ze_BaronKrigler	1
142	YungMaki	1
142	Sheldor097	1
142	LeeMcGee30	1
142	mawileite	1
142	MilleGrug	1
142	HesDemonPants	1
142	jnp_gaming	1
