rank	username	minecraft:picked_up/minecraft:stripped_jungle_wood
1	noam464	292
2	Mattesco	195
3	joethahobo	107
4	KingMatthew506	80
5	beeperbeeper5	40
6	Jimb0nat0r	38
7	Mahoose	37
8	PigDab	16
9	Groundler	9
10	SammiWolfGirl	4
11	ConnorDanky_	3
12	Kowcio_	2
13	CollinMH06	1
13	Manaateee	1
13	Kferno	1
