rank	username	minecraft:picked_up/minecraft:poppy
1	thewindmillman	226590
2	noam464	52909
3	Quotary	11829
4	HellsSponge	10576
5	thescout7	8986
6	Werbe	8568
7	Smoke____	8358
8	Hisiste	7308
9	eitanzaki	6125
10	beeperbeeper5	5453
11	Spacewardharpy7	4556
12	TheSeismicDuck	3796
13	Blaiku	3653
14	Di_infiri	3388
15	ayamefag	2997
16	Kakolbus	2915
17	Mahoose	2892
18	PlasticOtari	2868
19	TechnoNinja64	2502
20	obzii	2489
21	Groovy_MoonBird	2437
22	EveryonesUncle	2403
23	xxPipperDipperxx	2265
24	Inbefour	2248
25	oxfordschool	2179
26	MightyWertu	2144
27	El_Jalapeno	2109
28	Freak_Genius	2041
29	TheShyPig	1907
30	Skippeh	1682
31	SkateboardR6	1524
32	cedric72	1448
33	The_slideV3	1444
34	Blackberry1310	1435
35	kekhon	1330
36	Hyp3rion_	1271
37	Legendosh	1226
38	DarlaMeow	1149
39	Frozil12	1119
40	ItzWqlfy	1110
41	WyngGoy	1034
42	jnp_gaming	1009
43	PhantomsGhost_	985
44	Jordan_R	955
45	sebastiensaborio	943
46	YungMaki	914
47	PigDab	896
48	lillips	893
49	audiocracked	840
50	Njensen7	806
51	Jackattack53	775
52	Ezekson	772
53	Onennon	758
54	Arceus1975	756
55	LordSpeed37	667
56	r123moore	607
57	youhjjhhhjj	581
58	lordpipe	572
59	Groundler	542
60	PeteO1995	518
61	Lord_Jord	517
62	500am	511
63	Weepingbiel	499
64	Fullut	498
65	pintsizedrogue	485
66	bloodbiter	452
67	Blu3beast	445
68	Quaintster	436
69	_Dean_123	433
69	07shiny	433
71	stahouo	429
72	ROY4LE	424
73	ApophisNova	403
73	MyNamaSheff	403
75	ImpavidArcher	386
76	EcksDofficial	377
77	joethahobo	363
78	Nicserso	362
79	burbankbuilder28	360
80	epiksk8erduck	343
81	Bumpy419	338
82	Akoot_	337
83	Snowflowe	329
84	Sral7	320
85	Wolverine4302	315
86	lcvezra	308
87	PortlyPete69	305
88	DemTechAlpha	294
89	rarrq	288
90	Merv__	287
91	MousePlays	285
92	Rasmanden	284
93	Eraxa	268
94	Nicky_H225	261
95	claivin	260
96	_Nuf	258
97	Kowcio_	250
97	Soplight	250
99	m_be9	239
100	KartivGal	231
101	Warlord324	225
102	Hoid_the_Roamer	215
103	Lowjinx	212
104	The_SlideV5	210
105	mariominejedi	209
106	MyNameIsJobo	208
107	wezzzi	204
108	Zythose	200
109	Skylord_Luke	198
110	IAmTheWalrus910	194
111	Octatrack	192
112	KarlKaek	190
113	redikul	187
113	vampgey	187
113	Racengan	187
116	SSytex_X	179
116	SammiWolfGirl	179
118	fluddd	177
119	XboxPanda	175
120	Killswitch_RW	171
120	Enderslayerxz3	171
122	CoffeeNoir	168
123	Froste131	162
123	AnnieBathory	162
125	TheSecondLord	160
126	Menthas	158
126	SaucyDark	158
126	oreee	158
126	Malorn_Aetherius	158
130	BlancoFlaco	155
131	Jovaphobic	153
132	ShedJr_	148
133	SuperPooch06	145
134	sp00ky_ghost977	142
135	Rox_The_Box	141
136	Rumpletaezer	140
136	Cyntrical	140
138	Inchef	138
139	Dusk_95	137
140	h2p_emrld	136
141	masskedman	135
142	Notta	134
142	p4lp	134
144	MattieHD	128
144	SirBreadward	128
146	Cowison	127
146	EMC_	127
148	TheDankPlatypus	125
148	EcksD	125
150	Bandito_Roamer	124
150	Miko_Fullbuster	124
152	Mistruth	123
152	djancak	123
154	Winklepicker279	120
155	anbbang	119
156	TruGuire	117
156	MyNameIsDakar	117
158	Sleek_Storm_721	114
158	NomadicRobin_	114
160	Truckoss	113
161	beeleg	110
162	Zoeyfortnite	109
163	RosaDoesMC	108
164	Deathkob	107
164	GlitchyPlate810	107
166	Windo_licker	106
166	MangoTheFish	106
168	remmisrat	104
169	Hiryu27	101
169	_Karmaa	101
171	toetagnyc	100
171	Quincannon	100
173	jacxhadow	97
174	mountaingirl311	96
175	wobn	95
176	diamondgolem35	94
177	proxivitoid	92
178	KingMatthew506	91
179	Meatlaugh	90
180	hcb238	89
181	Wolf_Mauler_73	87
181	mwrty	87
183	Historical_Sand	86
183	loveseeker	86
183	Airem_Core	86
186	chipklip	84
186	GravitySaint	84
186	jcool7	84
189	G1ldor	83
189	himak1	83
189	Kubeusz2010	83
189	smogfrog	83
193	set67	82
193	pappaberg	82
193	_k2x	82
196	Euclidoris	81
196	MovingFish7	81
198	sufjanlover	80
199	Yatitay	79
199	Covalents	79
199	Hermanni__	79
202	LovelyDane	78
202	Xclax101	78
204	surfinggiraffejp	77
204	2Stout	77
204	_Boipl_	77
204	__tomato	77
208	12Magner05	76
209	theonlymagikarp	75
209	mimbo1211	75
209	tobinwilliams	75
209	_TCARREIRA_	75
213	Iagoku	74
213	awesomeoneme	74
213	emrekn	74
213	Cocoamallows	74
217	PegLegPete93	73
217	Chromary	73
217	Sheldor097	73
220	T045RTY	72
220	_zzoe	72
220	starbits140	72
220	HesDemonPants	72
220	diggydog67	72
225	Kynigito	71
226	_Bguette_	70
227	KeruNatsema	69
227	fffMike	69
227	RadarHz	69
230	Cortexia	68
230	SellyZ	68
230	CharlieButt	68
230	Luigipunch989	68
230	kinas45y5	68
235	DangusCnt	66
235	Dnulgreb	66
235	Dali1465	66
235	RobotMinion101	66
235	Kristofian	66
235	_3Stump_	66
241	Karetoko	65
241	The11thDoctor	65
243	l1dkv	64
243	titanlax	64
243	orxngejuice	64
243	AJplaysMC_	64
243	FishyBoy3811	64
248	MAns_44	63
248	RedcatVII	63
250	Spenduh	60
251	Ozixar	59
