rank	username	minecraft:picked_up/minecraft:turtle_egg
1	Racengan	2643
2	500am	1283
3	thewindmillman	1236
4	Mahoose	909
5	joethahobo	521
6	legal_tax_evader	493
7	MilleGrug	423
8	kekhon	417
9	Apollo_993	316
10	Arceus1975	277
11	AdmiralSmoke	272
12	h2p_emrld	241
13	Bumpy419	212
14	ApophisNova	179
14	MyNamaSheff	179
16	HellsSponge	177
17	PigDab	171
18	SmashingPump	150
19	Blackberry1310	138
20	SSytex_X	121
21	Werbe	110
21	TheShyPig	110
23	JayToe	108
24	noam464	103
25	Maenara	100
26	youhjjhhhjj	99
26	Deathkob	99
26	FreakGenius	99
29	lcvezra	96
30	H72l9w	88
31	Eraxa	87
32	eitanzaki	79
33	T045RTY	77
34	NomadicRobin_	69
35	SaucyDark	66
35	EfficientC52	66
37	SammiWolfGirl	65
38	wTXop	64
39	eiC_	62
40	Huic_ostiarius	61
41	TechnoNinja64	60
42	Fizznut909	58
43	pintsizedrogue	56
43	RebelAndroid	56
45	YungMaki	50
46	zToasty69z	45
47	DanTheBuilderino	44
47	Kura2218	44
49	Fullut	42
49	Marbz_	42
49	oscminus	42
52	Hyugo	41
53	Comma__	39
53	Spacewardharpy7	39
55	claivin	38
56	xxPipperDipperxx	36
56	Nicserso	36
58	Sheldor097	35
59	MightyWertu	34
60	beeperbeeper5	33
60	titanlax	33
62	Akoot_	31
63	luseis	30
64	Bandito_Roamer	29
64	AuroraValkyrie	29
64	Saucepeh	29
64	Jackattack53	29
68	Manaateee	27
69	thescout7	25
70	Jovaphobic	24
70	Frozil20	24
70	Legendosh	24
73	Nicky_H225	23
74	ewsophie	21
74	Nyxiom_	21
74	Hiryu27	21
74	Luigipunch989	21
78	Rasmanden	20
78	Zoeyfortnite	20
80	diggydog67	19
81	chlorinex	18
81	wezzzi	18
81	DarlaMeow	18
81	Steelynan	18
85	ConnorDanky_	17
86	_darky1_	16
86	livingdaydreams	16
86	Kakolbus	16
86	Onennon	16
86	2blox_	16
91	hollowww	15
91	Eczbox	15
91	Eczbek	15
94	CLG_Kata	14
94	LexMakesHistory	14
94	QueenShuvi	14
97	ImpavidArcher	13
97	rarrq	13
97	EveryonesUncle	13
97	IAmTheWalrus910	13
101	r123moore	12
101	Hahaa_0	12
101	El_Jalapeno	12
101	Soplight	12
105	_Virify_	11
105	eviltunix	11
105	Xclax101	11
108	ShedJr_	10
108	Da_Boss_Rani	10
108	TheSecondLord	10
108	mihimihimihi	10
108	Kowcio_	10
108	__tomato	10
108	EngagedGrub41	10
108	vandmanden	10
116	12Magner05	9
116	ROY4LE	9
116	NameGenerat0r	9
116	Hisiste	9
116	krutas2000	9
116	LeeMcGee30	9
116	Skippeh	9
123	m_be9	8
123	HyperCave	8
123	Kubeusz2010	8
126	k_ce	7
126	diamondgolem35	7
126	SuperPooch06	7
126	ooga47	7
126	theofiel	7
126	stavgod	7
126	_TCARREIRA_	7
126	PortlyPete69	7
126	CalebDHawk	7
126	Quotary	7
136	hm947	6
136	SquadMonster	6
136	Stynxy	6
136	NieToksikpl	6
136	yheece	6
136	The11thDoctor	6
136	AstreaTSS	6
143	JohnnyFyes	5
143	Ryan_GEMS	5
143	Tolhart	5
143	oreee	5
143	Xalithia	5
143	RobotMinion101	5
143	SingedBread	5
143	xolstoi	5
151	Archsam	4
151	jacxhadow	4
151	bloodbiter	4
151	SteveCraftBlocks	4
151	Paintz	4
151	Chromary	4
151	Reneedium	4
151	pappaberg	4
151	XxCookiequeenxX	4
151	Blu3beast	4
151	Typadopoulos	4
151	WyngGoy	4
151	obzii	4
151	reaperface123	4
151	smogfrog	4
151	Powowowow	4
151	Jimb0nat0r	4
168	PhantomsGhost_	3
168	ECstardust	3
168	gren_ben	3
168	Euclidoris	3
168	Kamflame10	3
168	mwrty	3
168	Covalents	3
168	Di_infiri	3
168	Queen_Jalapeno	3
168	LeonelSalamanca	3
168	TheSeismicDuck	3
168	_Bguette_	3
168	Fildyr	3
168	LazySupport00	3
168	Druid95	3
168	sp00ky_ghost977	3
168	Segotep999	3
168	Ezekson	3
168	EcksD	3
168	HesDemonPants	3
168	PlasticOtari	3
189	tuckerdoodle	2
189	KomputerDude	2
189	lorpus	2
189	Inchef	2
189	Hyp3rion_	2
189	Zythose	2
189	Krowuss	2
189	Azmodan_246	2
189	Donutt	2
189	Rebytre	2
189	Voxin2K	2
189	Truckoss	2
189	Jonte0599	2
189	AuroraSkies	2
189	Inbefour	2
189	Deodorante	2
189	_Karmaa	2
189	lordpipe	2
189	Soul_Atreus	2
189	xX_Stalin69_Xx	2
209	LoganDSA	1
209	Alteriity	1
209	Lez_	1
209	Cryptacity	1
209	MattieHD	1
209	tobinwilliams	1
209	ogoa	1
209	yulgur1	1
209	Tyrannosplart	1
209	The_slideV3	1
209	Bloo2406	1
209	fluddd	1
209	Groundler	1
209	iSammael	1
209	Kyrum2169	1
209	Drawgirl	1
