rank	username	minecraft:picked_up/minecraft:glowstone
1	thewindmillman	852018
2	noam464	31955
3	EcksD	29699
4	Werbe	4374
5	Spacewardharpy7	3938
6	beeperbeeper5	3445
7	YungMaki	2898
8	HellsSponge	2564
9	lordpipe	2455
10	Frozil12	2277
11	eitanzaki	2089
12	lillips	2058
13	TheSecondLord	2056
14	TheShyPig	1919
15	Xclax101	1670
16	Blackberry1310	1612
17	Blaiku	1371
18	joethahobo	1369
19	Fullut	1333
20	wwwwinnebagoooo	1246
21	pintsizedrogue	1217
22	Zythose	1173
23	Legendosh	1074
24	kekhon	995
25	Freak_Genius	985
26	SuperPooch06	967
27	500am	900
28	Hyp3rion_	890
29	Maenara	878
30	m_be9	852
31	Smoke____	743
32	Enderslayerxz3	742
33	Franco093	684
34	MyNameIsJobo	673
35	diggydog67	612
36	RatatJuice	566
37	TheSeismicDuck	555
38	Winklepicker279	553
39	PigDab	531
40	Akoot_	519
41	Blu3beast	514
42	Mahoose	499
43	TechnoNinja64	489
44	301851	486
45	ApophisNova	483
45	MyNamaSheff	483
47	lcvezra	455
48	Sral7	448
49	andy_rex	440
50	Di_infiri	411
51	Rumpletaezer	400
52	Steelynan	398
53	CruncyIsTaken	397
54	wezzzi	396
54	Skippeh	396
56	Snowflowe	385
57	Kouridragon	384
58	Groundler	383
59	MilleGrug	382
60	vandmanden	379
61	Incinere	374
62	Hisiste	371
63	ROY4LE	369
64	Ssor69	363
64	Kakolbus	363
66	_Karmaa	356
67	Barlycorn	339
68	Ezekson	338
69	PlasticOtari	331
70	El_Jalapeno	330
71	Myszoaz	325
72	Valoth	323
73	CoffeeNoir	320
74	Vorlice	313
75	Typadopoulos	308
76	StinkyDiplomat	280
77	Solar_Power	268
78	Jovaphobic	259
79	CliffEmAll	258
80	anbbang	246
81	Soplight	240
82	r123moore	238
83	Inchef	236
84	SDMNAEK	229
84	_Dean_123	229
86	NotMeowMix	227
86	Dusk_95	227
88	Racengan	224
88	CalebDHawk	224
90	Inbefour	216
90	oxfordschool	216
92	jcool7	215
93	RyuNeko932000	213
94	PhantomsGhost_	207
95	mwrty	202
95	Bumpy419	202
95	Miko_Fullbuster	202
98	MightyWertu	200
99	Zoeyfortnite	199
100	King_Pancake1	197
100	_naturell	197
102	TooManyDuck	196
102	groofles	196
102	NameGenerat0r	196
102	Eraxa	196
102	JayToe	196
107	Arceus1975	195
108	BodaciousCake	194
109	NomadicRobin_	193
110	titanlax	183
111	ShedJr_	180
111	Marbz_	180
113	__Fanda__	178
113	JESS_THE_RERE	178
115	Mattesco	172
116	jacxhadow	170
117	thescout7	166
118	Bandito_Roamer	164
119	NoChumpChange	157
120	_Yonk_	154
121	Lowjinx	153
122	MakeHistory157	152
123	Donutt	149
124	Paintz	146
125	Cowison	144
125	censorsheep	144
127	SammiWolfGirl	143
128	claivin	141
129	Historical_Sand	140
129	PortlyPete69	140
131	MattieHD	136
132	selectrix	135
133	Sky_light_KING	133
133	Jij0	133
135	pappaberg	130
136	rarrq	129
136	Deathkob	129
136	07shiny	129
139	xxPipperDipperxx	128
139	h2p_emrld	128
141	TheTrueClipse	126
141	The_slideV3	126
143	SSytex_X	125
144	XeroByMyth	124
144	Kowcio_	124
146	Skylord_Luke	123
147	fluddd	118
148	Zaridey	117
149	cwartzo	116
150	Huwulling	111
150	stellarjay	111
152	FlashMigma	108
152	mawileite	108
154	livingdaydreams	106
155	Razzgriz	104
155	Segotep999	104
157	Cocoamallows	103
158	Wolverine4302	102
159	SvenskaHugo	101
160	bigstankyy	97
161	XboxPanda	96
162	Cortexia	95
162	SingedBread	95
164	leaf26	94
165	SaucyDark	93
165	EveryonesUncle	93
167	RebelAndroid	92
167	EcksDofficial	92
169	Corbsman	91
170	MSK__	90
170	microcrisp	90
172	surfinggiraffejp	86
173	Merv__	83
173	T045RTY	83
173	ori0le	83
173	Kubeusz2010	83
177	yulgur1	81
178	diamondgolem35	80
178	IWorkAtIkea	80
178	Nycteus_	80
181	DarlaMeow	79
182	Megarboh	78
183	Scathra	76
184	wobn	75
185	orxngejuice	74
