rank	username	minecraft:picked_up/minecraft:black_concrete_powder
1	Miko_Fullbuster	15572
2	thewindmillman	13078
3	joethahobo	10670
4	lillips	10120
5	PigDab	9891
6	mihimihimihi	9377
7	EveryonesUncle	7472
8	Di_infiri	5764
9	Werbe	4844
10	jnp_gaming	3996
11	thescout7	2768
12	Mahoose	2127
13	Tolhart	1779
14	emrekn	1099
15	Swexti	1024
16	Blaiku	919
17	beeperbeeper5	801
18	LordSpeed37	698
19	noam464	527
20	Frozil20	451
21	Franco093	448
22	Akoot_	399
23	oxfordschool	386
24	HellsSponge	363
25	eitanzaki	336
26	ooga47	319
27	Inchef	297
28	teslawolf38	278
29	YungMaki	263
30	Hyp3rion_	252
31	I_Am_Mushkin	200
32	xxPipperDipperxx	192
33	Blackberry1310	164
34	iSammael	161
35	h2p_emrld	154
36	Hiryu27	132
37	TeenMomTom	128
38	1442	127
38	anbbang	127
40	kekhon	119
41	Elprone266	116
42	TheSecondLord	111
43	Smoke____	103
44	The_slideV3	101
45	_Karmaa	99
46	Motsaro	98
46	CollinMH06	98
48	lordpipe	97
49	The_SlideV5	89
50	MilleGrug	86
51	seramalen	77
52	SkateboardR6	73
53	NotTrixi	71
54	500am	68
55	sp00ky_ghost977	66
56	m_be9	64
57	titanlax	59
58	Spacewardharpy7	56
59	AnnieBathory	51
60	pintsizedrogue	41
60	Fullut	41
62	El_Jalapeno	39
63	fluddd	36
64	Nicserso	27
65	Maenara	24
66	r123moore	18
67	pixelviolin	16
68	Jokerman369	15
68	Freak_Genius	15
70	TheBiggestFeller	14
70	valkam13	14
72	M_Patata	13
72	MasterNueve	13
74	fr_ser	12
74	PlasticOtari	12
76	starbits140	11
77	Kamflame10	10
77	Deathkob	10
79	Leyna3	9
80	himak1	8
80	burbankbuilder28	8
80	NameGenerat0r	8
80	SingedBread	8
84	Racengan	6
84	TheEnderman548	6
84	PortlyPete69	6
87	BlancoFlaco	5
87	BobDeBouwer1337	5
87	ROY4LE	5
87	Truckoss	5
91	Merv__	4
91	rarrq	4
91	AJplaysMC_	4
91	Onennon	4
91	audiocracked	4
91	chipklip	4
91	Sheldor097	4
91	Powowowow	4
99	The11thDoctor	3
99	RedcatVII	3
99	WyngGoy	3
99	Segotep999	3
99	PlzNoBM	3
99	TechnoNinja64	3
105	Tobinator_007	2
105	Drlzyy	2
105	KarlKaek	2
105	Iagoku	2
105	Absova	2
105	Snowflowe	2
105	cedric72	2
105	TheShyPig	2
105	ogoa	2
105	ese_wn_po	2
105	claivin	2
105	Optiprimus	2
105	SSytex_X	2
105	Spenduh	2
105	Skippeh	2
105	EcksD	2
121	MunkaKris	1
121	xXTheWolfmanXx	1
121	bigstankyy	1
121	CoffeeNoir	1
121	Huwulling	1
121	Crowman1	1
121	MattieHD	1
121	Xalithia	1
121	TheDankPlatypus	1
121	Jackattack53	1
121	SuperPooch06	1
121	Arceus1975	1
121	Rebytre	1
121	Chrisdeadeye	1
121	KartivGal	1
121	Kynigito	1
121	epiksk8erduck	1
121	GoofyBread	1
121	Nycteus_	1
121	wwwwinnebagoooo	1
121	Eraxa	1
121	__tomato	1
121	fffMike	1
121	Njensen7	1
121	Legendosh	1
121	EcksDofficial	1
