rank	username	minecraft:picked_up/minecraft:dark_oak_sign
1	Snowflowe	859
2	beeperbeeper5	661
3	eitanzaki	521
4	500am	428
5	Werbe	398
6	Merv__	292
7	Hyp3rion_	275
8	Soplight	269
9	Fullut	242
10	pintsizedrogue	236
10	thescout7	236
12	kekhon	196
13	HellsSponge	180
14	Freak_Genius	168
15	jnp_gaming	164
16	Maenara	147
17	Eraxa	143
18	TheShyPig	142
19	Sky_light_KING	137
19	lordpipe	137
21	sebastiensaborio	136
22	joethahobo	135
23	6king6colt6	133
24	TheSecondLord	125
25	Blackberry1310	124
26	Hiryu27	123
27	CliffEmAll	122
27	NameGenerat0r	122
29	rarrq	114
30	Di_infiri	113
31	Ssor69	110
32	Spacewardharpy7	108
33	Enderslayerxz3	94
34	CalebDHawk	92
34	EcksDofficial	92
36	The_slideV3	81
37	Mahoose	78
38	noam464	76
39	Dusk_95	75
40	EveryonesUncle	74
41	Lord_Jord	73
42	YungJakobo	72
43	Blaiku	71
43	stahouo	71
45	Historical_Sand	70
46	ImpavidArcher	67
46	fluddd	67
48	Onennon	62
49	burbankbuilder28	61
49	Ezekson	61
51	Smoke____	60
52	YungMaki	59
53	Rumpletaezer	57
54	Legendosh	55
55	lillips	54
56	Racengan	49
57	Blu3beast	48
58	r123moore	46
58	Jiminie	46
60	TheDankPlatypus	45
60	BlankityMcBlank	45
62	Groovy_MoonBird	43
62	Akoot_	43
64	Dreamdbr14	40
65	Notta	39
65	Kyrum2169	39
65	Powowowow	39
68	titanlax	38
68	Zythose	38
70	Awyrlas	35
70	__tomato	35
72	Tjhodskins19	34
73	SaucyDark	31
73	fr_ser	31
73	SuperPooch06	31
76	Skippeh	29
77	set67	28
77	ROY4LE	28
79	Euclidoris	27
80	Avrelion	26
80	KG1999	26
80	IdeallyGrey	26
80	Hermanni__	26
84	thewindmillman	25
84	Zoeyfortnite	25
86	PhantomsGhost_	24
86	xxPipperDipperxx	24
86	Inbefour	24
86	SammiWolfGirl	24
86	KingMatthew506	24
91	Vizzoid	23
91	The_SlideV5	23
93	DarlaMeow	22
93	Eczbek	22
93	PlasticOtari	22
96	tramizu	21
96	m_be9	21
96	Karbl	21
96	oxfordschool	21
96	EcksD	21
101	JohnnyFyes	20
101	2Stout	20
101	audiocracked	20
101	_Bguette_	20
101	Frozil12	20
106	MSK__	19
106	NotMeanttoChange	19
106	RobotMinion101	19
106	fffMike	19
110	ProfessorBee	18
110	SLASHZEERA	18
110	seramalen	18
110	_TCARREIRA_	18
114	ShedJr_	17
114	theofiel	17
114	TechnoNinja64	17
117	TildaAndrea	16
117	Incinere	16
117	12Magner05	16
117	Ardennes	16
117	LotusProject	16
117	XboxPanda	16
117	claivin	16
117	SkateboardR6	16
125	KarlKaek	15
125	Rich_Kat	15
125	Nicky_H225	15
125	Jackattack53	15
125	FishyBoy3811	15
125	TrollerYT	15
131	teslawolf38	14
131	shyshyannne	14
131	Kynigito	14
131	PigDab	14
131	NomadicRobin_	14
131	Barlycorn	14
131	jcool7	14
138	CompAir	13
138	SteveCraftBlocks	13
138	Chromary	13
138	Spenduh	13
138	h2p_emrld	13
143	_stets	12
143	Swexti	12
143	ChosenBruh	12
143	mwrty	12
143	JayToe	12
148	BobDeBouwer1337	11
148	emrekn	11
148	gabriels543	11
148	_Boipl_	11
148	ApophisNova	11
148	KeruNatsema	11
148	Toriankel	11
148	tsitrawhy	11
148	Vellu21	11
148	MyNamaSheff	11
158	Myszoaz	10
158	Stiar	10
158	MyNameIsJobo	10
158	Felenov	10
158	Deathkob	10
158	Honor555	10
158	censorsheep	10
158	Groundler	10
158	_3Stump_	10
158	anbbang	10
168	Bandito_Roamer	9
168	_Razar	9
168	RebelAndroid	9
168	TheDiamondCG	9
168	Noah_Bez	9
168	Kakolbus	9
168	NoChumpChange	9
168	JoCoLi	9
168	CheifJumbo	9
168	sp00ky_ghost977	9
168	PortlyPete69	9
168	Nicserso	9
180	Mr_Byzantine	8
180	LittleBug562	8
180	ItsColin11	8
180	Hpdinosaur	8
180	bloodbiter	8
180	Doom_melon	8
180	pappaberg	8
180	chipklip	8
180	MyNameIsDakar	8
180	_Karmaa	8
180	ayamefag	8
180	Kowcio_	8
180	obzii	8
180	trexgb	8
180	Faart	8
195	_NieToksikpl_	7
195	Comma__	7
195	redikul	7
195	AnnieBathory	7
195	Skylord_Luke	7
195	Leyna3	7
195	Katthaj	7
195	Njensen7	7
195	ZeroKraken	7
195	TheGameArchitect	7
195	Kubeusz2010	7
195	2blox	7
195	Sral7	7
195	YoshikageBites	7
195	Wanjibon	7
210	I_Am_Mushkin	6
