rank	username	minecraft:picked_up/minecraft:cracked_deepslate_bricks
1	TheSecondLord	734
2	TheBananaKat	448
3	Mattesco	359
4	SvenskaHugo	333
5	mihimihimihi	159
6	_Huge_Male_	123
7	Yamdalorian	119
8	Manaateee	108
9	Iamthejo	64
10	Wowful	22
11	skroobiez	18
12	TAKrules	7
13	CaracolCxnt	6
14	ECstardust	5
14	Sleepy_Time_	5
14	beeperbeeper5	5
14	Hyp3rion_	5
14	Hahaa_0	5
19	SmashingPump	4
19	DinoDoctor_	4
19	ImpavidArcher	4
19	PaperCanvas	4
23	Apollo_993	3
23	Merv__	3
23	lorywithay	3
23	Jackattack53	3
23	Enderxz3	3
28	H0UNDFRMH3LL	2
28	pintsizedrogue	2
28	thewindmillman	2
28	Krowuss	2
28	ScootOfBoot	2
28	Kowcio_	2
28	YungMaki	2
35	k_ce	1
35	PazinGaming	1
35	powercas_gamer	1
35	MSK__	1
35	12Magner05	1
35	500am	1
35	crashomon	1
35	hanaryheatwave	1
35	Spacewardharpy7	1
