rank	username	minecraft:picked_up/minecraft:oak_log
1	thewindmillman	101214
2	Spacewardharpy7	28993
3	Blackberry1310	25121
4	Legendosh	23806
5	joethahobo	20743
6	EveryonesUncle	18769
7	Freak_Genius	17249
8	Smoke____	13570
9	rarrq	13351
10	Di_infiri	12729
11	TheShyPig	12291
12	Jiminie	12169
13	Skylord_Luke	11854
14	HellsSponge	11479
15	noam464	10808
16	m_be9	10624
17	CoffeeNoir	10391
18	Mahoose	9976
19	El_Jalapeno	9152
20	Quotary	8645
21	lordpipe	8362
22	NomadicRobin_	8347
23	Werbe	8317
24	Onennon	7718
25	Frozil12	7684
26	EMC_	7137
27	Snowflowe	6906
28	beeperbeeper5	6880
29	Z3braYTIL	6868
30	mwrty	6503
31	EcksD	6408
32	eitanzaki	6153
33	gcaisawesome	6033
34	Racengan	5803
35	LordSpeed37	5724
36	YungMaki	5713
37	Hermanni__	5598
38	TheThomas69	5198
39	Bumpy419	5002
40	Hyp3rion_	4919
41	MyNameIsJobo	4902
42	2Stout	4900
43	anbbang	4886
44	_Dean_123	4822
45	Kakolbus	4783
46	Winklepicker279	4782
47	ROY4LE	4587
48	Kowcio_	4550
49	Akoot_	4540
50	_Karmaa	4492
50	HesDemonPants	4492
52	Lord_Jord	4329
53	CharlieButt	4279
54	oxfordschool	4225
55	PlasticOtari	4214
56	pintsizedrogue	4141
57	PhantomsGhost_	4128
58	hcb238	4065
59	ApophisNova	4025
59	MyNamaSheff	4025
61	Enderslayerxz3	4008
62	Steelynan	3984
63	thescout7	3945
64	set67	3881
65	Inchef	3835
66	yulgur1	3833
67	burbankbuilder28	3738
68	MightyWertu	3717
69	awesomeoneme	3679
70	Kouridragon	3621
71	Truckoss	3600
72	Miko_Fullbuster	3508
73	oreee	3458
74	_Virify_	3331
75	Malorn_Aetherius	3298
76	PigDab	3294
77	LeauVox4921	3255
78	Mewar	3188
79	PlzNoBM	3100
80	Dogcorn69420	3094
81	bloodbiter	3061
82	500am	3013
83	XboxPanda	2978
84	Merv__	2970
85	KingMatthew506	2903
86	TechnoNinja64	2888
87	RebelAndroid	2839
88	Fildyr	2817
89	TheSeismicDuck	2795
90	Warlord324	2711
91	__tomato	2706
92	Mr_Byzantine	2659
93	Cowison	2642
94	eiC_	2616
95	ProfessorBee	2579
96	Cocoamallows	2557
97	Hisiste	2546
98	PortlyPete69	2535
99	Smashic	2522
99	WyngGoy	2522
101	vandmanden	2513
102	Blaiku	2482
103	Ezekson	2475
104	Yaspresents	2437
105	6king6colt6	2408
106	ShedJr_	2339
107	Euclidoris	2333
108	Inbefour	2270
109	lcvezra	2263
110	Darkgon	2201
111	RyuNeko932000	2187
112	Jackattack53	2123
113	DanTheBuilderino	2115
114	TheSecondLord	2099
115	Xclax101	2098
116	Fullut	2097
117	crying_wolf_13	2090
118	Syropatathe	2083
119	BlancoFlaco	2081
120	CollinMH06	2069
121	kekhon	2057
122	CSG_Haru	2046
122	Sheldor097	2046
124	fred870d	2039
125	301851	2028
126	SammiWolfGirl	2010
127	Wooptey	2003
