rank	username	minecraft:picked_up/minecraft:cut_copper_stairs
1	Mr_Byzantine	278
2	hanaryheatwave	177
3	thewindmillman	51
4	12Magner05	44
5	beeperbeeper5	41
6	Penguinllama517	38
7	Jonafrog99	34
8	SpacesickPrism	31
9	PlasticOtari	25
10	JETrotter	22
11	skroobiez	20
12	Lutres_	19
13	Kowcio_	16
14	EMC_	13
14	LeauVox4921	13
16	Nicserso	11
17	_Huge_Male_	9
17	SuperPooch06	9
17	luseis	9
20	Mattesco	7
20	Yamdalorian	7
22	TheSecondLord	6
22	Enderxz3	6
24	joethahobo	5
25	Mahoose	4
25	Thunder_bird4337	4
27	Enigma0251	3
28	j5ylim	2
28	Lez_	2
28	MinttyFressh	2
28	500am	2
28	U_Mos_	2
28	Lord_Jord	2
28	Manaateee	2
28	pixelviolin	2
36	Groovy_MoonBird	1
36	Merv__	1
36	Alteriity	1
36	GooseWithin	1
36	StinkyDiplomat	1
36	Jimb0nat0r	1
