rank	username	minecraft:picked_up/minecraft:cobweb
1	joethahobo	7800
2	pintsizedrogue	3834
3	500am	1974
4	Rumpletaezer	1744
5	Freak_Genius	1403
6	Deathkob	1335
7	thewindmillman	1332
8	lordpipe	1049
9	TheShyPig	1017
10	YungMaki	833
11	Snowflowe	681
12	TheSecondLord	642
13	Cryptacity	544
14	EMC_	489
15	Werbe	452
16	Blackberry1310	445
17	yulgur1	442
18	Powowowow	427
19	oxfordschool	408
20	_Bguette_	382
21	Smoke____	351
22	kekhon	335
23	cedric72	332
24	RebelAndroid	321
25	djancak	318
26	Mahoose	309
27	ROY4LE	264
28	Akoot_	248
29	Ezekson	230
30	Hyp3rion_	226
31	Zythose	214
32	Mattesco	201
32	00000000-0000-0000-0009-01ff0c3e5e4f	201
34	Lukeee33	195
35	bloodbiter	184
36	Kakolbus	161
37	Yahrto	156
38	beeperbeeper5	153
39	SammiWolfGirl	145
40	Huwulling	142
41	Racengan	140
42	claivin	133
43	Soplight	130
44	_Dean_123	129
45	Ecplosive	128
45	burbankbuilder28	128
47	MousePlays	123
48	Frozil20	122
48	DemTechAlpha	122
50	Lord_Jord	121
51	MelodyGaysharks	119
52	Tolhart	118
52	Doom_melon	118
54	Iagoku	117
55	Spaghettatron	112
56	Arceus1975	111
57	PlasticOtari	110
58	calamariclam_I	106
59	Ryker	103
60	Bumpy419	102
61	Enderslayerxz3	101
62	noam464	94
63	lillips	88
64	PeteO1995	82
65	m_be9	81
66	eitanzaki	80
66	Kowcio_	80
68	Steelynan	79
69	stahouo	77
70	CACTUSLAD	71
71	MyNameIsJobo	66
72	El_Jalapeno	65
73	__tomato	64
73	EcksD	64
73	EcksDofficial	64
76	sp00ky_ghost977	59
77	KarlKaek	56
77	PegLegPete93	56
79	6king6colt6	55
80	SvenskaHugo	52
80	EngagedGrub41	52
82	Bandito_Roamer	51
83	binman420	48
84	AlexStrange	41
85	Jackattack53	40
85	CalebDHawk	40
87	_TCARREIRA_	37
87	TechnoNinja64	37
89	RoskobiOne	35
90	Jamstroxian	34
91	_Virify_	33
92	M_Patata	32
92	fr_ser	32
92	MasterNueve	32
95	wezzzi	31
96	ApophisNova	30
96	theofiel	30
96	MyNamaSheff	30
99	Lez_	28
99	lcvezra	28
101	Scathra	26
101	Slovitypagus	26
103	JESS_THE_RERE	22
104	NomadicRobin_	21
105	NoChumpChange	19
105	Warlord324	19
107	Eraxa	18
107	kinas45y5	18
109	Maenara	17
109	chipklip	17
109	mihimihimihi	17
112	epiksk8erduck	16
113	Spacewardharpy7	15
114	Groovy_MoonBird	13
115	Merv__	12
115	rarrq	12
115	HellsSponge	12
118	jushykins	11
118	Nagasaki_Riku	11
118	stellarjay	11
121	hollowww	10
121	fr0stss	10
121	PncakeUniverse	10
124	Prismyst	9
124	SellyZ	9
126	marumochis	8
126	monky_irl	8
126	ElectricDragon81	8
126	Hermanni__	8
130	groofles	7
131	T045RTY	5
131	Groundler	5
131	LordSpeed37	5
131	GlitchyPlate810	5
135	Malorn_Aetherius	4
135	_Boipl_	4
135	SpacesickPrism	4
138	Ailmast	3
138	MovingFish7	3
138	Glumb0	3
138	Vellu21	3
142	Hyugo	2
142	ShedJr_	2
142	DSYisDizzy	2
142	kars0n	2
142	2blox	2
147	SyntheticSurgeon	1
147	12Magner05	1
147	himak1	1
147	gcaisawesome	1
147	Luminad3	1
147	Blu3beast	1
147	cog	1
147	Dusk_95	1
147	obzii	1
147	anbbang	1
147	Jordan_R	1
