rank	username	minecraft:picked_up/minecraft:crimson_fungus
1	noam464	34950
2	Blaiku	10694
3	thewindmillman	10094
4	Lez_	5723
5	joethahobo	3720
6	shadowthemonkey	3553
7	eitanzaki	2152
8	Mythic1130	1580
9	EcksD	1148
10	HellsSponge	757
11	Smoke____	563
12	Di_infiri	494
13	Snowflowe	296
14	CliffEmAll	260
15	Jimb0nat0r	238
16	12Magner05	226
17	beeperbeeper5	214
18	RebelAndroid	177
19	FishisTTV	174
20	YungMaki	155
21	ZA07	141
22	Hyp3rion_	121
23	Lord_Jord	115
24	Marbz_	109
25	gcaisawesome	105
26	Huwulling	104
27	Enderxz3	101
28	Jackattack53	87
29	500am	84
30	Fullut	77
31	Akoot_	73
32	FreakGenius	72
33	Blackberry1310	70
34	Eraxa	68
35	pintsizedrogue	66
35	RoskobiOne	66
37	Historical_Sand	65
38	Mahoose	57
39	lordpipe	53
40	Hpdinosaur	48
41	PlasticOtari	43
42	lizardfightclub	41
43	SammiWolfGirl	39
44	bloodbiter	38
44	Skylord_Luke	38
44	pixelviolin	38
47	Deathkob	36
48	TheEnderMan548	34
49	Awyrlas	29
50	Kakolbus	28
50	Lutres_Torane	28
52	breadbowlgamer	27
52	Kowcio_	27
54	KarlKaek	25
54	Kubelz	25
54	hanaryheatwave	25
57	CoffeeNoir	24
57	Legendosh	24
59	r123moore	23
59	RoofTyler	23
61	BobDeBouwer1337	21
61	Hermanni__	21
63	kekhon	19
64	RatatJuice	18
64	diggydog67	18
66	Quotary	16
67	ShedJr_	15
67	PortlyPete69	15
67	jnp_gaming	15
70	RealGroot	14
71	TechnoNinja64	13
71	00000000-0000-0000-0009-01ff0c3e5e4f	13
73	Alteriity	12
73	Swexti	12
73	luseis	12
73	Ezekson	12
77	teslawolf38	11
77	T045RTY	11
77	gustarlep	11
77	brofrickcheaters	11
81	rarrq	10
81	crying_wolf_13	10
81	Arceus1975	10
81	EveryonesUncle	10
81	wwwwinnebagoooo	10
81	djancak	10
87	BlancoFlaco	9
87	Winklepicker279	9
87	Vegvisir	9
90	Merv__	8
90	Prismyst	8
90	Chromary	8
90	athereall	8
94	soundad	7
94	EMC_	7
94	livingdaydreams	7
94	jacxhadow	7
94	Rebytre	7
94	PigDab	7
94	KeruNatsema	7
94	MightyWertu	7
102	AuroraValkyrie	6
102	Xalithia	6
102	Eon_57	6
105	Cowison	5
105	tuckerdoodle	5
105	set67	5
105	UncreativeArtist	5
105	CarltheCuck	5
105	whoaluv	5
105	corpsecity	5
105	TheShyPig	5
105	weabis	5
105	anbbang	5
115	Myszoaz	4
115	ITDV	4
115	Crowman1	4
115	mwrty	4
115	PegLegPete93	4
115	Inchef	4
115	thebaddruid	4
115	TheWildMateo	4
115	NoChumpChange	4
115	DemTechAlpha	4
115	Dusk_95	4
115	sp00ky_ghost977	4
115	07shiny	4
115	fffMike	4
115	mobunni	4
115	ConnorDanky_	4
115	CattSoup	4
115	trexgb	4
133	Esme_1	3
133	hm947	3
133	olliebollie48	3
133	TheDankPlatypus	3
133	trixterrx	3
133	ooga47	3
133	zToasty69z	3
133	DarlaMeow	3
133	Vorlice	3
133	monky_irl	3
133	IdeallyGrey	3
133	obzii	3
133	Njensen7	3
133	Steelynan	3
133	Kubeusz2010	3
148	FazeObama69	2
148	PhantomsGhost_	2
148	diamondgolem35	2
148	Ryker	2
148	Alfred603	2
148	TheSecondLord	2
148	Ardennes	2
148	eclipseboi	2
148	_Dean_123	2
148	Master_Kol	2
148	lorpus	2
148	pumpfonzo	2
148	KartivGal	2
148	NomadicRobin_	2
148	DanTheBuilderino	2
148	GravitySaint	2
148	Toriankel	2
148	Spacewardharpy7	2
148	SvenskaHugo	2
148	Soplight	2
148	CalebDHawk	2
148	Winston_Ingram	2
148	MilleGrug	2
148	ZoomieZoomie	2
148	Skippeh	2
173	catiefsm	1
173	dimondking777	1
173	Yatitay	1
173	Wolf_Mauler_73	1
173	Jindong	1
173	ImpavidArcher	1
173	__lizi	1
173	nattybears	1
173	titanlax	1
173	NieToksikpl	1
173	MinttyFressh	1
173	Megarboh	1
173	thescout7	1
173	finbob5	1
173	theonlymagikarp	1
173	M_Patata	1
173	King_Pancake1	1
173	Werbe	1
173	Moofyman	1
173	Sqwishy	1
173	FishyBoy3811	1
173	Elastiq	1
173	masskedman	1
173	Gryglu583	1
173	NameIsSeven	1
173	claivin	1
173	MAns_44	1
173	El_Jalapeno	1
173	Nycteus_	1
173	Racengan	1
173	mihimihimihi	1
173	TheTommyGun63	1
173	MasterNueve	1
173	lcvezra	1
173	_Yonk_	1
173	Sheldor097	1
173	Kferno	1
173	TheALV	1
173	MissCeleste7	1
173	RadarHz	1
173	Jordan_R	1
