rank	username	minecraft:picked_up/minecraft:polished_blackstone
1	Hyp3rion_	54838
2	gcaisawesome	10308
3	hanaryheatwave	6056
4	Lez_	5812
5	Jackattack53	3024
6	Kowcio_	2193
7	500am	2000
8	lizardfightclub	1797
9	Mattesco	1781
10	Racengan	1701
11	Yamdalorian	1640
12	thewindmillman	1348
13	EveryonesUncle	1314
14	oscminus	892
15	beeperbeeper5	861
16	Manaateee	832
17	Lutres_	799
18	emreknugrlu	788
19	Lord_Jord	761
20	crashomon	748
21	pintsizedrogue	689
22	TheSecondLord	679
23	k_ce	583
24	SkateboardR6	515
25	Snowflowe	491
26	NameGenerat0r	478
27	rarrq	475
28	KliBeast21	457
29	FreakGenius	383
30	set67	333
31	Spenduh	332
32	fffMike	329
32	Legendosh	329
34	Cowison	323
35	TheWildMateo	310
36	eitanzaki	296
37	Jimb0nat0r	293
38	weabis	277
39	Luminad3	271
40	BeardBois	246
41	Druid95	234
42	DracZz	227
43	Spacewardharpy7	213
43	TheKingK_	213
45	IvarEXE	211
46	Buuck_	192
47	FishyBoy3811	183
48	Awyrlas	182
49	kekhon	181
50	PlasticOtari	178
51	Huwulling	160
52	RoskobiOne	157
53	HUNTERmaun	154
54	RebytreGT	146
55	bl1ss0	143
56	TheShyPig	141
56	Ze_BaronKrigler	141
58	Werbe	139
59	Kakolbus	138
60	PazinGaming	137
61	XboxPanda	134
62	fragrantmonke444	132
63	teslawolf38	131
64	diamondgolem35	121
64	luseis	121
66	TheWickedBird	114
67	12Magner05	113
68	Mr_Byzantine	112
69	Hydro___________	111
70	eclipseboi	109
70	drunkeeez	109
72	Fuad_R	104
73	Mahoose	101
74	pixelviolin	98
75	ShedJr_	91
76	mihimihimihi	90
77	HyperCave	85
78	ECstardust	83
78	RebelAndroid	83
78	blackeemperor	83
78	Kubeusz2010	83
82	MAns_44	80
83	ApophisNova	79
83	MyNamaSheff	79
85	CliffEmAll	71
86	SmashingPump	59
87	Elastiq	47
88	skroobiez	46
89	ScootOfBoot	45
90	NumbaOneMunch	40
91	djancak	39
92	_Dean_123	38
92	Boipl	38
94	Olib3ar	37
94	Biites	37
96	KarlKaek	35
96	Minimize501	35
96	Steelynan	35
99	King_Pancake1	33
100	Blaiku	32
101	Eraxa	31
102	_Razaria	29
103	noam464	27
103	burbankbuilder28	27
103	Gus2005	27
106	_Mythic____	25
106	EcksD	25
108	chipklip	24
108	titanlax	24
108	GravitySaint	24
111	Fullut	23
112	Optiprimus	21
113	Nicserso	20
114	Vorlice	19
114	PortlyPete69	19
116	pretty_pink_reno	18
117	BobDeBouwer1337	16
117	ConnorDanky_	16
119	Alteriity	14
119	joethahobo	14
119	r123moore	14
119	benediktine1	14
123	DarkS0L	13
123	Pumpkin_P_Patch	13
125	Groovy_MoonBird	12
125	ImpavidArcher	12
125	NieToksikpl	12
125	eli_tschki	12
129	SnowyAvi	11
129	lorpus	11
131	Merv__	10
131	Smashic	10
131	4774	10
131	Krowuss	10
135	AmmiDesu	9
135	ogoa	9
135	shrimp_flips	9
135	YungMaki	9
139	m_be9	8
139	Deathkob	8
139	sp00ky_ghost977	8
142	Blackberry1310	7
142	Billious	7
142	Enderxz3	7
145	MSK__	6
145	LittleIan365	6
145	HolyVenom	6
145	Shogunite	6
145	skitzxo	6
150	CLG_Kata	5
150	livingdaydreams	5
150	MattieHD	5
150	Blammm	5
150	DanTheBuilderino	5
150	ProfessorDiaper	5
156	Ryan_GEMS	4
156	Myrlewen	4
156	The_Fulgurator	4
156	masskedman	4
156	Sorry_Arey	4
156	wwwwinnebagoooo	4
156	ItsDeltaMC	4
156	jcool7	4
156	TinyTheMelon	4
156	AltnumberF4	4
166	NatalieTW	3
166	Apollo_993	3
166	hm947	3
166	Jakobo1337	3
166	himak1	3
166	PegLegPete93	3
166	CarltheCuck	3
166	Zythose	3
166	fw3xy74	3
166	fluddd	3
166	FishisTTV	3
177	Gundam_Steven	2
177	Crowman1	2
177	SteveCraftBlocks	2
177	0nly_sn1per	2
177	PaperCanvas	2
177	CalebDHawk	2
177	ZoomieZoomie	2
177	mobunni	2
185	_Huge_Male_	1
185	AuroraValkyrie	1
185	q_wq	1
185	myaccountwasgone	1
185	Flores991	1
185	NinjaKnifeKill	1
185	MinttyFressh	1
185	ROY4LE	1
185	ReverendSmith	1
185	Winklepicker279	1
185	Marbz_	1
185	Di_infiri	1
185	whoaluv	1
185	Jonafrog99	1
185	Chromary	1
185	podduszenie	1
185	Solar_Power	1
185	HFSC	1
185	seramalen	1
185	NomadicRobin_	1
185	StinkyDiplomat	1
185	Airem_Core	1
185	TheTommyGun63	1
185	StarCookiees_	1
185	cellmilk	1
185	brofrickcheaters	1
185	_i_ERROR_i_	1
185	Winston_Ingram	1
185	hermmm_	1
185	cichy096	1
185	00000000-0000-0000-0009-01ff0c3e5e4f	1
