rank	username	minecraft:picked_up/minecraft:purple_bed
1	TheBananaKat	592
2	HellsSponge	188
3	thewindmillman	155
4	ItsColin11	133
5	EngagedGrub41	122
6	TooManyDuck	41
7	pixelviolin	36
8	Elastiq	30
9	Wooptey	26
9	Fizznut909	26
11	Apollo_993	24
12	Shogunite	23
13	Mahoose	22
14	ROY4LE	20
14	diggydog67	20
16	YungMaki	17
17	Groundler	16
18	Jovaphobic	15
19	00000000-0000-0000-0009-01ff0c3e5e4f	14
20	Blu3beast	13
21	excelsionprime	12
21	Rebytre	12
21	El_Jalapeno	12
24	Manaateee	9
25	TheShyPig	8
25	censorsheep	8
25	wwwwinnebagoooo	8
25	AdmiralSmoke	8
29	burbankbuilder28	7
29	Bonzaidalek	7
31	Merv__	5
31	Ao_Ken	5
31	Cryptacity	5
31	TheSecondLord	5
31	Inchef	5
31	Diavri	5
31	Kowcio_	5
31	Ezekson	5
39	bigstankyy	4
39	xxPipperDipperxx	4
39	MonitorLizards	4
39	StinkyDiplomat	4
39	Blaiku	4
44	Napoleonpancake	3
44	Foof13	3
44	eitanzaki	3
44	beeperbeeper5	3
44	MinttyFressh	3
44	kekhon	3
44	500am	3
44	Smashic	3
44	Kkanot	3
44	AJplaysMC_	3
44	CTH_98	3
44	fkGrim	3
44	IdeallyGrey	3
44	tsitrawhy	3
58	MunkaKris	2
58	EMC_	2
58	Batman922	2
58	Huwulling	2
58	ShedJr_	2
58	joethahobo	2
58	set67	2
58	gcaisawesome	2
58	olliebollie48	2
58	ARandomHedge	2
58	Winklepicker279	2
58	SuperPooch06	2
58	Hyp3rion_	2
58	_Boipl_	2
58	CrateOfBoxes	2
58	ItsMrRamen	2
58	PigDab	2
58	Akoot_	2
58	TheTrueClipse	2
58	_Meow_Mix	2
58	EricAurum	2
58	trexgb	2
58	_Dri_	2
58	00000000-0000-0000-0009-01fc796cc078	2
82	pintsizedrogue	1
82	LittleBug562	1
82	SquadMonster	1
82	ChampPog_	1
82	rarrq	1
82	Crowman1	1
82	Chickenchaser2	1
82	MrExplorer	1
82	Xalithia	1
82	okCrypto	1
82	Skylord_Luke	1
82	PuFY	1
82	SaintJosie	1
82	Joestra	1
82	NomadicRobin_	1
82	Russiancat1	1
82	Dakar_	1
82	DarlaMeow	1
82	LordAurum	1
82	_i_ERROR_i_	1
82	ItsJunoIGuess	1
82	Sheldor097	1
82	KingMatthew506	1
82	TheOuterCore	1
82	Physics_Breaker	1
82	ConnorDanky_	1
82	Teebone15	1
82	Zcolt69	1
82	Kateesaur	1
