rank	username	minecraft:picked_up/minecraft:oak_planks
1	Hyp3rion_	668888
2	thewindmillman	225795
3	Spacewardharpy7	71836
4	mihimihimihi	25111
5	Jackattack53	16838
6	EcksD	16509
7	pintsizedrogue	14765
8	HellsSponge	12494
9	Legendosh	8127
10	2Stout	7442
11	noam464	7278
12	EveryonesUncle	7005
13	TheShyPig	6982
14	joethahobo	6043
15	El_Jalapeno	6020
16	Di_infiri	5875
17	FreakGenius	4820
18	thescout7	4351
19	AdmiralSmoke	3935
20	Lez_	3906
21	Segotep999	3539
22	PazinGaming	3125
23	rarrq	2831
24	EMC_	2800
25	Mr_Byzantine	2791
26	MousePlays	2618
27	PlasticOtari	2462
28	Blackberry1310	2439
29	Racengan	2300
30	Mahoose	2191
31	Winklepicker279	2183
32	Burge_r	2177
33	eitanzaki	2021
34	Kubelz	1997
35	tsitrawhy	1987
36	beeperbeeper5	1969
37	Kateesaur	1868
38	YungMaki	1848
39	fw3xy74	1782
40	groofles	1776
41	TheDankPlatypus	1774
42	Akoot_	1649
43	cheerytomato	1626
44	luseis	1574
45	Rebytre	1547
46	Jimb0nat0r	1526
47	Zythose	1517
48	MineMaster0012	1475
49	Z3braYTIL	1466
50	_Dean_123	1449
51	jnp_gaming	1440
52	Alteriity	1408
53	Onennon	1399
54	lcvezra	1395
55	gcaisawesome	1375
56	Wowful	1347
57	ConnorDanky_	1252
58	Skylord_Luke	1210
59	xxPipperDipperxx	1179
60	ThatMan_Dave	1167
61	AuroraSkies	1158
62	Kowcio_	1143
63	Powowowow	1131
64	LexMakesHistory	1103
65	Snowflowe	1102
66	Smashic	1083
67	lordpipe	1080
68	GingerNeutron	1075
69	parodypatient	1068
70	2blox_	1064
71	Spenduh	1048
72	CoffeeNoir	1033
73	DarkS0L	1020
74	Ssor69	1018
75	Ryker	1009
76	Frxnkz	979
77	fr0stss	972
78	Bumpy419	967
79	AlphaWolfPlaysMC	965
80	diggydog67	961
81	ApophisNova	960
81	MyNamaSheff	960
83	Enderxz3	952
84	500am	908
85	Werbe	906
86	_Karmaa	904
87	Rumpletaezer	897
88	kekhon	896
89	mwrty	870
90	Aangezet	867
91	Steelynan	858
92	MattieHD	854
93	excelsionprime	839
94	ogoa	838
95	Syropatathe	826
96	m_be9	825
97	Manaateee	824
98	CharlieButt	799
99	SpacesickPrism	786
100	Iamthejo	783
101	Krowuss	774
102	Quotary	772
103	Lord_Jord	769
104	MyNameIsJobo	768
105	SkateboardR6	766
106	Swexti	756
107	Inbefour	741
108	set67	737
109	Fullut	729
110	fffMike	722
111	Arceus1975	721
112	crying_wolf_13	717
113	masskedman	715
114	6king6colt6	714
115	Ezekson	712
116	ROY4LE	698
117	oscminus	687
117	claivin	687
119	burbankbuilder28	673
120	Groovy_MoonBird	667
