rank	username	minecraft:picked_up/minecraft:black_carpet
1	thewindmillman	61142
2	noam464	28159
3	EcksD	19568
4	beeperbeeper5	17813
5	joethahobo	16100
6	Lez_	4163
7	Hermanni__	4124
8	Creativebuilder2	3216
9	jnp_gaming	2966
10	YungMaki	2956
11	mwrty	2931
12	Blaiku	2916
13	SvenskaHugo	2793
14	HellsSponge	2375
15	CattSoup	1902
16	Manaateee	1646
17	kekhon	1426
18	Mahoose	1237
19	Snowflowe	1201
20	Swexti	1178
21	eitanzaki	1167
22	TheSecondLord	1116
23	FreakGenius	1015
24	Frozil20	828
25	PigDab	814
26	AdmiralSmoke	789
27	SaucyDark	739
28	Di_infiri	716
29	Spacewardharpy7	682
30	500am	586
31	Quaintster	566
32	Kowcio_	510
33	bloodbiter	492
34	Huwulling	448
35	Crowman1	433
36	burbankbuilder28	378
37	_i_ERROR_i_	370
38	Hyp3rion_	362
39	Rumpletaezer	360
40	Njensen7	324
41	Akoot_	308
42	Archsam	258
43	bigstankyy	248
44	MAns_44	240
45	OreTheBear	235
46	titanlax	217
47	cichy096	207
48	Eraxa	201
49	fluddd	200
50	weabis	182
51	Mr_Byzantine	179
52	TheShyPig	176
53	Kubeusz2010	163
54	EMC_	161
55	Jimb0nat0r	160
56	Lord_Jord	158
57	himak1	153
58	IamCL4SSY	151
59	Werbe	150
60	Mattesco	147
61	Soplight	137
62	thescout7	132
63	rarrq	127
64	Legendosh	113
65	El_Jalapeno	106
66	Blu3beast	99
67	cedric72	93
68	Touched_Bread	91
69	Merv__	88
70	RoskobiOne	87
71	ITDV	82
72	NameGenerat0r	75
73	Sleek_Storm_721	74
74	Jackattack53	68
75	pintsizedrogue	67
76	lillips	66
77	emrekn	64
78	Blackberry1310	60
79	Steelynan	58
80	Factoroni	56
81	k_ce	51
81	Ryan_GEMS	51
83	gcaisawesome	50
84	Kubelz	49
85	Arceus1975	48
86	Meatlaugh	46
87	Smashic	45
88	SteveCraftBlocks	44
88	Eczbek	44
90	xxPipperDipperxx	42
91	Leyna3	41
92	yheece	40
93	_Huge_Male_	39
93	Reamdin	39
95	ProfessorBee	38
96	UrbanPlanningEx	37
97	okCrypto	36
97	lcvezra	36
99	non089	35
100	Wowful	34
100	LeonelSalamanca	34
102	H72l9w	33
103	Krowuss	32
104	Onennon	31
104	ConnorDanky_	31
106	RebelAndroid	30
107	Nycteus_	29
108	Racengan	27
108	pixelviolin	27
108	Enderxz3	27
108	Sral7	27
112	420BreadLizard	25
113	Groovy_MoonBird	23
113	FelixPSY375	23
115	dabloons	22
115	ImpavidArcher	22
117	__Fanda__	21
117	Segotep999	21
117	PlasticOtari	21
120	12Magner05	18
120	Ezekson	18
122	IKeepDying	17
122	Moofyman	17
122	Inbefour	17
122	_Bguette_	17
122	TheALV	17
127	m_be9	16
127	Fullut	16
127	SuperPooch06	16
127	KlausVonStiglitz	16
131	Incinere	15
132	KarlKaek	14
132	luseis	14
132	MineMaster0012	14
135	NieToksikpl	13
135	MakeHistory157	13
135	TechnoNinja64	13
138	GreedyFern8581	12
138	oscminus	12
138	mihimihimihi	12
138	lordpipe	12
138	PlzNoBM	12
143	Nicky19	11
143	CalebDHawk	11
143	MilleGrug	11
146	Chromary	10
146	Dogcorn69420	10
148	Ssor69	9
148	r123moore	9
148	Tyrannosplart	9
