rank	username	minecraft:picked_up/minecraft:mud_brick_slab
1	12Magner05	387
2	Pumpkin_P_Patch	280
3	Manaateee	237
4	Lez_	167
5	Roenfire	59
6	k_ce	57
7	EMC_	56
8	Steelynan	34
9	TheWickedBird	31
10	Iamthejo	23
11	Mr_Byzantine	21
12	j5ylim	20
13	Jackattack53	16
14	Hyp3rion_	13
15	skroobiez	9
15	oscminus	9
15	Kowcio_	9
18	pintsizedrogue	7
18	pixelviolin	7
20	thewindmillman	4
20	Hahaa_0	4
20	Soplight	4
20	Legendosh	4
24	_Huge_Male_	3
24	Mattesco	3
24	_Mythic____	3
27	Apollo_993	2
27	GooseWithin	2
27	Enderxz3	2
30	PazinGaming	1
30	Merv__	1
30	KarlKaek	1
30	TheSecondLord	1
30	Secret_Canary	1
30	Smashic	1
30	noam464	1
30	luseis	1
30	MAns_44	1
30	Jimb0nat0r	1
