rank	username	minecraft:picked_up/minecraft:iron_chestplate
1	Hyp3rion_	202
2	TheSecondLord	48
3	masskedman	43
4	T045RTY	42
5	FreakGenius	35
6	cichy096	34
7	luseis	24
8	Kowcio_	21
9	Legendosh	19
10	rarrq	16
10	thewindmillman	16
12	Akoot_	15
12	Yamdalorian	15
14	noam464	14
14	El_Jalapeno	14
16	pintsizedrogue	13
16	Lez_	13
16	beeperbeeper5	13
16	xzvu	13
16	jnp_gaming	13
21	ShedJr_	12
21	Smashic	12
21	Di_infiri	12
24	Frozil20	11
24	diamondgolem35	11
24	joethahobo	11
24	emrekn	11
24	THEKINGLyric10	11
24	Ezekson	11
24	skitzxo	11
31	set67	10
31	YungMaki	10
31	__tomato	10
34	Mr_Byzantine	9
34	Napoleonpancake	9
34	Mahoose	9
34	kekhon	9
34	Mewar	9
34	TheSeismicDuck	9
34	Hisiste	9
34	PlasticOtari	9
42	eitanzaki	8
42	Jackattack53	8
42	EveryonesUncle	8
42	Groundler	8
42	ElectricDragon81	8
42	miramyu	8
48	CloroxBleach385	7
48	I_Am_Mushkin	7
48	jacxhadow	7
48	TheShyPig	7
48	Luminad3	7
48	emreknugrlu	7
48	pixelviolin	7
48	PortlyPete69	7
48	ProbsNotNova	7
48	VentiHilton	7
48	laron58	7
48	ConnorDanky_	7
48	Jimb0nat0r	7
61	JohnnyFyes	6
61	ImpavidArcher	6
61	ZaneABrain	6
61	Euclidoris	6
61	Blackberry1310	6
61	Fullut	6
61	Kakolbus	6
61	Chromary	6
61	yulgur1	6
61	HellsSponge	6
61	Racengan	6
61	lordpipe	6
61	Soplight	6
61	KingMatthew506	6
61	Kubeusz2010	6
61	Enderxz3	6
77	MoistMicrowave	5
77	Historical_Sand	5
77	RebytreGT	5
77	Hiryu27	5
77	TheWildMateo	5
77	AlexxO_o	5
77	Lord_Jord	5
77	wezzzi	5
77	sufjanlover	5
77	NameGenerat0r	5
77	fluddd	5
77	KevinLevrone9983	5
77	Blaiku	5
77	Airem_Core	5
77	hdtpm	5
77	djancak	5
77	fffMike	5
77	TechnoNinja64	5
95	H0UNDFRMH3LL	4
95	PhantomsGhost_	4
95	Merv__	4
95	Houstonion	4
95	Huwulling	4
95	Prismyst	4
95	Sleepy_Time_	4
95	FirsTimeGamingTV	4
95	_vlex	4
95	ABUSNA1996	4
95	MattieHD	4
95	Kkanot	4
95	2Stout	4
95	Arceus1975	4
95	oscminus	4
95	Mattesco	4
95	lizardfightclub	4
95	Wowful	4
95	XxCookiequeenxX	4
95	Karbl	4
95	_i_ERROR_i_	4
116	chipklip	3
116	teslawolf38	3
116	q_wq	3
116	SaucyDark	3
116	RatatJuice	3
116	Flores991	3
116	lotarp	3
116	Reamdin	3
116	Jackster03	3
116	teqilas	3
116	Ozixar	3
116	picardred	3
116	cheerytomato	3
116	m_be9	3
116	12Magner05	3
116	GingerNeutron	3
116	_Nuf	3
116	mwrty	3
116	Eraza	3
116	Xalithia	3
116	Zaridey	3
116	popcanter	3
116	burbankbuilder28	3
116	GreedyFern8581	3
116	U_Mos_	3
116	Parcc	3
116	Bumpy419	3
116	ooga47	3
116	HolyVenom	3
116	Maenara	3
116	parodypatient	3
116	AspenLightVT	3
116	Toriankel	3
116	Spacewardharpy7	3
116	_Meow_Mix	3
116	ElKaySVK	3
116	monky_irl	3
116	Optiprimus	3
116	stavgod	3
116	Eraxa	3
116	SvenskaHugo	3
116	AssFullaCum	3
116	CLUBN2	3
116	tsitrawhy	3
116	DontHaveKick	3
116	NATE_the_HALO	3
116	Eczbek	3
116	Skippeh	3
116	TheOnlyRake	3
116	EcksD	3
116	annebolyn	3
116	561cool	3
168	Jovaphobic	2
168	marguang	2
168	heysushii	2
168	Frigzy_	2
168	Aspagisum	2
168	ganyuganyu	2
168	Jalvajar	2
168	fanofbands101	2
168	PazinGaming	2
168	SmashingPump	2
168	EMC_	2
168	6king6colt6	2
168	Flex_Tape_Phil	2
168	bigstankyy	2
168	Creativebuilder2	2
168	Iagoku	2
168	rachcl	2
168	IronArshXS	2
168	Ryan_GEMS	2
168	__lizi	2
168	TooManyDuck	2
168	_Razaria	2
168	Batman922	2
168	Jellybean1312	2
168	Alteriity	2
168	Myszoaz	2
168	Swalt	2
168	Stright_	2
168	CaracolCxnt	2
168	Upstro10	2
168	CliffEmAll	2
168	Phlp	2
168	firesgal3116	2
168	bloodbiter	2
168	Tiberonus	2
168	cubecutter124	2
168	Secret_Canary	2
168	poopybh	2
168	Enigma0251	2
168	redikul	2
168	Z3braYTIL	2
168	Cambo5000	2
168	thescout7	2
168	lorpus	2
168	ROY4LE	2
168	xxPipperDipperxx	2
168	gcaisawesome	2
168	Kubelz	2
168	Yuvl	2
168	legal_tax_evader	2
168	AJplaysMC_	2
168	Rumpletaezer	2
168	hanaryheatwave	2
168	guiltybastard	2
168	DAD_1996	2
168	Werbe	2
168	NNikitas	2
168	Kouridragon	2
168	Cruncy_	2
168	Moofyman	2
168	Matyyy15	2
168	PigDab	2
168	TeenMomTom	2
168	Samificator	2
168	Cattoh	2
168	thgrocks	2
168	HoldThatPee	2
168	Penguinllama517	2
168	Bl1tzFX	2
168	gustarlep	2
168	Cordicus	2
168	spencersolberg	2
168	Deodorante	2
168	NYJ	2
168	ebanana	2
168	Bismarck_KMS	2
168	_Karmaa	2
168	OreoPenguin_	2
168	Blu3beast	2
168	censorsheep	2
168	560cool	2
168	MightyWertu	2
168	Fildyr	2
168	LazySupport00	2
168	MovingFish7	2
168	Leithz6	2
168	TheDumbHuman	2
168	iTheRaiden	2
168	Cocoamallows	2
168	IvarEXE	2
168	p4pillio	2
168	Ripzch	2
168	UltraZombie	2
168	LeeMcGee30	2
168	Steelynan	2
168	OfficerAnvil	2
168	xorompole	2
168	Quotary	2
168	_AAZAR	2
168	Nicserso	2
168	tompup	2
168	UrbanPlanningEx	2
168	Tilt_Wilty	2
168	Biites	2
168	Empresario	2
273	Astronicky	1
273	tweety_sweety	1
273	Lepthymo	1
273	maxdacatv2	1
273	Haylies	1
273	j5ylim	1
273	Groovy_MoonBird	1
273	k_ce	1
273	N00bula	1
273	seanitoo	1
273	Bandito_Roamer	1
273	NatalieTW	1
273	_Virify_	1
273	Froste131	1
273	CLG_Kata	1
273	Apollo_993	1
273	xyct	1
273	LittleBug562	1
273	Ghosthy_	1
273	BPTY4618	1
273	dabloons	1
273	Ze1ig	1
273	FroggoTheDoggo	1
273	ItsColin11	1
273	AmmiDesu	1
273	TrNrGhost	1
273	MobiMachine	1
273	EKUG	1
