rank	username	minecraft:picked_up/minecraft:red_concrete_powder
1	Hyp3rion_	57145
2	thewindmillman	1928
3	MousePlays	1011
4	VentiHilton	648
5	mwrty	638
6	beeperbeeper5	605
7	emrekn	577
8	ConnorDanky_	465
9	Frozil20	464
10	CollinMH06	462
11	YungMaki	406
12	fluddd	373
13	Steelynan	347
14	IamCL4SSY	345
15	jnp_gaming	317
16	ImpavidArcher	292
17	FirsTimeGamingTV	230
18	Jindong	188
19	DinoDoctor_	187
20	skrongus	185
21	HellsSponge	180
22	PazinGaming	175
23	Manaateee	173
24	FreakGenius	157
25	__tomato	147
26	noodlepack	134
27	Arceus1975	131
28	WET_WET_WET	128
28	KingMatthew506	128
30	El_Jalapeno	127
31	TheSecondLord	108
31	Optiprimus	108
33	Nicky_H225	101
34	ExtraDumb	96
35	joethahobo	92
36	PlasticOtari	88
37	Tyrannosplart	80
38	Mahoose	72
39	vampgey	69
40	EMC_	67
40	Onennon	67
42	Karbl	64
42	LetsDoItLive	64
42	Soplight	64
45	NoChumpChange	63
46	EveryonesUncle	58
47	Deathkob	57
48	Freedrik	52
49	Lez_	42
50	The_slideV3	38
51	Mimiir345	36
52	KarlKaek	33
52	Maenara	33
54	Merv__	31
55	Crowman1	28
55	Enderxz3	28
57	Mr_Byzantine	24
58	Mattesco	23
59	Blaiku	21
60	PlzNoBM	18
61	LordSpeed37	17
61	PortlyPete69	17
63	lillips	15
64	Dakar_	14
64	lcvezra	14
64	Winston_Ingram	14
67	bloodbiter	13
68	UrbanPlanningEx	12
68	h2p_emrld	12
70	Spacewardharpy7	11
70	Majonezzon	11
70	The_SlideV5	11
73	ReverendSmith	9
74	Jackattack53	8
75	Ezekson	7
75	Zoeyfortnite	7
77	lordpipe	6
78	LexMakesHistory	5
79	AuroraValkyrie	4
79	rarrq	4
79	kekhon	4
79	Truckoss	4
83	bigstankyy	3
83	m_be9	3
83	Krowuss	3
83	TheWildMateo	3
83	GoofyBread	3
83	ElKaySVK	3
83	AdmiralSmoke	3
90	eitanzaki	2
90	Franco093	2
90	Blackberry1310	2
90	set67	2
90	ROY4LE	2
90	xxPipperDipperxx	2
90	noam464	2
90	TheDankPlatypus	2
90	Kowcio_	2
99	pintsizedrogue	1
99	6king6colt6	1
99	ShedJr_	1
99	burbankbuilder28	1
99	epiksk8erduck	1
99	luseis	1
99	MightyWertu	1
99	CornOnTheCobalt	1
99	IAmTheWalrus910	1
99	_Mythic____	1
99	SvenskaHugo	1
99	Jimb0nat0r	1
