rank	username	minecraft:picked_up/minecraft:golden_hoe
1	Smoke____	6
2	fanofbands101	2
2	Merv__	2
2	teslawolf38	2
2	Lez_	2
2	12Magner05	2
2	00000000-0000-0000-0009-01ff0c3e5e4f	2
8	xXTheWolfmanXx	1
8	Huwulling	1
8	NinjaKnifeKill	1
8	beeperbeeper5	1
8	rarrq	1
8	ProfessorBee	1
8	Dyosy	1
8	RIPB0ZO	1
8	Di_infiri	1
8	Hyp3rion_	1
8	TheWildMateo	1
8	Mattesco	1
8	bpmm	1
8	Lord_Zacler	1
8	Syropatathe	1
8	shrimp_flips	1
8	DanTheBuilderino	1
8	FreakGenius	1
8	RedcatVII	1
8	Toriankel	1
8	mihimihimihi	1
8	lcvezra	1
8	SpacesickPrism	1
8	fffMike	1
8	00000000-0000-0000-0009-01f532a65833	1
