rank	username	minecraft:picked_up/minecraft:honey_block
1	noam464	72662
2	EcksD	23147
3	thewindmillman	20561
4	Sral7	2815
5	Eczbek	2414
6	MangoTheFish	2412
7	eitanzaki	1931
8	Sky_light_KING	1637
9	PhantomsGhost_	1218
10	Lord_Jord	871
11	Freak_Genius	698
12	thescout7	633
13	PigDab	625
14	Di_infiri	536
15	rarrq	524
16	TechnoNinja64	504
17	obzii	483
18	WWWWMWWWWWWWWWWW	448
19	beeperbeeper5	447
20	Smoke____	419
21	Werbe	378
22	Spacewardharpy7	353
23	YungMaki	288
24	Steelynan	275
25	Historical_Sand	253
26	Enderslayerxz3	226
27	Jackattack53	225
28	Inchef	215
29	kekhon	200
30	Ezekson	198
31	EMC_	195
32	diamondgolem35	192
33	Fullut	189
34	Nesquiczek	179
35	kinas45y5	174
36	Mahoose	136
37	Sheldor097	130
38	lordpipe	125
39	PlasticOtari	121
40	LotusProject	104
41	Onennon	100
42	Blackberry1310	98
43	ROY4LE	93
44	FelixPSY375	90
45	xxPipperDipperxx	89
46	jnp_gaming	80
47	Soap_Bender	78
48	500am	77
48	Dusk_95	77
50	Chromary	65
51	djancak	61
52	Hyp3rion_	60
53	TheSecondLord	59
54	HesDemonPants	57
55	ogoa	51
56	jacxhadow	50
56	pappaberg	50
58	fr0stss	49
59	SlayerCrypto	44
59	lillips	44
61	sigmabich	41
62	gabriels543	37
62	HolyVenom	37
62	monky_irl	37
65	oxfordschool	35
65	Nicserso	35
65	Zoeyfortnite	35
68	PortlyPete69	34
69	Swexti	33
69	Nycteus_	33
71	Hiryu27	32
72	fluddd	31
73	Marbz_	29
73	Blaiku	29
75	T045RTY	28
76	pintsizedrogue	27
76	MSK__	27
78	bloodbiter	23
79	m_be9	22
79	mwrty	22
79	ItsJunoIGuess	22
79	2blox	22
83	EcksDofficial	21
84	Groovy_MoonBird	20
85	HellsSponge	19
85	Soplight	19
87	joethahobo	17
87	NameGenerat0r	17
89	KnightmareD	16
89	Frozil12	16
89	pixelviolin	16
92	ImpavidArcher	15
93	Airem_Core	14
94	DarlaMeow	12
95	Akoot_	11
96	ShedJr_	10
96	gcaisawesome	10
96	SvenskaHugo	10
99	WET_WET_WET	9
99	sp00ky_ghost977	9
99	SexcMf	9
99	stahouo	9
103	Blu3beast	8
104	KarlKaek	7
104	Xalithia	7
104	Rebytre	7
104	Hiimdeath	7
104	CSG_Haru	7
104	Segotep999	7
110	Gundam_Steven	6
110	Hpdinosaur	6
110	Skylord_Luke	6
110	MightyWertu	6
110	h2p_emrld	6
115	Vizzoid	5
115	Kelloogs	5
115	HyperCave	5
115	Deathkob	5
115	jacobsoy	5
120	_Virify_	4
120	cedric72	4
120	KliBeast21	4
120	Fuad_R	4
120	Eraxa	4
120	LilcoinXX	4
120	Kubeusz2010	4
127	Ryker	3
127	GLLogan2	3
127	MitexFTW	3
127	MyNameIsJobo	3
127	Inbefour	3
127	MeetTheWollo	3
133	TheBiggestFeller	2
133	Sleek_Storm_721	2
133	bigstankyy	2
133	tuckerdoodle	2
133	jushykins	2
133	12Magner05	2
133	shyshyannne	2
133	KeruNatsema	2
133	claivin	2
133	censorsheep	2
133	Hisiste	2
133	Smiguli_	2
133	MakeHistory157	2
133	Dreamdbr14	2
133	Umbreon900	2
148	Merv__	1
148	Upstro10	1
148	_Dean_123	1
148	Smashic	1
148	ketaminmann	1
148	Septemb3r	1
148	Karetoko	1
148	happy_mileo	1
148	GoigeFZ	1
148	Afinnity	1
148	Chrisdeadeye	1
148	dezxalo	1
148	fw3xywashere	1
148	rejenita	1
148	KG1999	1
148	Y3ntai	1
148	tsitrawhy	1
148	CalebDHawk	1
148	Lowjinx	1
148	diggydog67	1
