rank	username	minecraft:picked_up/minecraft:gunpowder
1	thewindmillman	448460
2	EcksD	187088
3	noam464	137830
4	Spacewardharpy7	65384
5	joethahobo	64482
6	Blaiku	42257
7	eitanzaki	40503
8	Di_infiri	33443
9	HellsSponge	32157
10	Shogunite	15812
11	Freak_Genius	11231
12	EveryonesUncle	11026
13	Enderslayerxz3	9677
14	Akoot_	9547
15	kekhon	8597
16	fffMike	7880
17	jnp_gaming	7875
18	Spenduh	7678
19	beeperbeeper5	7442
20	_Virify_	7437
21	Inchef	7319
22	set67	6724
23	PigDab	6323
24	Mahoose	5416
25	Smoke____	5335
26	Frozil12	4957
27	Hyp3rion_	4628
28	rarrq	3959
29	stahouo	3687
30	YungMaki	3654
31	KG1999	3642
32	Legendosh	3613
33	Ezekson	3565
34	Blackberry1310	3484
35	SuperPooch06	3462
36	lillips	3449
37	sebastiensaborio	3326
38	pintsizedrogue	3248
39	thescout7	3048
40	MilleGrug	2832
41	WYFYoyo	2506
42	lordpipe	2402
43	TheSecondLord	2189
44	masskedman	2157
45	Groovy_MoonBird	2129
46	OtariCharlie	2119
47	NameGenerat0r	2074
48	Flores991	2043
48	Racengan	2043
50	Sheldor097	2028
51	Eraxa	2004
52	TheDankPlatypus	1849
53	EcksDofficial	1827
54	chipklip	1791
55	alderban107	1771
56	_Boipl_	1624
57	Jackattack53	1587
58	mwrty	1527
59	PhantomsGhost_	1486
60	ImpavidArcher	1480
61	jcool7	1420
62	Onennon	1395
63	Werbe	1366
63	AssEatrAndLicker	1366
65	MattieHD	1352
66	eviltunix	1343
67	Sky_light_KING	1277
68	claivin	1264
69	ROY4LE	1259
70	fred870d	1256
71	PlzNoBM	1243
72	oxfordschool	1241
73	Cowison	1192
74	diamondgolem35	1188
75	ShedJr_	1174
76	MightyWertu	1139
77	Fullut	1096
78	ayamefag	1091
79	Sral7	1015
80	RebelAndroid	1000
81	SkateboardR6	983
82	HesDemonPants	958
83	Blu3beast	933
84	TheShyPig	932
85	sp00ky_ghost977	931
86	Joestra	930
87	m_be9	890
88	Arceus1975	871
89	fluddd	860
90	El_Jalapeno	832
91	Chromary	813
92	500am	804
93	himak1	803
94	EMC_	777
95	Inbefour	747
96	Rumpletaezer	728
97	youhjjhhhjj	690
98	SaucyDark	666
99	Kakolbus	647
100	KarlKaek	643
101	Skippeh	639
102	vandmanden	605
103	Mewar	592
104	NomadicRobin_	590
104	Soplight	590
106	Snowflowe	583
107	Bandito_Roamer	581
107	bigstankyy	581
107	UrbanPlanner1978	581
110	Maenara	565
111	Xclax101	555
112	ProfessorBee	550
113	selectrix	546
114	gcaisawesome	544
115	djancak	536
116	Kubeusz2010	533
117	I_Am_Mushkin	531
118	soundad	521
119	Kowcio_	520
120	CheifJumbo	512
121	Skylord_Luke	491
122	monky_irl	489
123	Winklepicker279	483
124	Merv__	478
125	Historical_Sand	477
126	SteveCraftBlocks	460
127	kinas45y5	458
