rank	username	minecraft:picked_up/minecraft:tnt
1	Hyp3rion_	593906
2	thewindmillman	253861
3	EcksD	85360
4	Spacewardharpy7	6572
5	Jackattack53	4871
6	eitanzaki	4404
7	MattieHD	4068
8	noam464	3936
9	joethahobo	2727
10	zToasty69z	2502
11	Di_infiri	2117
12	set67	1876
13	Werbe	1781
14	kekhon	1612
15	BlancoFlaco	1584
16	HellsSponge	1565
17	Blaiku	1507
18	TheSecondLord	1455
19	PigDab	1319
20	lordpipe	1243
21	Lez_	1193
22	jnp_gaming	1183
23	Segotep999	1156
24	SuperPooch06	1113
25	jcool7	1093
26	Smashic	1004
27	ApophisNova	933
27	MyNamaSheff	933
29	Justins_Juliet	864
30	Huwulling	814
31	Mahoose	769
32	YungMaki	742
33	Chromary	722
34	Enderxz3	716
35	AdmiralSmoke	688
36	PazinGaming	675
37	thescout7	674
38	Jimb0nat0r	663
39	WET_WET_WET	650
40	HesDemonPants	623
41	MilleGrug	547
42	mwrty	530
42	Quotary	530
44	Akoot_	501
45	beeperbeeper5	497
46	FreakGenius	489
47	SyK7	486
48	Strangemonkey71	464
49	Spenduh	442
50	yheece	427
51	SaphLaseer	419
52	T045RTY	403
53	Mattesco	395
54	Fullut	368
55	Eraxa	365
55	deadshot16	365
57	rarrq	353
58	djancak	345
59	SDMNAEK	338
60	oscminus	334
60	claivin	334
62	Steelynan	333
63	PortlyPete69	324
64	Secret_Canary	312
65	lorpus	300
66	Kowcio_	291
67	xolstoi	285
68	Inchef	283
69	Alteriity	280
69	Blu3beast	280
71	Winklepicker279	272
72	SkateboardR6	270
73	imcombxt	237
74	SingedBread	230
75	Tyrannosplart	228
76	fffMike	216
77	PlzNoBM	209
78	I_Moose	206
79	bigstankyy	205
80	hanaryheatwave	202
81	gcaisawesome	198
81	TechnoNinja64	198
83	emrekn	197
84	Ryan_GEMS	195
85	SmashingPump	191
86	ECstardust	190
86	Kakolbus	190
88	k_ce	188
89	Frozil20	187
90	pintsizedrogue	185
90	SteveCraftBlocks	185
92	ProfessorBee	183
93	SoosAmongus	182
94	Ezekson	181
95	_Virify_	165
95	CollinMH06	165
97	HolyVenom	162
98	Rebytre	159
99	xxPipperDipperxx	158
100	LexMakesHistory	156
101	ReSynced	147
102	Groovy_MoonBird	146
102	fw3xy74	146
102	FreddyFart	146
105	Arceus1975	144
106	AlexxO_o	143
107	EMC_	142
108	Quaintster	141
109	_Mythic____	140
109	skrongus	140
111	_Karmaa	137
112	4774	134
113	ZeroAbyssTTV	131
114	TheShyPig	129
115	Swexti	128
116	Bumpy419	123
117	__tomato	118
118	Historical_Sand	116
119	Merv__	112
120	monky_irl	108
121	fr_ser	105
121	AlphaWolfPlaysMC	105
123	lillips	104
124	InfernalMound	103
124	Racengan	103
126	MS_Pryxx	100
127	PhantomsGhost_	96
128	Zythose	91
129	elicobnoah	90
130	Blackberry1310	88
130	LilyNova	88
132	ITDV	86
133	KarlKaek	84
133	Kura2218	84
135	Zaridey	82
135	ZeroKraken	82
137	gren_ben	81
137	r123moore	81
139	Manaateee	80
139	censorsheep	80
141	Creativebuilder2	79
142	Nicky19	75
142	starbits140	75
144	88Hazza88	74
145	12Magner05	73
145	Lord_Jord	73
145	vandmanden	73
148	pappaberg	72
148	TheWildMateo	72
150	Kim_Jong_eel	70
150	MakeHistory157	70
152	Aeons666	69
152	luseis	69
154	DarlaMeow	68
154	Skippeh	68
156	FishisTTV	67
157	Hpdinosaur	66
157	Martin_198	66
159	NieToksikpl	65
160	seramalen	63
161	xzvu	61
162	cichy096	60
163	Badenbeele	59
163	diamondgolem35	59
163	NoChumpChange	59
166	Legendosh	58
167	Onennon	57
167	EveryonesUncle	57
167	Druid95	57
170	wezzzi	55
170	PlasticOtari	55
172	noodlepack	52
173	THEKINGLyric10	51
174	Sorins	50
175	mariominejedi	48
175	UCP_TheKingK	48
177	sp00ky_ghost977	47
178	NatalieTW	46
178	Nicserso	46
180	500am	45
181	himak1	44
181	El_Jalapeno	44
183	MinttyFressh	42
183	Hiryu27	42
183	victorLIE	42
186	Nycteus_	41
187	ImpavidArcher	40
187	Da_Boss_Rani	40
189	pixelviolin	38
190	_Bguette_	37
190	Kubeusz2010	37
192	FrostySlimez	36
192	Krowuss	36
192	F_Uhre	36
192	natajimi	36
196	2blox_	35
197	lcvezra	34
197	obzii	34
199	CLG_Kata	33
199	Motsaro	33
199	Rumpletaezer	33
199	Njensen7	33
199	diggydog67	33
204	selectrix	32
204	Ibrahim00	32
206	H0UNDFRMH3LL	31
206	Elastiq	31
206	non089	31
209	jessemgaming	30
209	00000000-0000-0000-0009-01f570995a20	30
211	ExtraDumb	29
211	fkGrim	29
211	h2p_emrld	29
214	CloroxBleach385	28
214	fluddd	28
216	Thaumatarge	27
216	Bandito_Roamer	27
216	H72l9w	27
216	301851	27
216	uhm__okay	27
216	MousePlays	27
216	_TCARREIRA_	27
216	KingMatthew506	27
224	pr33tu	26
224	TheImperial	26
226	Kouridragon	25
226	SvenskaHugo	25
228	G1ldor	24
228	Deathkob	24
228	Yungandspicy	24
231	chipklip	23
231	Xclax101	23
231	mihimihimihi	23
231	SammiWolfGirl	23
235	bloodbiter	22
235	k1ngGilgamesh	22
235	stavgod	22
238	Maenara	21
238	LeonelSalamanca	21
238	ConnorDanky_	21
241	jushykins	20
241	Tiberonus	20
241	Luigipunch989	20
241	FelixPSY375	20
245	Tmb1	19
245	ROY4LE	19
245	MrQuanQuan	19
248	Jovaphobic	18
248	Lotheburgh	18
248	Ailmast	18
248	Valoth	18
248	Cryptacity	18
248	Z3braYTIL	18
248	Xalithia	18
248	ARandomHedge	18
248	AJplaysMC_	18
248	whoaluv	18
248	JitteryJared2	18
248	jewbacaman	18
248	ougstur	18
248	CarryLine	18
248	DTwenty	18
248	MAns_44	18
248	Hisiste	18
248	TheEnderMan548	18
248	AssFullaCum	18
248	DracZSenpai	18
248	ediballbearings	18
248	Dogcorn69420	18
248	DennyKai	18
248	SpaceTurtleOX	18
248	Serval2000	18
273	6king6colt6	17
273	_Boipl_	17
273	laron58	17
273	Sral7	17
