rank	username	minecraft:picked_up/minecraft:netherite_hoe
1	500am	34
2	Kowcio_	24
3	beeperbeeper5	21
4	noam464	19
5	FreakGenius	17
6	T045RTY	12
7	Smashic	11
8	Blackberry1310	10
8	Hyp3rion_	10
10	AdmiralSmoke	8
11	k_ce	7
11	Mahoose	7
13	kekhon	6
13	Krowuss	6
13	luseis	6
13	Jimb0nat0r	6
13	skrongus	6
18	UCP_TheKingK	5
18	SpacesickPrism	5
20	q_wq	4
20	Alteriity	4
20	Huwulling	4
20	NieToksikpl	4
20	shadowthemonkey	4
20	thewindmillman	4
20	HolyVenom	4
20	Manaateee	4
20	Racengan	4
20	Segotep999	4
20	PlasticOtari	4
31	pintsizedrogue	3
31	_Virify_	3
31	_Huge_Male_	3
31	ITDV	3
31	rarrq	3
31	Spacewardharpy7	3
31	lordpipe	3
31	MineMaster0012	3
31	_i_ERROR_i_	3
31	ConnorDanky_	3
31	Enderxz3	3
42	CLG_Kata	2
42	RoskobiOne	2
42	ECstardust	2
42	Raltemoxitonica	2
42	lorywithay	2
42	Lez_	2
42	set67	2
42	mwrty	2
42	Touched_Bread	2
42	hanaryheatwave	2
42	Snowflowe	2
42	Akoot_	2
42	masskedman	2
42	HellsSponge	2
42	Eraxa	2
42	SvenskaHugo	2
42	Kubeusz2010	2
42	Ezekson	2
42	HesDemonPants	2
61	wylify	1
61	j5ylim	1
61	NatalieTW	1
61	teslawolf38	1
61	KarlKaek	1
61	rachcl	1
61	Ryan_GEMS	1
61	eitanzaki	1
61	ShedJr_	1
61	Myszoaz	1
61	joethahobo	1
61	jessewegottacook	1
61	MrKrabOnCoke	1
61	Da_Boss_Rani	1
61	Crowman1	1
61	bloodbiter	1
61	MattieHD	1
61	SoftSix	1
61	Secret_Canary	1
61	Masssonnn	1
61	4774	1
61	Awyrlas	1
61	Xalithia	1
61	ARandomHedge	1
61	Marbz_	1
61	Jackattack53	1
61	UMosDiesIrae	1
61	0Vyp_	1
61	Eczbox	1
61	F_Uhre	1
61	AlexxO_o	1
61	CarryLine	1
61	LeonelSalamanca	1
61	NomadicRobin_	1
61	LexMakesHistory	1
61	autisticcupcake	1
61	DarkS0L	1
61	Tyrannosplart	1
61	Fuad_R	1
61	Blaiku	1
61	Airem_Core	1
61	Myntsys	1
61	mr_crabs761	1
61	_Mythic____	1
61	pixelviolin	1
61	YungMaki	1
61	Doorknob0101	1
61	Sheldor097	1
61	Dreamdbr14	1
61	Steelynan	1
61	Eczbek	1
61	ZoomieZoomie	1
61	EcksD	1
61	CattSoup	1
61	2blox_	1
61	MadmanRaven	1
