rank	username	minecraft:picked_up/minecraft:leather_leggings
1	Smoke____	41
2	thewindmillman	40
3	kekhon	38
3	TechnoNinja64	38
5	joethahobo	36
5	beeperbeeper5	36
7	Ezekson	34
8	Hyp3rion_	33
8	Akoot_	33
8	Soplight	33
11	teslawolf38	29
12	Spacewardharpy7	28
13	Freak_Genius	27
13	El_Jalapeno	27
13	SingedBread	27
16	Mahoose	25
17	Blackberry1310	24
17	Xclax101	24
19	TheShyPig	23
20	Fullut	20
20	Werbe	20
22	pintsizedrogue	18
22	PigDab	18
24	noam464	17
24	HellsSponge	17
24	Enderslayerxz3	17
27	_Virify_	15
27	TheSecondLord	15
27	Bumpy419	15
27	censorsheep	15
27	Eraxa	15
27	EcksDofficial	15
33	I_Am_Mushkin	14
33	djancak	14
35	RebelAndroid	13
35	ShedJr_	13
35	rarrq	13
35	himak1	13
35	Di_infiri	13
35	selectrix	13
41	set67	12
41	YungMaki	12
41	KingMatthew506	12
41	oxfordschool	12
45	q_wq	11
45	500am	11
45	Mewar	11
45	Winklepicker279	11
45	Zythose	11
45	Kowcio_	11
45	Legendosh	11
52	Cowison	10
52	jacxhadow	10
52	Lord_Jord	10
52	Frozil12	10
52	sp00ky_ghost977	10
57	EMC_	9
57	Sleek_Storm_721	9
57	Kamflame10	9
57	eviltunix	9
57	Arceus1975	9
57	Onennon	9
57	EveryonesUncle	9
57	Blaiku	9
57	lordpipe	9
57	bloomkieren	9
57	SammiWolfGirl	9
57	Kubeusz2010	9
69	Jovaphobic	8
69	eitanzaki	8
69	Kkanot	8
69	ApophisNova	8
69	Blu3beast	8
69	Ze_BaronKrigler	8
69	Miko_Fullbuster	8
69	RadarHz	8
69	MyNamaSheff	8
78	ImpavidArcher	7
78	T045RTY	7
78	fr0stss	7
78	m_be9	7
78	mwrty	7
78	thescout7	7
78	gcaisawesome	7
78	Kakolbus	7
78	Snowflowe	7
78	ebanana	7
78	NameGenerat0r	7
78	Njensen7	7
78	jnp_gaming	7
91	Merv__	6
91	CoffeeNoir	6
91	bloodbiter	6
91	BilboBaggins23	6
91	Awyrlas	6
91	loveseeker	6
91	MyNameIsJobo	6
91	whoaluv	6
91	Chromary	6
91	Hoid_the_Roamer	6
91	FishyBoy3811	6
91	NomadicRobin_	6
91	lillips	6
91	Vorlice	6
91	monky_irl	6
91	Spenduh	6
91	fffMike	6
91	laron58	6
91	vandmanden	6
110	Bandito_Roamer	5
110	Mr_Byzantine	5
110	FroggoTheDoggo	5
110	Dedalus36	5
110	SaucyDark	5
110	livingdaydreams	5
110	12Magner05	5
110	Xalithia	5
110	NoxxxxiS	5
110	WET_WET_WET	5
110	lizardfightclub	5
110	RodSerlingCringe	5
110	masskedman	5
110	Jiminie	5
110	Deathkob	5
110	drumine	5
110	Deerfoot	5
110	Racengan	5
110	SvenskaHugo	5
110	pixelviolin	5
110	Kyrum2169	5
110	_AAZAR	5
110	PlasticOtari	5
110	Sral7	5
110	JayToe	5
135	MunkaKris	4
135	Groovy_MoonBird	4
135	soundad	4
135	Drlzyy	4
135	error10101	4
135	Reamdin	4
135	Jackster03	4
135	Myszoaz	4
135	BobDeBouwer1337	4
135	o0z	4
135	xxPipperDipperxx	4
135	r123moore	4
135	platinumzero	4
135	M_Patata	4
135	ooga47	4
135	KeruNatsema	4
135	Katsuragi0243218	4
135	JESS_THE_RERE	4
135	claivin	4
135	fluddd	4
135	MovingFish7	4
135	MasterNueve	4
135	MakeHistory157	4
135	33sudo	4
135	Nagasaki_Riku	4
135	SSytex_X	4
135	stahouo	4
135	lcvezra	4
135	Sheldor097	4
135	Hermanni__	4
135	tartanboy	4
135	anbbang	4
135	EcksD	4
135	Quotary	4
135	Nicserso	4
135	kinas45y5	4
135	WYFYoyo	4
135	h2p_emrld	4
135	00000000-0000-0000-0009-01f898304150	4
174	seanitoo	3
174	_stets	3
174	6king6colt6	3
174	KarlKaek	3
174	ExtraDumb	3
174	Hpdinosaur	3
174	Flores991	3
174	Wooptey	3
174	SquadMonster	3
174	Alphanzt99	3
174	Auseawesome	3
174	MattieHD	3
174	Inchef	3
174	XboxPanda	3
174	mariominejedi	3
174	__Fanda__	3
174	fr_ser	3
174	Jackattack53	3
174	burbankbuilder28	3
174	_Boipl_	3
174	aec9	3
174	PuFY	3
174	Leyna3	3
174	TheTrueClipse	3
174	Inbefour	3
174	majlin16	3
174	DarlaMeow	3
174	DanTheBuilderino	3
174	Testificate_517	3
174	Barlycorn	3
174	NotMeowMix	3
174	Razzgriz	3
174	Omar_Alone	3
174	ReyTheLegend	3
174	GlitchyPlate810	3
174	obzii	3
174	jcool7	3
174	smogfrog	3
174	diggydog67	3
213	PhantomsGhost_	2
213	xyct	2
213	Nesquiczek	2
213	Kegradigm	2
213	BlancoFlaco	2
213	Tolhart	2
213	youhjjhhhjj	2
213	NinjaKnifeKill	2
213	SpaceGrenadier	2
213	IWorkAtIkea	2
213	Vizzoid	2
213	Ozixar	2
213	dopplexd	2
213	Gary120	2
213	Ardennes	2
213	ProfessorBee	2
213	Megarboh	2
213	GingerNeutron	2
213	SteveCraftBlocks	2
213	_Dean_123	2
213	TheDiamondCG	2
213	Cambo5000	2
213	SharpDev	2
213	2Stout	2
213	_Gabae	2
213	Karetoko	2
213	ImDisconnected_	2
213	CollinMH06	2
213	Ristebraaten	2
213	Norrhede	2
213	SuperPooch06	2
213	LAVA129	2
213	andy_rex	2
213	MangoTheFish	2
213	WarMachina	2
213	Rebytre	2
213	seramalen	2
213	fred870d	2
213	TTNG	2
213	SullivanNephew	2
213	Kim_Jong_eel	2
213	Dan_Scha	2
213	Maenara	2
213	AlphaWolfPlaysMC	2
213	Wowful	2
213	FreddyFart	2
213	Lord_Zacler	2
213	Gryglu583	2
213	LexMakesHistory	2
213	The_Quack_Dealer	2
213	chipklip	2
213	Meatlaugh	2
213	DemTechAlpha	2
213	MAns_44	2
213	MangoSalad316	2
213	MustaLoordi	2
213	banana_ketchup	2
213	Templar_David	2
213	Cyntrical	2
213	Fildyr	2
213	ProfessorDiaper	2
213	DolphinLaugh	2
213	Dusk_95	2
213	Mistruth	2
213	Smiguli_	2
213	WyngGoy	2
213	CSG_Haru	2
213	ayamefag	2
213	Soul_Atreus	2
213	KG1999	2
213	_Tilariel_	2
213	BlankityMcBlank	2
213	CLUBN2	2
213	__tomato	2
213	Fizznut909	2
213	_TCARREIRA_	2
213	SunsetwolfGG	2
213	CalebDHawk	2
213	sebastiensaborio	2
213	Dreamdbr14	2
213	MilleGrug	2
213	Skippeh	2
213	Smaldo	2
213	Lowjinx	2
213	HesDemonPants	2
213	momis24	2
213	JohnPrice	2
213	trexgb	2
