rank	username	minecraft:picked_up/minecraft:cut_sandstone_slab
1	xzvu	1469
2	Merv__	1132
3	Steelynan	849
4	kekhon	787
5	eviltunix	735
6	Di_infiri	650
7	Mahoose	571
8	_Karmaa	509
9	Ailmast	485
10	LeauVox4921	456
11	MightyWertu	439
12	Akoot_	421
13	Blackberry1310	414
14	Deathkob	378
15	Mr_Byzantine	374
16	wobn	363
17	Sral7	333
18	_stets	295
19	AdmiralSmoke	274
20	Wowful	260
21	KarlKaek	246
22	diamondgolem35	238
23	Kyrum2169	234
24	FreakGenius	233
25	Soplight	231
26	joethahobo	221
27	MousePlays	174
28	Eraxa	173
29	beeperbeeper5	146
30	xXTheWolfmanXx	145
31	FreddyFart	140
32	Werbe	135
33	ganyuganyu	127
34	ImpavidArcher	125
34	Optiprimus	125
36	yaboo88	118
36	ApophisNova	118
36	MyNamaSheff	118
39	audiocracked	106
40	TheSecondLord	101
40	Fullut	101
42	RebelAndroid	88
43	Frozil20	81
44	luseis	78
45	himak1	76
46	TheShyPig	70
47	_Bguette_	64
48	the_fireminer	62
49	xolstoi	60
50	2Stout	59
51	BodaciousCake	58
52	500am	55
53	HellsSponge	54
53	Enderxz3	54
55	Waffleman258	51
56	Ssor69	50
56	NNikitas	50
58	epiksk8erduck	49
59	drompje	43
60	Doom_melon	42
61	TechnoNinja64	41
62	ROY4LE	40
62	shadowthemonkey	40
62	CACTUSLAD	40
65	weabis	39
66	AuroraValkyrie	37
66	Crumbls	37
68	Legendosh	36
69	KingFaenor	35
69	peach0s	35
69	SaintJosie	35
69	Maenara	35
69	SkateboardR6	35
74	RobotMinion101	33
75	YungMaki	31
76	The_Quack_Dealer	30
76	Jimb0nat0r	30
78	Cryptacity	29
78	SuperPooch06	29
78	420BreadLizard	29
81	ShedJr_	28
81	Ezekson	28
83	ReyTheLegend	26
84	eitanzaki	25
85	Kim_Jong_eel	24
86	r123moore	22
86	fluddd	22
88	Hyugo	21
89	stellarjay	19
90	John6970	18
90	__tomato	18
92	jessewegottacook	17
92	TheWildMateo	17
94	WyngGoy	16
95	Inconvenionce	15
96	ZaneABrain	14
96	andy_rex	14
96	SwooshBoi	14
99	MeowMeowMcmuffin	13
99	Manaateee	13
99	DarlaMeow	13
99	Deerfoot	13
103	noam464	12
103	Tyrannosplart	12
103	tlustyCZARNY	12
103	Sheldor097	12
107	PegLegPete93	11
108	Ajax6	10
109	Parcc	9
110	TheDumbHuman	8
111	SmashingPump	7
111	Rich_Kat	7
111	eli_tschki	7
111	EveryonesUncle	7
111	JureJurko	7
111	NameGenerat0r	7
117	Arceus1975	6
117	thgrocks	6
119	rarrq	5
119	wiqor	5
119	Dreamdbr14	5
119	TheOuterCore	5
123	_Dean_123	4
123	Kakolbus	4
123	King_Pancake1	4
123	ooga47	4
123	PigDab	4
123	C0oOK13M0N5T3R	4
129	TheMilkerOfCats	3
129	Cats_Fly	3
129	Inchef	3
129	legal_tax_evader	3
129	Jackattack53	3
129	ElectricDragon81	3
135	ssleepless	2
135	Incinere	2
135	Da_Boss_Rani	2
135	Karetoko	2
135	Snowflowe	2
135	Felenov	2
135	Ze_BaronKrigler	2
135	_3Stump_	2
143	pintsizedrogue	1
143	jspwn	1
143	Hpdinosaur	1
143	Awyrlas	1
143	Cellcorgi649	1
143	oscminus	1
143	LeonelSalamanca	1
143	claivin	1
143	silverpopcorn	1
143	Spacewardharpy7	1
143	lordpipe	1
143	MakeHistory157	1
143	Segotep999	1
143	lcvezra	1
143	jcool7	1
143	erkada	1
143	Nicserso	1
143	h2p_emrld	1
