rank	username	minecraft:picked_up/minecraft:clay
1	thewindmillman	198959
2	Lord_Jord	8326
3	pintsizedrogue	5422
4	PlasticOtari	4782
5	Freak_Genius	3911
6	Di_infiri	3713
7	Sral7	3465
8	500am	3160
9	gcaisawesome	3092
10	Hyp3rion_	2827
11	Rumpletaezer	2638
12	YungMaki	2281
13	Jiminie	2177
14	Enderslayerxz3	1928
15	Ryker	1790
16	joethahobo	1581
17	Bumpy419	1441
18	HellsSponge	1436
19	Arceus1975	1334
20	Akoot_	1319
21	Kowcio_	1292
22	ProfessorBee	1273
22	beeleg	1273
24	oxfordschool	1190
25	Miko_Fullbuster	1096
26	Deathkob	990
27	GlitchyPlate810	974
28	Soplight	888
29	LeauVox4921	852
30	MilleGrug	829
31	TheShyPig	806
32	Luigipunch989	747
33	EcksDofficial	731
34	noam464	728
35	Chromary	653
36	iSammael	651
37	EveryonesUncle	629
38	beeperbeeper5	624
39	Smoke____	614
40	Snowflowe	612
41	Kakolbus	558
42	nocturne78	554
43	kekhon	547
44	Werbe	514
45	RodSerlingCringe	469
46	EMC_	461
47	Mr_Byzantine	453
47	Inchef	453
49	Zythose	449
50	Syropatathe	448
51	xXTheWolfmanXx	446
52	Segotep999	419
53	NameGenerat0r	404
54	Marbz_	392
55	Crowman1	390
56	Deerfoot	388
57	Blackberry1310	364
58	Jackattack53	362
59	PigDab	359
60	microcrisp	358
61	DTwenty	355
62	Merv__	341
63	groofles	317
64	Blaiku	312
65	claivin	293
66	Mahoose	285
67	Ssor69	277
68	SpacesickPrism	256
69	TheSecondLord	247
70	m_be9	236
71	tuckerdoodle	228
72	07shiny	227
72	stahouo	227
74	wwwwinnebagoooo	225
75	NomadicRobin_	223
76	SyntheticSurgeon	215
77	h2p_emrld	213
78	Cowison	204
79	DemTechAlpha	196
80	Skylord_Luke	186
81	mwrty	185
82	ShedJr_	173
83	Winklepicker279	171
84	lillips	170
85	r123moore	168
86	Ezekson	163
87	_Tilariel_	160
88	EngagedGrub41	155
89	diamondgolem35	152
90	Smashic	150
91	obzii	140
92	Huwulling	133
92	Rebytre	133
94	UrbanPlanner1978	125
95	12Magner05	120
96	seanitoo	117
97	kyouma777	114
98	_Dean_123	111
99	cichy096	100
100	Euclidoris	98
101	Lutres_Torane	94
102	Eczbek	93
103	Blu3beast	89
104	El_Jalapeno	86
105	Alteriity	85
106	set67	78
107	djancak	73
108	Steelynan	70
109	SvenskaHugo	68
110	iHuntWeeaboos	63
111	Bandito_Roamer	61
112	ApophisNova	57
112	MyNamaSheff	57
114	OfficerAnvil	56
115	Hoid_the_Roamer	50
115	Groundler	50
115	PlzNoBM	50
118	Cellcorgi649	49
119	Eraxa	48
120	layabout100	45
120	2blox	45
122	eitanzaki	44
122	sxc_	44
124	_naturell	43
125	EcksD	42
125	jnp_gaming	42
127	jcool7	38
127	TechnoNinja64	38
129	T045RTY	37
129	Cryptacity	37
129	burbankbuilder28	37
129	mihimihimihi	37
133	Soap_Bender	36
134	JohnnyFyes	35
134	jushykins	35
136	AlexxO_o	34
137	himak1	33
137	Mewar	33
139	SammiWolfGirl	29
140	Frozil20	28
140	NieToksikpl	28
142	surfinggiraffejp	27
142	MakeHistory157	27
144	lordpipe	26
144	PortlyPete69	26
146	Dusk_95	25
147	Cortexia	24
148	titanlax	23
148	MyNameIsJobo	23
148	fluddd	23
151	Vindogster	21
152	Sleepy_Time_	20
153	HolyVenom	19
153	KingMatthew506	19
155	MangoTheFish	18
155	Fuad_R	18
157	RobotMinion101	17
158	Swexti	16
158	__Fanda__	16
158	Templar_David	16
161	MSK__	15
161	LeGold	15
163	stavgod	14
164	youhjjhhhjj	13
164	CoffeeNoir	13
164	dopplexd	13
164	Onennon	13
164	_Cloverbelle_	13
164	starbits140	13
164	SSytex_X	13
164	Legendosh	13
172	Tobinator_007	12
172	NoChumpChange	12
174	hm947	11
174	AltnumberF4	11
176	Wowful	8
176	remmisrat	8
178	6king6colt6	7
178	Myszoaz	7
178	Sky_light_KING	7
178	DanTheBuilderino	7
178	FishisTTV	7
183	Ailmast	6
183	ImpavidArcher	6
183	Masssonnn	6
183	thescout7	6
183	SokaOtaku	6
183	fred870d	6
189	Quincannon	5
189	Rainaldus	5
191	fanofbands101	4
191	ssleepless	4
191	RebelAndroid	4
191	SDMNAEK	4
191	Awyrlas	4
191	emrekn	4
191	lcvezra	4
198	Sleek_Storm_721	3
198	lizardfightclub	3
198	binman420	3
198	Racengan	3
198	UCP_TheKingK	3
198	non089	3
198	fffMike	3
198	Hermanni__	3
206	leaf26	2
206	Kamflame10	2
206	Purplehere	2
206	regulator75	2
206	CarryLine	2
206	ToastedGamingYT	2
206	MAns_44	2
206	sp00ky_ghost977	2
206	Optiprimus	2
206	pixelviolin	2
206	CalebDHawk	2
206	Kubeusz2010	2
206	Skippeh	2
206	MeetTheWollo	2
206	coobert42	2
221	Louiis123	1
221	ivorico	1
221	SpaceGrenadier	1
221	Historical_Sand	1
221	MattieHD	1
221	drunkeeez	1
221	Rocco_Lane	1
221	dartwaffle	1
221	chipklip	1
221	SkateboardR6	1
221	Yahir091	1
221	ItsDeltaMC	1
221	TheEnderman548	1
221	Spenduh	1
221	Dr0xzy	1
221	Quotary	1
221	Nicserso	1
221	FelixPSY375	1
221	Jimb0nat0r	1
221	diggydog67	1
