rank	username	minecraft:picked_up/minecraft:sheaf_pottery_sherd
1	pintsizedrogue	8
2	Archsam	3
2	Jackattack53	3
4	oscminus	2
4	Kowcio_	2
6	beeperbeeper5	1
6	Hyp3rion_	1
6	Samificator	1
6	pixelviolin	1
6	Enderxz3	1
