rank	username	minecraft:picked_up/minecraft:spyglass
1	Mahoose	20
2	Blackberry1310	14
2	Akoot_	14
4	eitanzaki	13
5	500am	9
6	ApophisNova	8
6	NomadicRobin_	8
6	MyNamaSheff	8
9	12Magner05	7
10	OtariCharlie	6
10	Frozil12	6
10	fluddd	6
13	thewindmillman	5
14	Jackattack53	4
14	Soplight	4
14	jcool7	4
17	ImpavidArcher	3
17	rarrq	3
17	kekhon	3
17	egglapras	3
17	noam464	3
17	TheDankPlatypus	3
17	Freak_Genius	3
24	pintsizedrogue	2
24	Merv__	2
24	TheSecondLord	2
24	_Dean_123	2
24	lillips	2
24	majlin16	2
24	Blu3beast	2
24	Racengan	2
24	IDealess_At_This	2
24	Eczbek	2
24	Ezekson	2
35	Mr_Byzantine	1
35	Drlzyy	1
35	Spaghettatron	1
35	CoffeeNoir	1
35	joethahobo	1
35	ChampPog_	1
35	SteveCraftBlocks	1
35	Awyrlas	1
35	orxngejuice	1
35	Inchef	1
35	Xalithia	1
35	SuperPooch06	1
35	Hyp3rion_	1
35	_Boipl_	1
35	regulator75	1
35	Mattesco	1
35	CarryLine	1
35	Deathkob	1
35	MAns_44	1
35	secondstepsis	1
35	Spacewardharpy7	1
35	lordpipe	1
35	Eraxa	1
35	SvenskaHugo	1
35	YungMaki	1
35	tsitrawhy	1
35	sebastiensaborio	1
35	MilleGrug	1
35	BurgerKnight	1
35	Skippeh	1
35	Legendosh	1
35	ImScootronic	1
35	momis24	1
35	WYFYoyo	1
35	Smoke____	1
