rank	username	minecraft:picked_up/minecraft:wooden_hoe
1	MovingFish7	123
2	rarrq	99
3	Cryptacity	64
4	pintsizedrogue	22
5	Mr_Byzantine	13
5	Kowcio_	13
5	Yamdalorian	13
8	Enderxz3	12
9	Huwulling	11
9	Pumpkin_P_Patch	11
11	k_ce	9
11	Merv__	9
11	royal_2	9
11	MattieHD	9
11	Jimb0nat0r	9
16	beeperbeeper5	7
16	Spaghettatron	7
18	thewindmillman	6
18	El_Jalapeno	6
18	doublemaki	6
18	Legendosh	6
22	Apollo_993	5
22	Sleepy_Time_	5
22	corvidpartyfor6	5
22	Jackattack53	5
22	Akoot_	5
22	MAns_44	5
22	Soplight	5
29	j5ylim	4
29	_witch_craft_	4
29	XboxPanda	4
29	Kakolbus	4
29	Wowful	4
29	FreakGenius	4
29	Jamstroxian	4
29	Spacewardharpy7	4
37	Napoleonpancake	3
37	MyMawgDonaldsGon	3
37	MSK__	3
37	TheSecondLord	3
37	kekhon	3
37	ROY4LE	3
37	noam464	3
37	Parcc	3
37	CaptainAvenger7	3
37	Samificator	3
37	Hahaa_0	3
37	Blu3beast	3
37	FiguraDei	3
50	eitanzaki	2
50	Alteriity	2
50	Mahoose	2
50	Blackberry1310	2
50	SteveCraftBlocks	2
50	wiqor	2
50	_Minnty_	2
50	ItzYaBoiPicard	2
50	UncleDanDan	2
50	craaaash	2
50	legal_tax_evader	2
50	Hyp3rion_	2
50	wTXop	2
50	LugusMcGrugus	2
50	Galactic_Badger	2
50	TheShyPig	2
50	luseis	2
50	rotten_mango	2
50	LokisCharredFace	2
50	THEKINGLyric10	2
70	Groovy_MoonBird	1
70	jjettii	1
70	_Virify_	1
70	SyK7	1
70	PhantomsGhost_	1
70	Voltique69	1
70	ECstardust	1
70	Frozil20	1
70	I_Am_Mushkin	1
70	IronArshXS	1
70	NotMyLucKMC	1
70	ZaneABrain	1
70	PhantomBionic	1
70	Lez_	1
70	joethahobo	1
70	Gregward_Smith	1
70	Historical_Sand	1
70	oreee	1
70	Tersea_	1
70	m_be9	1
70	Studio4x32	1
70	Fullut	1
70	philandr	1
70	_Banjo_1	1
70	UnderKat	1
70	hcb238	1
70	SHAOBADMAN	1
70	ImDisconnected_	1
70	CosmicStardustt	1
70	MyNameIsJobo	1
70	Norrhede	1
70	impossibleteapot	1
70	HAIRYCLOUD626	1
70	ApophisNova	1
70	Onennon	1
70	Shiirazu	1
70	AlexxO_o	1
70	ReSynced	1
70	kiluaemc	1
70	AspenLightVT	1
70	B3nzito	1
70	Groundler	1
70	Racengan	1
70	__Auspicious	1
70	Warlord324	1
70	mihimihimihi	1
70	monky_irl	1
70	TheTommyGun63	1
70	Eraxa	1
70	Segotep999	1
70	djancak	1
70	Luigipunch989	1
70	non089	1
70	Celeste_121	1
70	ProbsNotNova	1
70	elliebelle107	1
70	MisfitsMike	1
70	TheBananaKat	1
70	11Brewer	1
70	DairyNickel756	1
70	MyNamaSheff	1
70	Nicserso	1
70	little_dUki	1
70	2blox_	1
70	TechnoNinja64	1
70	DkansK	1
70	h2p_emrld	1
