rank	username	minecraft:picked_up/minecraft:end_crystal
1	joethahobo	1728
2	xzvu	78
3	Tyrannosplart	42
4	noam464	37
5	AdmiralSmoke	23
6	xxPipperDipperxx	18
7	NieToksikpl	16
7	Racengan	16
7	TechnoNinja64	16
10	tlustyCZARNY	14
11	diamondgolem35	12
11	Mahoose	12
13	YungMaki	11
14	beeperbeeper5	10
15	lordpipe	9
15	jcool7	9
15	HesDemonPants	9
18	eitanzaki	6
18	UCP_TheKingK	6
18	Steelynan	6
21	oscminus	5
22	k_ce	4
22	Fullut	4
22	lorpus	4
22	Snowflowe	4
22	LilyNova	4
22	Akoot_	4
22	Wowful	4
22	Russiancat1	4
22	handsome_strong	4
22	claivin	4
32	Soplight	3
33	CLG_Kata	2
33	ImpavidArcher	2
33	ITDV	2
33	rarrq	2
33	Blackberry1310	2
33	fluddd	2
33	Kowcio_	2
33	Ezekson	2
41	PhantomsGhost_	1
41	6king6colt6	1
41	Incinere	1
41	Natty	1
41	Huwulling	1
41	Lez_	1
41	Motsaro	1
41	Inchef	1
41	Tjhodskins19	1
41	gcaisawesome	1
41	SuperPooch06	1
41	Hyp3rion_	1
41	Krowuss	1
41	Mattesco	1
41	AlexxO_o	1
41	Nicky19	1
41	GooseWithin	1
41	_Bguette_	1
41	lillips	1
41	NameGenerat0r	1
41	censorsheep	1
41	Blaiku	1
41	SingedBread	1
41	Kyrum2169	1
41	__tomato	1
41	Enslaving	1
41	erkada	1
41	ConnorDanky_	1
41	jnp_gaming	1
41	MirielThePastor	1
41	PlasticOtari	1
41	xolstoi	1
