rank	username	minecraft:picked_up/minecraft:shroomlight
1	thewindmillman	8204
2	noam464	2734
3	pintsizedrogue	1618
4	joethahobo	1462
5	Smoke____	1184
6	Blackberry1310	1164
7	Snowflowe	1143
8	12Magner05	1027
9	500am	826
10	EMC_	782
11	beeperbeeper5	486
12	Steelynan	458
13	EveryonesUncle	441
14	Enderslayerxz3	413
15	Freak_Genius	373
16	Hyp3rion_	314
17	gcaisawesome	289
18	Legendosh	265
19	Blaiku	262
19	Spacewardharpy7	262
21	eitanzaki	258
22	RebelAndroid	255
23	titanlax	250
24	Kowcio_	247
24	Ezekson	247
26	TheSecondLord	238
27	Lord_Jord	230
28	Mahoose	227
29	Frozil20	224
30	kekhon	223
31	lillips	202
32	MSK__	199
33	Akoot_	198
34	SvenskaHugo	193
35	KartivGal	190
36	Segotep999	185
37	iHuntWeeaboos	178
38	M_Patata	167
39	Lutres_Torane	165
40	TheEnderman548	162
41	Historical_Sand	161
42	PlasticOtari	150
43	Marbz_	147
44	6king6colt6	144
45	Fullut	139
46	tuckerdoodle	131
47	Hermanni__	128
48	_Virify_	127
49	Yatitay	124
50	ImpavidArcher	122
51	Awyrlas	118
52	Arceus1975	109
53	Rebytre	106
54	Deathkob	103
55	Winston_Ingram	101
55	EngagedGrub41	101
57	lizardfightclub	100
58	lordpipe	98
59	r123moore	93
59	YungMaki	93
61	CoffeeNoir	89
61	rarrq	89
61	Xalithia	89
64	RoskobiOne	88
64	trexgb	88
66	DarlaMeow	87
67	BobDeBouwer1337	86
68	Jovaphobic	84
69	oxfordschool	80
70	Afinnity	78
71	Jiminie	75
72	Cowison	74
72	Kubelz	74
74	groofles	68
75	CliffEmAll	67
75	SingedBread	67
75	djancak	67
78	drunkeeez	66
79	fred870d	65
80	Jackattack53	64
81	hm947	62
81	livingdaydreams	62
81	PigDab	62
84	SkateboardR6	60
84	athereall	60
86	pumpfonzo	58
87	Decaying_Lotus	54
88	BlancoFlaco	53
88	Luigipunch989	53
90	FishyBoy3811	52
91	Mr_Byzantine	50
91	00000000-0000-0000-0009-01ff0c3e5e4f	50
93	CuzIm2Kev	49
93	jaimshae	49
95	ShedJr_	48
95	ogoa	48
95	Eraxa	48
98	Smashic	47
99	Ryker	45
99	AuroraSkies	45
99	brofrickcheaters	45
102	TheALV	44
102	anbbang	44
104	RatatJuice	40
104	LexMakesHistory	40
106	Ze_BaronKrigler	38
106	Kubeusz2010	38
108	Hoid_the_Roamer	34
108	MAns_44	34
108	Dusk_95	34
111	Menthas	33
112	MasterNueve	32
113	TAKrules	31
114	gustarbite	30
115	DinoDoctor_	29
115	HolyVenom	29
117	EcksD	28
118	diamondgolem35	27
118	Vorlice	27
120	Hpdinosaur	26
120	Moofyman	26
122	bloodbiter	25
122	CarltheCuck	25
124	ApophisNova	24
124	HellsSponge	24
124	NATE_the_HALO	24
124	MyNamaSheff	24
128	Njensen7	23
129	Winklepicker279	22
130	xxPipperDipperxx	21
130	Kakolbus	21
130	Skylord_Luke	21
133	whoaluv	20
133	mobunni	20
133	RadarHz	20
136	NieToksikpl	19
136	PegLegPete93	19
136	TheTommyGun63	19
136	GlitchyPlate810	19
140	soundad	18
140	Lez_	18
140	Soplight	18
143	mwrty	17
143	MineMaster0012	17
143	SpacesickPrism	17
146	Zythose	16
146	jnp_gaming	16
148	Werbe	15
148	Vegvisir	15
148	SammiWolfGirl	15
151	teslawolf38	14
151	Megarboh	14
151	himak1	14
151	ooga47	14
151	LazySupport00	14
156	Khelvoryk	13
157	AuroraValkyrie	12
158	orxngejuice	11
158	TheShyPig	11
158	Steven1282598	11
158	diggydog67	11
162	XboxPanda	10
162	EfficientC52	10
164	_stets	9
164	Eczbek	9
166	Inchef	8
166	TheDankPlatypus	8
166	Silvo614	8
166	DarkS0L	8
166	Eon_57	8
166	fffMike	8
166	2blox	8
173	NomadicRobin_	7
173	PortlyPete69	7
175	Dedalus36	6
175	SuperPooch06	6
175	AlexxO_o	6
175	KeruNatsema	6
175	YahooScreen9000	6
175	obzii	6
181	Travasaur	5
181	Prismyst	5
181	Swexti	5
181	Sleepy_Time_	5
181	Ardennes	5
181	eclipseboi	5
181	UncreativeArtist	5
181	breadbowlgamer	5
181	JitteryJared2	5
181	GravitySaint	5
181	Optiprimus	5
181	Shin69	5
193	jacxhadow	4
193	Di_infiri	4
193	StarPlanetMoon	4
193	BasedEphex	4
193	Nycteus_	4
193	Toriankel	4
193	monky_irl	4
193	sp00ky_ghost977	4
193	07shiny	4
202	Slinkyy7071	3
202	Da_Boss_Rani	3
202	crying_wolf_13	3
202	thescout7	3
202	Mookle96	3
202	MightyWertu	3
202	wwwwinnebagoooo	3
202	ChiefThrock	3
202	Skippeh	3
202	Nicserso	3
212	KarlKaek	2
212	tramizu	2
212	YungJakobo	2
212	Chromary	2
212	burbankbuilder28	2
212	cwartzo	2
212	Mattesco	2
212	H_Biscuit	2
212	Fuad_R	2
212	shrimp_flips	2
212	Shogunite	2
212	_Ruzeeq_	2
212	ItsDeltaMC	2
212	sigmabich	2
212	IdeallyGrey	2
212	SquidZooka2	2
228	Groovy_MoonBird	1
228	Ev0luti0nz	1
228	Merv__	1
228	I_Am_Mushkin	1
228	Alteriity	1
228	tortillatitan	1
228	_Dean_123	1
228	Lil_Breadboy	1
228	Huic_ostiarius	1
228	binman420	1
228	Gryglu583	1
228	NoChumpChange	1
228	El_Jalapeno	1
228	Hisiste	1
228	mihimihimihi	1
228	Airem_Core	1
228	ZoharGoldMine	1
228	KG1999	1
228	UltraZombie	1
228	VentiHilton	1
228	Quotary	1
228	AltnumberF4	1
228	MeetTheWollo	1
228	TechnoNinja64	1
228	Jordan_R	1
228	00000000-0000-0000-0009-01fbab7ea71d	1
228	00000000-0000-0000-0009-01f898304150	1
