rank	username	minecraft:picked_up/minecraft:acacia_leaves
1	beeperbeeper5	3725
2	gcaisawesome	2883
3	Di_infiri	2437
4	YungMaki	1633
5	noam464	1355
6	Smoke____	1231
7	Mahoose	1212
8	ImpavidArcher	1093
9	KarlKaek	935
10	Freak_Genius	784
11	Fullut	741
12	r123moore	643
13	ApophisNova	609
13	MyNamaSheff	609
15	ROY4LE	576
16	Hoid_the_Roamer	535
17	Segotep999	443
18	Ezekson	391
19	Snowflowe	380
20	TheShyPig	370
21	eitanzaki	316
22	andy_rex	299
23	Frozil12	285
24	pintsizedrogue	283
25	Werbe	282
26	kekhon	278
27	Enderslayerxz3	276
28	Blackberry1310	275
29	PlasticOtari	268
30	Steelynan	267
31	jnp_gaming	264
32	Spacewardharpy7	263
33	mariominejedi	238
34	NameGenerat0r	226
35	Kyrum2169	220
36	CarltheCuck	214
37	12Magner05	213
38	Th6masss	208
39	Groovy_MoonBird	197
40	Hiryu27	196
41	PhantomsGhost_	191
42	jspwn	188
43	fkGrim	177
44	Lord_Jord	172
45	HellsSponge	170
46	2Stout	156
47	lordpipe	146
48	mawileite	143
49	Kakolbus	140
50	Meatlaugh	125
51	Cryptacity	117
52	SteveCraftBlocks	116
53	potatocan	99
54	ibarker21	93
55	Avermu	92
56	Merv__	88
57	Mowelan	82
57	stahouo	82
59	_3Stump_	76
60	sp00ky_ghost977	75
61	TechnoNinja64	74
62	MelodyGaysharks	73
63	TinMaster	67
64	erkada	61
65	SammiWolfGirl	57
66	Kubeusz2010	51
67	JasmineGK	50
68	John6970	49
69	Hpdinosaur	47
70	Quaintster	44
70	EcksDofficial	44
72	TheSecondLord	40
73	Rich_Kat	39
73	MyNameIsJobo	39
73	_Karmaa	39
76	El_Jalapeno	35
76	Legendosh	35
78	Blaiku	32
79	lillips	30
80	h2p_emrld	24
81	SaucyDark	23
81	TheSeismicDuck	23
81	JESS_THE_RERE	23
84	dimondking777	22
84	Prodiginus	22
86	loveseeker	21
86	epiksk8erduck	21
88	titanlax	20
89	BlancoFlaco	19
90	thewindmillman	16
91	OfficerAnvil	15
92	Zaridey	14
93	Barlycorn	12
93	ProfessorDiaper	12
93	stellarjay	12
96	smogfrog	11
97	Onennon	10
97	FelixPSY375	10
99	youhjjhhhjj	9
99	joethahobo	9
99	FishyBoy3811	9
102	noodlepack	8
103	Akoot_	7
104	dopplexd	6
104	Scathra	6
104	Jackattack53	6
104	Bumpy419	6
104	Mattesco	6
109	MakeHistory157	5
109	CalebDHawk	5
109	Vellu21	5
112	_Dean_123	4
112	RodSerlingCringe	4
112	Soplight	4
115	Dipjol	3
115	Rumpletaezer	3
117	Jovaphobic	2
117	RebelAndroid	2
117	MrExplorer	2
117	Jiminie	2
117	Lutres_Torane	2
117	DemTechAlpha	2
117	Eraxa	2
117	Kowcio_	2
125	Cowison	1
125	xXTheWolfmanXx	1
125	ShedJr_	1
125	himak1	1
125	Winklepicker279	1
125	Hyp3rion_	1
125	Toowny	1
125	geekbird	1
125	OG_Songsee	1
125	AssFullaCum	1
125	__tomato	1
125	Aryamanee	1
125	EcksD	1
125	Sral7	1
