rank	username	minecraft:picked_up/minecraft:crimson_door
1	Di_infiri	42
1	Spacewardharpy7	42
3	ShedJr_	34
4	FreakGenius	21
5	beeperbeeper5	20
6	Mahoose	19
7	Lez_	18
7	Optiprimus	18
9	PlasticOtari	16
10	Luigipunch989	14
10	Legendosh	14
12	myaccountwasgone	13
13	Hyp3rion_	11
13	SammiWolfGirl	11
15	pintsizedrogue	10
16	shadowthemonkey	8
17	Hpdinosaur	7
17	kekhon	7
17	djancak	7
17	jnp_gaming	7
21	Mr_Byzantine	6
21	r123moore	6
21	Jackattack53	6
21	Manaateee	6
21	weabis	6
21	MAns_44	6
27	Blasterboy54	5
27	ConnorDanky_	5
27	Jimb0nat0r	5
27	Yamdalorian	5
31	RebelAndroid	4
31	CliffEmAll	4
31	GreedyFern8581	4
31	luseis	4
31	Ezekson	4
36	KarlKaek	3
36	Jindong	3
36	eitanzaki	3
36	bloodbiter	3
36	12Magner05	3
36	mwrty	3
36	TheWildMateo	3
36	Kowcio_	3
36	fffMike	3
36	Kubeusz2010	3
36	Enderxz3	3
47	k_ce	2
47	Frozil20	2
47	skroobiez	2
47	Marbz_	2
47	Lutres_	2
47	_Mythic____	2
47	YungMaki	2
47	cichy096	2
55	MixerDixer	1
55	Napoleonpancake	1
55	noam464	1
55	thebaddruid	1
55	Billious	1
55	RebytreGT	1
55	TheShyPig	1
55	Akoot_	1
55	Dakar_	1
55	AstreaTSS	1
55	monky_irl	1
55	kyouma777	1
55	Soplight	1
