rank	username	minecraft:picked_up/minecraft:iron_hoe
1	Freak_Genius	21
2	Di_infiri	18
3	EcksDofficial	17
4	Xclax101	16
5	beeperbeeper5	14
6	eitanzaki	11
7	Legendosh	10
8	diamondgolem35	9
8	Cryptacity	9
8	lcvezra	9
8	Enderslayerxz3	9
12	kekhon	8
12	Smoke____	8
14	Blackberry1310	7
14	burbankbuilder28	7
14	sufjanlover	7
17	Mr_Byzantine	6
17	rarrq	6
17	Kakolbus	6
17	ApophisNova	6
17	Akoot_	6
17	_Hayt	6
17	starbits140	6
17	fffMike	6
17	Hermanni__	6
17	MyNamaSheff	6
27	Ze_BaronKrigler	5
27	Kowcio_	5
27	PortlyPete69	5
30	PhantomsGhost_	4
30	bloodbiter	4
30	12Magner05	4
30	MattieHD	4
30	PegLegPete93	4
30	thewindmillman	4
30	cedric72	4
30	Maenara	4
30	fluddd	4
30	07shiny	4
40	heysushii	3
40	fanofbands101	3
40	KarlKaek	3
40	H72l9w	3
40	cowgirlkasia	3
40	Jokerman369	3
40	Dali1465	3
40	LotusProject	3
40	whoaluv	3
40	Werbe	3
40	RobotMinion101	3
40	TheTrueClipse	3
40	AssEatrAndLicker	3
40	MightyWertu	3
40	JackyKwacky	3
40	djancak	3
40	gaming4Naming	3
40	Kferno	3
40	anbbang	3
40	oxfordschool	3
40	cichy096	3
40	Zoeyfortnite	3
62	pintsizedrogue	2
62	Bandito_Roamer	2
62	Jalvajar	2
62	_stets	2
62	EMC_	2
62	Ssor69	2
62	jushykins	2
62	ProfessorBee	2
62	GingerNeutron	2
62	_Nuf	2
62	_Dean_123	2
62	set67	2
62	mwrty	2
62	thescout7	2
62	Awyrlas	2
62	eviltunix	2
62	hcb238	2
62	Matek_	2
62	fallingemma	2
62	mariominejedi	2
62	CarltheCuck	2
62	Jackattack53	2
62	Rumpletaezer	2
62	wTXop	2
62	epiksk8erduck	2
62	TheShyPig	2
62	Lord_Jord	2
62	Inbefour	2
62	Lord_Zacler	2
62	Frozil12	2
62	Warlord324	2
62	Dusk_95	2
62	Ripzch	2
62	_TCARREIRA_	2
62	jcool7	2
62	LeeMcGee30	2
62	Rainaldus	2
62	OfficerAnvil	2
62	Quotary	2
62	QueenOfDirt	2
62	MeetTheWollo	2
62	TechnoNinja64	2
104	Lepthymo	1
104	funeralhome	1
104	Mr_Anders	1
104	Matemaks2137	1
104	Froste131	1
104	Crowvens	1
104	ofek_bahaloul	1
104	_NieToksikpl_	1
104	MixerDixer	1
104	Drlzyy	1
104	Merv__	1
104	marguerit3	1
104	numbra	1
104	I_Am_Mushkin	1
104	bigstankyy	1
104	Dedalus36	1
104	Sabby65	1
104	Rasaq	1
104	jimintyy	1
104	lotarp	1
104	KomputerDude	1
104	joethahobo	1
104	Unitas_isa	1
104	SquadMonster	1
104	ChampPog_	1
104	Ozixar	1
104	Prodiginus	1
104	picardred	1
104	Upstro10	1
104	ATrojansLegend	1
104	TheSecondLord	1
104	Comma__	1
104	LinCura	1
104	ThePoliteG	1
104	SteveCraftBlocks	1
104	Fullut	1
104	boog4loo	1
104	slkiey	1
104	AngalexikCZ	1
104	Hanselhoof	1
104	Motsaro	1
104	Mewar	1
104	xxPipperDipperxx	1
104	r123moore	1
104	TableTim	1
104	Eman__1	1
104	ChillenChiggen	1
104	MyNameIsJobo	1
104	jedi_george	1
104	SuperPooch06	1
104	Chromary	1
104	WET_WET_WET	1
104	Hyp3rion_	1
104	King_Pancake1	1
104	andy_rex	1
104	Studyhallsaver	1
104	Bumpy419	1
104	Voxin2K	1
104	Afinnity	1
104	seramalen	1
104	Onennon	1
104	Skomo	1
104	OtariCharlie	1
104	DC_XII	1
104	Myhym	1
104	dezxalo	1
104	Negriuke	1
104	FreddyFart	1
104	masskedman	1
104	Katsuragi0243218	1
104	Jiminbub	1
104	Fuhrer_Teemo	1
104	_Bguette_	1
104	Babushka0430	1
104	DarkS0L	1
104	Darkgon	1
104	ebanana	1
104	MyNameIsDakar	1
104	C0oOK13M0N5T3R	1
104	Bloo2406	1
104	560cool	1
104	Racengan	1
104	SingedBread	1
104	DeGodz4life	1
104	Fildyr	1
104	Toriankel	1
104	SkateboardR6	1
104	cytotoxaint	1
104	Vorlice	1
104	MovingFish7	1
104	lordpipe	1
104	monky_irl	1
104	TheTommyGun63	1
104	_Ruzeeq_	1
104	trobr	1
104	33sudo	1
104	Omar_Alone	1
104	Shin69	1
104	SvenskaHugo	1
104	BlankityMcBlank	1
104	stahouo	1
104	Nekomin0	1
104	Luigipunch989	1
104	obzii	1
104	Deguns123	1
104	xX_Stalin69_Xx	1
104	Njensen7	1
104	VentiHilton	1
104	mobunni	1
104	Xi_J1nping	1
104	xorompole	1
104	Ezekson	1
104	smogfrog	1
104	Nicserso	1
104	little_dUki	1
104	HesDemonPants	1
104	jnp_gaming	1
104	UrbanPlanner1978	1
104	kinas45y5	1
104	FishisTTV	1
