rank	username	minecraft:picked_up/minecraft:birch_boat
1	thewindmillman	1507
2	ShedJr_	1460
3	Mattesco	723
4	beeperbeeper5	695
5	Blaiku	426
6	Mahoose	259
7	SteveCraftBlocks	253
8	djancak	241
9	joethahobo	218
10	pintsizedrogue	195
11	Blackberry1310	191
12	RebelAndroid	176
12	noam464	176
14	AdmiralSmoke	173
15	Jimb0nat0r	167
16	luseis	159
17	HellsSponge	147
18	gren_ben	141
19	Hyp3rion_	128
20	ROY4LE	125
21	Akoot_	119
22	ediballbearings	117
23	Kim_Jong_eel	108
24	kekhon	107
24	Spacewardharpy7	107
26	eitanzaki	106
27	CalebDHawk	102
28	EveryonesUncle	101
29	FreakGenius	98
30	GOOBERGABE04	96
31	Di_infiri	95
32	Ezekson	94
33	bloodbiter	93
34	TechnoNinja64	91
35	Mr_Byzantine	90
36	TheSecondLord	88
37	PigDab	87
37	Legendosh	87
39	Elastiq	86
40	YungMaki	85
41	EMC_	84
42	Alteriity	79
43	_Dean_123	78
44	T045RTY	77
44	censorsheep	77
46	groofles	74
46	EcksD	74
48	Frozil20	73
48	Soplight	73
50	Jackattack53	72
50	Arceus1975	72
52	Kakolbus	71
53	Lutres_	70
54	rarrq	69
54	Blu3beast	69
54	Sral7	69
57	TheWildMateo	68
58	sp00ky_ghost977	67
58	SammiWolfGirl	67
60	Euclidoris	66
61	oscminus	65
61	claivin	65
61	pixelviolin	65
64	Huwulling	64
65	Kowcio_	62
65	jnp_gaming	62
67	Eraxa	61
68	_themselves	58
69	Werbe	57
69	HyperCave	57
71	weabis	56
71	SvenskaHugo	56
71	skrongus	56
74	Fullut	55
74	Manaateee	55
74	Spenduh	55
77	Merv__	54
77	shrimp_flips	54
79	xxPipperDipperxx	53
80	DarlaMeow	52
81	TheImperial	51
82	himak1	49
82	Lord_Jord	49
84	Ryker	47
84	lordpipe	47
86	Krowuss	45
87	xPixelRainx	44
87	poopybh	44
87	IAmTheWalrus910	44
90	LexMakesHistory	43
91	TheShyPig	42
91	IdeallyGrey	42
93	Auseawesome	41
93	Lord_Doob	41
93	Enderxz3	41
93	xolstoi	41
97	Apollo_993	40
97	MrExplorer	40
99	Groovy_MoonBird	38
99	mwrty	38
101	Gundam_Steven	37
101	TheTrueClipse	37
103	out1s	36
104	500am	35
104	Awyrlas	35
104	A_Potatoe	35
107	dudcreeper	34
108	elleparo	33
108	lizardfightclub	33
110	k_ce	32
110	PhantomsGhost_	32
112	SuperPooch06	31
112	IamCL4SSY	31
112	Vorlice	31
115	CoffeeNoir	30
115	Prismyst	30
