rank	username	minecraft:picked_up/minecraft:short_grass
1	FiguraDei	5602
2	lorywithay	5343
3	Enderxz3	4273
4	lordpipe	2796
5	thewindmillman	2483
6	Lez_	2451
7	500am	2275
8	Arceus1975	2225
9	luseis	1495
10	Legendosh	1064
11	EveryonesUncle	1003
12	cutelilreno	992
13	Akoot_	954
14	hanaryheatwave	940
15	Alteriity	916
16	ECstardust	879
17	SvenskaHugo	783
18	Groovy_MoonBird	740
19	oscminus	461
20	Soplight	455
21	beeperbeeper5	450
22	TheSecondLord	438
23	Kowcio_	422
24	Racengan	421
25	Covalents	415
26	Blackberry1310	390
27	Werbe	289
28	_Dean_123	280
29	GooseWithin	256
30	SpacesickPrism	250
31	Jackattack53	234
32	Merv__	218
33	rarrq	195
34	Krowuss	194
35	EMC_	188
36	noam464	167
37	Manaateee	158
37	robonya_	158
39	pintsizedrogue	157
40	Yamdalorian	151
41	_3Stump_	144
42	PaperCanvas	139
43	F_Uhre	137
44	Fullut	133
45	corvidpartyfor6	123
46	Pumpkin_P_Patch	120
47	Mr_Byzantine	116
48	ee_echo_oo	88
49	philandr	75
50	CalebDHawk	65
50	Spaghettatron	65
52	2Stout	64
53	Reneedium	59
54	Steelynan	57
55	__tomato	54
56	milltesco	51
56	hermmm_	51
58	hm947	50
59	MattieHD	49
60	PigDab	48
60	TheWickedBird	48
62	Gzrdy	44
63	MAns_44	40
64	Buuck_	37
64	wwwwinnebagoooo	37
66	Caribouse	33
67	TheKingK_	32
68	royal_2	29
69	joethahobo	28
70	Xclax101	27
71	Skippeh	26
72	RatatJuice	25
72	_witch_craft_	25
74	CoffeeNoir	23
75	robertsnose	20
75	NameGenerat0r	20
77	Kakolbus	19
78	MisfitsMike	18
79	PazinGaming	16
80	MyMawgDonaldsGon	15
81	powercas_gamer	13
82	j5ylim	12
83	Crowman1	11
83	Rebytre	11
85	LovableFemboy	10
85	BronkerBrum	10
87	SvenskaSara	9
87	TheRealAndrin	9
87	CacheOut	9
90	shineh10	8
90	12Magner05	8
92	craaaash	7
92	U_Mos_	7
92	pixelviolin	7
95	catandmoose	6
96	k_ce	4
96	Moofyman	4
96	thatsjustfrankie	4
96	MrShojo	4
96	Ezekson	4
101	Secret_Canary	3
101	Skylord_Luke	3
103	Tersea_	2
103	Saucepeh	2
103	SteveCraftBlocks	2
103	TheDiamondCG	2
103	falcon244	2
103	DJzombiehunter	2
103	Blaiku	2
103	Kyrum2169	2
103	GustavoMS_64	2
112	H0UNDFRMH3LL	1
112	Kamflame	1
112	Aakvaa	1
112	Galactic_Badger	1
112	Mr_Sun15	1
112	parodypatient	1
112	Paul_Katan	1
112	Spacewardharpy7	1
112	Colmer94	1
112	2blox_	1
