rank	username	minecraft:picked_up/minecraft:pink_glazed_terracotta
1	lordpipe	712
2	Freak_Genius	515
3	thewindmillman	247
4	Spacewardharpy7	86
5	eitanzaki	68
6	Blaiku	48
7	Smoke____	27
8	Inbefour	21
9	beeperbeeper5	16
10	Bumpy419	15
10	YungMaki	15
12	Merv__	11
12	Werbe	11
12	MakeHistory157	11
12	Ezekson	11
16	SaucyDark	10
16	noam464	10
16	YoshikageBites	10
19	mobunni	8
20	PhantomsGhost_	7
21	joethahobo	5
22	Arceus1975	4
23	Steelynan	3
24	TheShyPig	2
25	Razzgriz	1
25	oxfordschool	1
25	MeetTheWollo	1
