rank	username	minecraft:picked_up/minecraft:waxed_oxidized_copper
1	Enderxz3	1362
2	Buuck_	1337
3	thewindmillman	1224
4	CLG_Kata	681
5	MyMawgDonaldsGon	336
6	Secret_Canary	133
7	Yamdalorian	52
8	pixelviolin	51
9	Manaateee	40
10	Spaghettatron	38
11	pintsizedrogue	37
12	MattieHD	33
13	PlasticOtari	26
14	luseis	16
15	k_ce	15
16	oscminus	10
16	Soplight	10
18	net_flex	8
19	Mr_Byzantine	6
20	Merv__	5
21	MSK__	4
21	_Mythic____	4
21	Kowcio_	4
24	Werbe	3
24	Eczbek	3
26	beeperbeeper5	2
26	Steelynan	2
26	Jimb0nat0r	2
26	00000000-0000-0000-0009-01fe065167f0	2
30	Caribouse	1
30	skroobiez	1
30	Reneedium	1
30	HolyVenom	1
30	Pumpkin_P_Patch	1
