rank	username	minecraft:picked_up/minecraft:stone_brick_wall
1	TheShyPig	2133
2	FreakGenius	1778
3	thescout7	1554
4	Kakolbus	1358
5	Mr_Byzantine	1105
6	Yamdalorian	1039
7	thewindmillman	1005
8	Dakar_	784
9	noam464	778
10	Werbe	714
11	El_Jalapeno	686
12	Kowcio_	592
13	beeperbeeper5	579
14	Legendosh	566
15	YungMaki	524
16	Arceus1975	517
17	Di_infiri	507
18	pintsizedrogue	504
19	Cowison	499
20	Maenara	495
21	Onennon	491
22	PhantomsGhost_	486
23	M_Patata	437
24	kekhon	436
25	Mahoose	434
26	HellsSponge	400
27	WyngGoy	394
27	_i_ERROR_i_	394
29	Ezekson	380
30	eviltunix	370
31	The_SlideV5	368
32	radioactv_jelly	354
33	Frozil20	349
33	crashomon	349
35	Xalithia	330
36	Historical_Sand	308
37	Fildyr	297
38	Euclidoris	284
38	oscminus	284
40	Merv__	279
41	burbankbuilder28	276
42	claivin	275
42	lava124	275
44	Skylord_Luke	272
45	RobotMinion101	269
46	Snowflowe	265
47	500am	262
48	luseis	227
49	Inbefour	219
49	_Karmaa	219
51	Jackattack53	217
52	Stiar	210
53	m_be9	203
53	Akoot_	203
55	Lord_Jord	200
56	Ssor69	191
56	NotMeanttoChange	191
58	SmashingPump	190
59	SpacesickPrism	185
60	rarrq	182
60	Saucepeh	182
62	PigDab	180
63	soundad	176
64	Racengan	175
64	pixelviolin	175
66	DermeinUser	170
66	Warlord324	170
68	Blaiku	169
69	royal_2	166
69	ROY4LE	166
71	Doom_melon	164
72	Steelynan	159
73	DanTheBuilderino	157
73	07shiny	157
75	Crowman1	153
76	xxPipperDipperxx	152
77	skitzxo	151
78	fffMike	147
79	Xclax101	146
80	k_ce	142
81	SkateboardR6	139
82	bigstankyy	138
83	ImpavidArcher	137
84	SvenskaHugo	136
85	TheSecondLord	130
86	Huwulling	129
87	diamondgolem35	128
88	IamCL4SSY	123
89	SadRedstone	122
89	Soplight	122
91	PlasticOtari	121
92	Smiguli_	115
93	Manaateee	111
94	Comma__	108
94	Touched_Bread	108
96	PaperCanvas	107
97	j5ylim	105
98	RebytreGT	103
98	Enderxz3	103
100	SlayerCrypto	101
101	The_slideV3	100
101	Eraxa	100
103	weabis	99
104	_stets	97
105	dudcreeper	91
105	Fullut	91
107	drunkeeez	87
107	laron58	87
109	legal_tax_evader	84
109	Meatlaugh	84
109	lordpipe	84
109	Jimb0nat0r	84
113	_Dean_123	83
114	Jovaphobic	81
115	Smashic	77
116	MinttyFressh	76
117	HUNTERmaun	75
118	Lez_	73
118	benediktine1	73
120	SpartanNamor	70
120	brofrickcheaters	70
122	Jindong	68
122	Chromary	68
122	cog	68
125	PortlyPete69	67
126	NieToksikpl	66
127	joethahobo	65
127	EdGalbraith	65
129	Luminad3	64
129	mihimihimihi	64
131	PazinGaming	63
132	SaphLaseer	62
132	Zythose	62
132	JETrotter	62
132	Groundler	62
132	Soffbord	62
137	Avocadogerms	58
138	Cartoonmaniac	57
138	Fuhrer_Teemo	57
140	xzvu	56
141	TheWildMateo	55
141	theofiel	55
143	gamerlord1324	54
143	pappaberg	54
145	mwrty	52
145	bitsplease	52
147	BlueZabu	51
148	kyouma777	50
149	Blackberry1310	49
150	the_fireminer	47
150	Winklepicker279	47
152	_Huge_Male_	46
152	NebulousBadger	46
154	himak1	45
154	xyfrs	45
154	Pumpkin_P_Patch	45
157	TheBiggestFeller	44
157	Toiton	44
159	StinkyDiplomat	43
159	EcksD	43
161	KarlKaek	42
161	eitanzaki	42
161	seramalen	42
161	Kynigito	42
165	Hiryu27	41
165	Mattesco	41
165	Quotary	41
168	XboxPanda	40
168	Spacewardharpy7	40
168	Biites	40
171	Aakvaa	38
171	Ze_BaronKrigler	38
173	Kubeusz2010	36
174	ShedJr_	35
174	QuiCreans	35
174	AnnieBathory	35
174	EveryonesUncle	35
174	HELLO_I_AM_BEAR	35
179	avalan64	33
180	Incinere	32
180	bloodbiter	32
180	TheKingK_	32
183	Elastiq	31
184	fluddd	30
184	RedcatVII	30
184	Druid95	30
184	mobunni	30
188	Hisiste	29
189	MixerDixer	28
189	_themselves	28
189	CarryLine	28
189	fkGrim	28
189	Sheldor097	28
194	SoftSix	27
194	tsitrawhy	27
196	Tobinator_007	26
196	TooPure2	26
196	RatatJuice	26
196	Rich_Kat	26
196	Matorz	26
201	yaboo88	25
201	Bumpy419	25
201	Deathkob	25
204	teslawolf38	24
204	impossibleteapot	24
206	yulgur1	23
207	Bandito_Roamer	22
207	RoskobiOne	22
207	Tersea_	22
207	DarkDescent2392	22
207	bl1ss0	22
207	CalebDHawk	22
213	ApophisNova	21
213	NameGenerat0r	21
213	MyNamaSheff	21
216	jewbacaman	20
216	AuroraSkies	20
216	DarkS0L	20
216	Shogunite	20
216	Lord_Doob	20
216	miramyu	20
222	12Magner05	19
222	FlashMigma	19
222	Nicserso	19
225	Reamdin	18
225	Sleepy_Evelyn	18
225	MattieHD	18
225	Mewar	18
225	Karetoko	18
225	Felenov	18
225	NumbaOneMunch	18
225	stavgod	18
225	EngagedGrub41	18
234	Flores991	17
234	RebelAndroid	17
234	prizm_	17
234	Reneedium	17
234	Jekyll	17
234	drumine	17
240	SaucyDark	16
240	NoChumpChange	16
240	monky_irl	16
240	TechnoNinja64	16
244	Inchef	15
244	LeauVox4921	15
244	MyNameIsJobo	15
244	The11thDoctor	15
244	Mr_Sun15	15
244	__tomato	15
250	Saltymart	14
250	Ozixar	14
250	2Stout	14
250	blackeemperor	14
250	CattSoup	14
255	Gregward_Smith	13
255	Nach0Bear	13
255	ooga47	13
255	Hahaa_0	13
255	Jaka_Saurus_715	13
255	Moss_2006	13
255	Skippeh	13
255	KamFurnace	13
255	Sral7	13
264	_darky1_	12
264	Tolhart	12
264	set67	12
264	UncreativeArtist	12
264	valkam13	12
264	Fuad_R	12
264	pretty_pink_reno	12
264	Leithz6	12
272	lpinfinity	11
272	RefluxRatio	11
274	Ryan_GEMS	10
274	Kamflame	10
274	DC_XII	10
274	Chayula	10
274	pk1297	10
279	AlazelTheReal	9
279	NoxxxxiS	9
279	TheDankPlatypus	9
279	whoaluv	9
279	killmeiamtraitor	9
279	DemTechAlpha	9
279	censorsheep	9
279	wwwwinnebagoooo	9
279	Zetsey	9
279	TheRealHi	9
289	SteveCraftBlocks	8
289	slkiey	8
289	olliebollie48	8
289	SuperPooch06	8
289	AlexxO_o	8
289	KlausVonStiglitz	8
289	MAns_44	8
289	LazySupport00	8
289	djancak	8
298	Flex_Tape_Phil	7
298	Megarboh	7
298	groofles	7
