rank	username	minecraft:picked_up/minecraft:honeycomb_block
1	pintsizedrogue	1068
2	Steelynan	655
3	PlasticOtari	551
4	Spacewardharpy7	515
5	thewindmillman	387
6	Onennon	279
7	ConnorDanky_	212
8	EMC_	193
9	eitanzaki	192
9	fffMike	192
11	SexcMf	158
12	KingMatthew506	139
13	Enderxz3	130
14	jnp_gaming	129
15	Fullut	91
16	RebelAndroid	80
17	SuperPooch06	74
18	Werbe	68
19	lillips	66
20	Jindong	64
20	Kowcio_	64
20	GlitchyPlate810	64
23	ImpavidArcher	62
24	PortlyPete69	55
25	EcksD	47
26	Hpdinosaur	43
27	500am	35
28	SpacesickPrism	26
29	Smoke____	25
30	emrekn	22
31	Zoeyfortnite	21
32	gcaisawesome	16
33	noam464	15
34	Elastiq	14
34	luseis	14
36	lordpipe	13
37	Incinere	11
37	Blackberry1310	11
37	Rebytre	11
37	Soplight	11
41	Mahoose	9
41	djancak	9
41	bladeefan2009	9
44	Kelloogs	7
44	monky_irl	7
44	little_dUki	7
47	SteveCraftBlocks	6
47	FreakGenius	6
47	fluddd	6
47	Nicserso	6
47	00000000-0000-0000-0009-01fa3caf2694	6
52	beeperbeeper5	4
52	TheSecondLord	4
54	bloodbiter	3
54	EveryonesUncle	3
54	NameGenerat0r	3
57	Lez_	2
57	ketaminmann	2
57	zToasty69z	2
57	Deathkob	2
57	IAmTheWalrus910	2
57	Pelku	2
57	Hermanni__	2
57	h2p_emrld	2
65	Ze1ig	1
65	Huwulling	1
65	GLLogan2	1
65	r123moore	1
65	Arceus1975	1
65	MangoTheFish	1
65	Kynigito	1
65	HyperCave	1
65	Hiimdeath	1
65	DC_XII	1
65	Akoot_	1
65	awsertygaedrfshg	1
65	claivin	1
65	MakeHistory157	1
65	pixelviolin	1
65	Eczbek	1
