rank	username	minecraft:picked_up/minecraft:golden_horse_armor
1	Quotary	15
2	pintsizedrogue	13
3	El_Jalapeno	12
4	masskedman	11
4	FreakGenius	11
6	joethahobo	10
6	HellsSponge	10
8	EMC_	8
8	Di_infiri	8
8	sp00ky_ghost977	8
8	ConnorDanky_	8
12	fluddd	7
12	Enderxz3	7
14	k_ce	6
14	SaucyDark	6
14	mwrty	6
14	Rumpletaezer	6
14	TheShyPig	6
14	Dakar_	6
14	Ezekson	6
21	fanofbands101	5
21	Mattesco	5
21	censorsheep	5
21	Blaiku	5
21	Kowcio_	5
26	Mr_Byzantine	4
26	PhantomsGhost_	4
26	TheSecondLord	4
26	kekhon	4
26	thescout7	4
26	andy_rex	4
26	yulgur1	4
26	_k2x	4
26	Skippeh	4
26	Legendosh	4
26	skitzxo	4
26	MelodyGaysharks	4
38	lorywithay	3
38	Mahoose	3
38	rarrq	3
38	Euclidoris	3
38	Kakolbus	3
38	legal_tax_evader	3
38	SuperPooch06	3
38	Werbe	3
38	seramalen	3
38	Akoot_	3
38	Vol_Rod33	3
38	Tyrannosplart	3
38	fffMike	3
38	BreadBacon	3
38	jnp_gaming	3
38	PlasticOtari	3
54	CLG_Kata	2
54	Apollo_993	2
54	Lotheburgh	2
54	Cowison	2
54	CloroxBleach385	2
54	BPTY4618	2
54	BlancoFlaco	2
54	eitanzaki	2
54	Huwulling	2
54	royal_2	2
54	xPixelRainx	2
54	philandr	2
54	UncreativeArtist	2
54	paranoid_plant	2
54	Scathra	2
54	ROY4LE	2
54	noam464	2
54	TheDankPlatypus	2
54	Zaridey	2
54	hanaryheatwave	2
54	thewindmillman	2
54	wTXop	2
54	thebaddruid	2
54	Bumpy419	2
54	Hiryu27	2
54	ApophisNova	2
54	Kouridragon	2
54	Fuad_R	2
54	Xclax101	2
54	Groundler	2
54	Moss_2006	2
54	SvenskaHugo	2
54	YungMaki	2
54	Celeste_121	2
54	TheBananaKat	2
54	DairyNickel756	2
54	MyNamaSheff	2
54	Nicserso	2
54	Jimb0nat0r	2
54	Yamdalorian	2
54	_Dri_	2
54	ThatBurritoTh0	2
96	Alexanderjac	1
96	angpony4267	1
96	MuffinManzz	1
96	Matemkas	1
96	dudcreeper	1
96	EKUG	1
96	ECstardust	1
96	q_wq	1
96	Frozil20	1
96	ImNotYuqii	1
96	KarlKaek	1
96	Jindong	1
96	Creativebuilder2	1
96	Iagoku	1
96	Tolhart	1
96	RatatJuice	1
96	LagVibes	1
96	MSK__	1
96	IgnoredBee	1
96	beeperbeeper5	1
96	elmer1234	1
96	QuiCreans	1
96	akap47	1
96	_vlex	1
96	Tersea_	1
96	Malorn_Aetherius	1
96	Blackberry1310	1
96	_Z3RIX_	1
96	BobDeBouwer1337	1
96	12Magner05	1
96	MattieHD	1
96	slkiey	1
96	Smashic	1
96	crying_wolf_13	1
96	set67	1
96	Fullbit_	1
96	Mewar	1
96	gcaisawesome	1
96	Covalents	1
96	SeverianOfUrth	1
96	gloominq	1
96	ImDisconnected_	1
96	Hyp3rion_	1
96	Zythose	1
96	RefluxRatio	1
96	byFlixxx	1
96	DaKaveMan	1
96	DAD_1996	1
96	TahkoLive	1
96	Mandroch	1
96	victorLIE	1
96	XeroByMyth	1
96	ougstur	1
96	zToasty69z	1
96	dotterel2	1
96	Rasmanden	1
96	Hahaa_0	1
96	_Crimson_Legate	1
96	FreddyFart	1
96	Jiminbub	1
96	EveryonesUncle	1
96	luseis	1
96	wobn	1
96	NameGenerat0r	1
96	MAns_44	1
96	MightyWertu	1
96	lava124	1
96	Buuck_	1
96	ComplexSquirrel	1
96	Vicemaniac	1
96	Druid95	1
96	FiguraDei	1
96	_Mythic____	1
96	_Tilariel_	1
96	pixelviolin	1
96	Pumpkin_P_Patch	1
96	SSytex_X	1
96	SammiWolfGirl	1
96	CoryJJ	1
96	xX_Stalin69_Xx	1
96	MilleGrug	1
96	Njensen7	1
96	hermmm_	1
96	Iamthejo	1
96	vandmanden	1
96	h2p_emrld	1
