rank	username	minecraft:picked_up/minecraft:spruce_log
1	Blackberry1310	55440
2	Spacewardharpy7	54204
3	noam464	48365
4	TheShyPig	42010
5	Ezekson	40239
6	Frozil12	32530
7	beeperbeeper5	28727
8	rarrq	27471
9	ApophisNova	25953
9	MyNamaSheff	25953
11	500am	23625
12	EveryonesUncle	23211
13	Zythose	19094
14	Freak_Genius	18019
15	Smoke____	17338
16	gcaisawesome	17328
17	Fizznut909	15333
18	TechnoNinja64	15223
19	eitanzaki	14228
20	lcvezra	14187
21	MyNameIsJobo	14122
22	BlancoFlaco	13726
23	kekhon	12999
24	El_Jalapeno	12254
25	Akoot_	12048
26	YungMaki	11862
27	_Dean_123	11130
28	Onennon	10709
29	Legendosh	10399
30	joethahobo	10303
31	set67	10276
32	Mahoose	10203
33	m_be9	9820
34	EcksDofficial	9597
35	Eraxa	9371
36	Di_infiri	9173
37	pintsizedrogue	9118
38	HesDemonPants	9023
39	Snowflowe	8785
40	Kakolbus	8533
41	lordpipe	8124
42	pixelviolin	7907
43	Jiminie	7470
44	Skippeh	7105
45	Groundler	7078
46	rotten_mango	7065
47	Steelynan	6867
48	RodSerlingCringe	6801
49	Inchef	6715
50	Kowcio_	6631
51	NomadicRobin_	6587
52	OfficerAnvil	6435
53	Merv__	6344
54	TheSecondLord	6274
55	Tommhh	6244
56	Racengan	6199
57	Enderslayerxz3	6192
58	Werbe	6110
59	thewindmillman	6032
60	Rumpletaezer	5667
61	xxPipperDipperxx	5576
62	fkGrim	5496
63	Chromary	5484
64	Dusk_95	5458
65	Deathkob	5360
66	q_wq	5324
67	KarlKaek	5267
68	Arceus1975	5202
69	Jahara	5191
70	Skylord_Luke	5148
71	obzii	4945
72	Malorn_Aetherius	4840
73	ROY4LE	4786
74	TooManyDuck	4783
75	anbbang	4763
76	Historical_Sand	4725
77	PlasticOtari	4629
78	PigDab	4614
79	HellsSponge	4591
80	Barlycorn	4507
81	2Stout	4454
82	Meatlaugh	4373
83	ewpunk	4146
84	jacxhadow	4044
85	SkateboardR6	3946
86	RoskobiOne	3929
87	_Karmaa	3877
88	M_Patata	3844
89	Blu3beast	3801
90	Smiguli_	3798
91	Kamflame10	3605
92	thescout7	3533
93	MineMaster0012	3314
94	Touched_Bread	3268
95	Blaiku	3244
96	Sky_light_KING	3242
97	MasterNueve	3212
98	diamondgolem35	3184
99	SlayerCrypto	3157
100	burbankbuilder28	3156
101	Fullut	3150
102	bloodbiter	3148
103	Zedducius	3105
104	Soplight	3100
105	RobotMinion101	3078
106	CrateOfBoxes	3019
107	EMC_	3015
108	RebelAndroid	2973
109	Natty	2951
110	Nicserso	2815
111	pappaberg	2752
112	LordSpeed37	2725
113	Jimi7hits	2663
114	Bumpy419	2624
115	claivin	2589
116	EcksD	2538
117	SuperPooch06	2491
118	fffMike	2463
119	T045RTY	2448
120	CalebDHawk	2386
121	__Fanda__	2364
122	Ryker	2353
123	ogoa	2245
124	chipklip	2158
125	Ardennes	2144
126	MattieHD	2126
127	cytotoxaint	2117
128	BreadBacon	2100
129	EfficientC52	2090
130	Groovy_MoonBird	2066
130	ayamefag	2066
132	oxfordschool	2065
133	SvenskaHugo	2060
134	Unitas_isa	2054
135	CSG_Haru	2048
136	John6970	2047
137	The_slideV3	1991
138	selectrix	1985
139	YoshikageBites	1969
140	ImpavidArcher	1887
141	Inbefour	1884
142	Vetral1	1866
143	WYFYoyo	1853
144	Comma__	1849
145	XboxPanda	1843
146	teslawolf38	1827
147	fred870d	1820
148	livingdaydreams	1802
149	TheOuterCore	1785
150	Jovaphobic	1777
151	Hoid_the_Roamer	1752
152	Deodorante	1730
153	Swexti	1723
154	6king6colt6	1721
155	VentiHilton	1711
156	Hermanni__	1698
157	_Bguette_	1689
158	Serval2000	1611
159	2blox	1601
160	_stets	1594
161	alderban107	1570
162	andy_rex	1554
163	BlueZabu	1544
164	Cowison	1539
165	whoaluv	1538
166	Tolhart	1532
167	krutas2000	1493
168	awesomeoneme	1488
169	Cortexia	1482
170	PegLegPete93	1463
171	laron58	1444
172	NameGenerat0r	1421
173	jcool7	1417
174	stahouo	1358
175	DTwenty	1357
176	NebulousBadger	1356
176	layabout100	1356
178	MyNameIsDakar	1352
179	drumine	1349
180	Xclax101	1347
181	Cryptacity	1346
182	SDMNAEK	1340
182	ProfessorBee	1340
184	07shiny	1334
185	ProbablyNick	1311
186	XxCookiequeenxX	1297
187	Kiki_Majiki	1291
188	Valoth	1290
189	wwwwinnebagoooo	1253
190	Bobby808	1248
190	Mattesco	1248
192	Septemb3r	1234
193	Jackattack53	1225
194	Covalents	1219
195	heysushii	1195
196	ToastedGamingYT	1175
197	PortlyPete69	1170
197	JayToe	1170
199	dopplexd	1162
200	CruncyIsTaken	1160
201	Paint	1156
202	CollinMH06	1146
203	JustAWill_	1140
204	Lukeee33	1137
205	SpicyMeatballs	1120
206	The_Quack_Dealer	1113
207	LeeMcGee30	1100
208	Soap_Bender	1099
209	ADEXTV	1098
210	DirtyDalle	1077
211	Negriuke	1073
212	Winklepicker279	1068
213	H72l9w	1065
214	Dreamdbr14	1061
215	diggydog67	1059
216	Froste131	1050
217	Mr_Byzantine	1037
218	TheThomas69	1036
219	DarlaMeow	1035
220	CheifJumbo	1032
221	wiqor	1029
222	SaucyDark	1021
223	Deerfoot	1020
224	Wolverine4302	1014
225	Segotep999	1011
226	avalan64	1010
227	ewsophie	1009
228	MilleGrug	1008
229	RatatJuice	997
230	SammiWolfGirl	983
231	Quotary	981
232	Ze_BaronKrigler	973
233	IWorkAtIkea	966
234	Lutres_Torane	964
235	seramalen	941
236	MonitorLizards	939
237	SquadMonster	937
238	Roikdean	931
239	Enigma0251	930
240	fr0stss	924
241	Mistruth	923
242	Sleek_Storm_721	911
243	redikul	905
244	CrookedKaptain	902
245	CyrusIsTired	900
246	KingMatthew506	899
247	ProfessorDiaper	898
248	DC_XII	896
249	Harotio	893
250	Hyp3rion_	880
251	Felenov	879
252	jnp_gaming	878
253	CoffeeNoir	870
254	Foof13	858
255	Optiprimus	850
256	Shavrin	848
257	SLASHZEERA	843
258	bigstankyy	838
259	Typadopoulos	837
260	wezzzi	836
261	dartwaffle	832
262	TheMilkerOfCats	824
262	mwrty	824
264	Fuhrer_Teemo	821
265	BlossomOwO	819
265	Slapface522	819
267	MustaLoordi	815
268	seanitoo	810
269	ImDisconnected_	809
270	himak1	804
270	FlashMigma	804
272	Menthas	799
273	00000000-0000-0000-0009-01ff0c3e5e4f	798
274	SteveCraftBlocks	792
275	yatsuta	791
276	gabriels543	790
277	TheBiggestFeller	789
278	Miko_Fullbuster	784
279	erkada	778
280	_naturell	777
281	Dedalus36	767
282	Ecplosive	765
283	Smashic	761
283	Yogscast_Manden	761
285	Lord_Zacler	760
286	UrbanPlanner1978	754
287	ZoomieZoomie	753
288	jambvds	741
289	Studyhallsaver	737
290	_8man	728
291	Bandito_Roamer	725
292	Hpdinosaur	722
293	Matyyy15	721
294	surfinggiraffejp	719
295	stellarjay	706
296	ExtraDumb	705
296	Steven1282598	705
298	RedcatVII	698
299	GLLogan2	693
300	Bazongoman	688
