rank	username	minecraft:picked_up/minecraft:cooked_beef
1	lordpipe	6031
2	TheShyPig	4417
3	YungMaki	2948
4	HellsSponge	2404
5	Di_infiri	2398
6	Blackberry1310	2137
7	k_ce	2072
8	oscminus	2000
9	TooManyDuck	1821
10	claivin	1649
11	Karbl	1597
12	kekhon	1433
13	Akoot_	1368
14	sp00ky_ghost977	1225
15	El_Jalapeno	1092
16	Snowflowe	1065
17	j5ylim	1044
18	burbankbuilder28	1042
19	TheSecondLord	1035
20	corvidpartyfor6	1021
21	Werbe	966
22	EMC_	907
23	Kakolbus	899
24	Jovaphobic	884
25	Frozil20	788
26	SaucyDark	743
27	jnp_gaming	740
28	Bandito_Roamer	717
29	Manaateee	711
30	Mahoose	685
30	Hyp3rion_	685
32	pintsizedrogue	653
33	FreakGenius	644
34	AuroraValkyrie	623
35	SuperPooch06	622
36	Blu3beast	614
37	fluddd	607
38	rarrq	575
39	thescout7	565
40	Njensen7	553
41	Hahaa_0	520
42	FormulaNewt3627	509
43	eitanzaki	501
44	fffMike	492
45	mwrty	486
46	beeperbeeper5	480
47	fade_emerge78823	464
48	Sral7	459
49	Merv__	458
50	diggydog67	455
51	AdmiralSmoke	439
52	301851	433
53	Blaiku	421
54	IWorkAtIkea	419
55	IamCL4SSY	403
56	censorsheep	391
57	T045RTY	388
58	MattieHD	386
59	Skippeh	380
60	Xclax101	372
61	FishisTTV	367
62	Crowman1	363
63	Rumpletaezer	359
64	Groovy_MoonBird	352
64	The11thDoctor	352
64	__tomato	352
67	legal_tax_evader	350
67	RobotMinion101	350
69	Enderxz3	342
70	set67	340
71	wobn	336
71	Dogcorn69420	336
73	ougstur	333
74	thewindmillman	326
75	Huwulling	311
76	fanofbands101	310
77	Lord_Zacler	302
78	Razzgriz	301
79	_Dean_123	299
79	Soap_Bender	299
81	TechnoNinja64	294
82	RebelAndroid	293
83	ivorico	288
84	SvenskaHugo	287
85	noam464	285
86	EcksD	284
87	Kowcio_	273
88	KarlKaek	267
89	youhjjhhhjj	264
90	ConnorDanky_	263
91	Hermanni__	252
92	Fullut	250
93	pappaberg	246
94	emrekn	245
94	Tyrannosplart	245
94	StinkyDiplomat	245
97	SOA1RR	238
98	Krowuss	233
99	xxPipperDipperxx	227
100	ayamefag	210
101	SeverianOfUrth	203
102	calamariclam_I	201
103	NomadicRobin_	199
103	EfficientC52	199
105	yheece	198
106	Legendosh	194
107	PortlyPete69	192
107	Steelynan	192
109	EveryonesUncle	186
110	Mewar	185
111	Katsuragi0243218	182
112	PhantomsGhost_	181
113	Warlord324	178
114	MustaLoordi	177
114	lcvezra	177
116	h2p_emrld	175
117	ClemenPine	173
117	jcool7	173
119	KingMatthew506	172
120	500am	171
120	Voxin2K	171
122	KingFaenor	170
123	Smashic	164
123	Nicserso	164
125	DarlaMeow	155
126	HesDemonPants	153
127	Druid95	152
128	yulgur1	149
129	Onennon	148
130	Euclidoris	147
131	dudcreeper	144
132	PaperCanvas	142
133	skote77	138
134	Lepthymo	137
135	bloomkieren	136
136	Kyrum2169	134
137	diamondgolem35	133
137	InfernalMound	133
139	6king6colt6	131
139	King_Pancake1	131
139	Hoid_the_Roamer	131
142	Killercatty78	130
142	DAD_1996	130
144	Jackattack53	129
144	Hisiste	129
144	voiding_	129
144	obzii	129
148	AuroraSkies	128
149	platinumzero	127
149	HeraclesOGU	127
149	Kura2218	127
152	DC_XII	126
152	Heisenbberrg	126
154	TheDankPlatypus	125
154	AlphaWolfPlaysMC	125
156	Syropatathe	123
157	Spenduh	122
158	Incinere	121
158	Secret_Canary	121
160	QuacksonThe3rd	120
161	Juh1s	119
162	gren_ben	118
162	Os_qq	118
164	shadowthemonkey	117
165	djancak	116
166	masskedman	115
166	laron58	115
168	gaziter10	114
168	Soplight	114
170	Segotep999	113
171	Froste131	105
172	BreadBacon	104
173	trexgb	103
174	mimbo1211	102
174	Marbz_	102
174	00000000-0000-0000-0009-01ff0c3e5e4f	102
177	LeeMcGee30	101
178	Paleshield	99
178	sufjanlover	99
180	PazinGaming	98
180	I_Am_Mushkin	98
180	Nach0Bear	98
180	Giannism	98
180	hanaryheatwave	98
185	layabout100	96
186	Zythose	95
186	NameGenerat0r	95
188	Saucepeh	94
188	jacxhadow	94
