rank	username	minecraft:picked_up/minecraft:light_gray_carpet
1	noam464	42597
2	joethahobo	3364
3	thewindmillman	2787
4	Swexti	2777
5	Quotary	1153
6	mwrty	634
7	YungMaki	481
8	Freak_Genius	459
9	kekhon	361
10	Mahoose	311
11	Groovy_MoonBird	254
12	HellsSponge	234
13	Blackberry1310	228
14	Akoot_	218
15	Historical_Sand	205
16	oxfordschool	204
17	Smoke____	196
18	jnp_gaming	192
19	Legendosh	191
20	Sral7	135
21	pintsizedrogue	121
22	Merv__	120
23	SkateboardR6	111
24	Groundler	98
25	KingMatthew506	94
26	500am	87
27	titanlax	85
27	Sky_light_KING	85
29	Frozil12	79
30	EveryonesUncle	78
31	rarrq	76
32	Onennon	73
33	cedric72	72
34	lcvezra	71
35	Doom_melon	68
36	Lord_Jord	67
37	MinuteMira	65
38	MovingFish7	62
39	Rebytre	56
39	TheShyPig	56
41	m_be9	46
41	Scathra	46
43	Quaintster	45
43	Steelynan	45
45	Rumpletaezer	44
46	thescout7	43
46	Eraxa	43
48	SpaceGrenadier	41
48	jcool7	41
50	ApophisNova	40
50	MyNamaSheff	40
52	Jeteight	36
52	Nycteus_	36
52	alderban107	36
55	Blu3beast	35
55	Blaiku	35
55	stahouo	35
58	Enderslayerxz3	34
59	Di_infiri	31
60	r123moore	30
60	Kyrum2169	30
62	beeperbeeper5	29
63	MattieHD	25
64	AvaRosey	24
65	Optiprimus	22
66	M_Patata	20
66	MasterNueve	20
68	EcksDofficial	19
69	RoskobiOne	18
69	eitanzaki	18
69	Cortexia	18
72	Spacewardharpy7	17
73	Eczbek	16
74	PhantomsGhost_	14
74	Jiminie	14
76	Mr_Byzantine	13
76	Marbz_	13
76	fluddd	13
79	RebelAndroid	12
79	Skylord_Luke	12
79	FishyBoy3811	12
82	6king6colt6	11
82	El_Jalapeno	11
84	Hoid_the_Roamer	10
84	epiksk8erduck	10
84	NameGenerat0r	10
87	Cowison	9
87	ItsColin11	9
87	Sleek_Storm_721	9
87	Arceus1975	9
87	ewpunk	9
87	Warlord324	9
93	squigglybones	8
93	heckface	8
93	bloodbiter	8
96	Bandito_Roamer	7
96	TheSecondLord	7
96	Jokerman369	7
96	NomadicRobin_	7
96	chipklip	7
96	PlasticOtari	7
102	nataliecool	6
102	Harotio	6
102	Drlzyy	6
102	KomputerDude	6
102	Da_Boss_Rani	6
102	SteveCraftBlocks	6
102	Snowflowe	6
102	Mattesco	6
102	Maenara	6
102	Wowful	6
102	Deathkob	6
102	Kowcio_	6
102	Segotep999	6
102	fffMike	6
102	Njensen7	6
102	Ezekson	6
118	KarlKaek	5
118	Xalithia	5
118	AnnieBathory	5
118	Meatlaugh	5
118	EfficientC52	5
118	lordpipe	5
118	Nagasaki_Riku	5
118	Spenduh	5
118	TechnoNinja64	5
127	T045RTY	4
127	Alteriity	4
127	MSK__	4
127	Werbe	4
127	jewbacaman	4
127	_naturell	4
127	claivin	4
127	SwooshBoi	4
127	pixelviolin	4
127	athereall	4
127	Hermanni__	4
127	OfficerAnvil	4
127	00000000-0000-0000-0009-01ff0c3e5e4f	4
140	_stets	3
140	AuroraValkyrie	3
140	Natty	3
140	ratglock	3
140	Ardennes	3
140	Tmb1	3
140	Kamflame10	3
140	set67	3
140	gcaisawesome	3
140	xBaltaci	3
140	TheDankPlatypus	3
140	nitram49b	3
140	Chromary	3
140	Jimi7hits	3
140	misomon	3
140	NebulousBadger	3
140	Razzgriz	3
140	__tomato	3
140	ediballbearings	3
140	FelixPSY375	3
140	coobert42	3
140	diggydog67	3
162	fanofbands101	2
162	_themselves	2
162	IWorkAtIkea	2
162	pr33tu	2
162	HoltGrim	2
162	cwartzo	2
162	MonitorLizards	2
162	ogoa	2
162	The_slideV3	2
171	Gary_	1
171	The_Great_Jake	1
171	dabloons	1
171	teslawolf38	1
171	Croqu_	1
171	Jahara	1
171	ZaneABrain	1
171	Jackster03	1
171	SteveWithClout	1
171	MrKrabOnCoke	1
171	Ssor69	1
171	FirsTimeGamingTV	1
171	Megarboh	1
171	Kkanot	1
171	NotMeanttoChange	1
171	Uzbeki_John	1
171	xxPipperDipperxx	1
171	NotKaden_	1
171	Arsinic7	1
171	Jackattack53	1
171	Zythose	1
171	RyuNeko932000	1
171	LilyNova	1
171	Donutt	1
171	The11thDoctor	1
171	RobotMinion101	1
171	CruncyIsTaken	1
171	PigDab	1
171	NoChumpChange	1
171	WarpRanger	1
171	Xclax101	1
171	Racengan	1
171	WyngGoy	1
171	Cocoamallows	1
171	BlueWyvern5170	1
171	UCP_TheKingK	1
171	EtherealEspresso	1
171	microcrisp	1
171	SammiWolfGirl	1
171	Drawgirll	1
171	CalebDHawk	1
171	Winston_Ingram	1
171	Miko_Fullbuster	1
171	2blox	1
