rank	username	minecraft:picked_up/minecraft:purple_candle
1	thewindmillman	64
2	Legendosh	41
3	Spaghettatron	37
4	hermmm_	26
5	skroobiez	15
6	craaaash	13
7	Mr_Byzantine	7
7	robonya_	7
9	pintsizedrogue	5
9	Pumpkin_P_Patch	5
11	Secret_Canary	4
11	Enderxz3	4
11	Jimb0nat0r	4
11	00000000-0000-0000-0009-01fe065167f0	4
15	Huwulling	3
15	Mahoose	3
15	MattieHD	3
15	philandr	3
15	FILIP1e	3
15	PlasticOtari	3
21	k_ce	2
21	MyMawgDonaldsGon	2
21	PaperCanvas	2
21	CacheOut	2
21	Kowcio_	2
26	Merv__	1
26	Werbe	1
26	Manaateee	1
26	pixelviolin	1
26	DairyNickel756	1
26	Yamdalorian	1
