rank	username	minecraft:picked_up/minecraft:ochre_froglight
1	Hyp3rion_	9324
2	thewindmillman	2744
3	non089	1622
4	Lez_	787
5	Enderxz3	500
6	Kowcio_	260
7	AlexxO_o	256
8	ECstardust	240
9	Crowman1	204
10	Fuad_R	199
11	Jackattack53	192
12	hanaryheatwave	159
13	Huwulling	145
14	Jimb0nat0r	139
15	PazinGaming	127
16	SvenskaHugo	122
17	weabis	107
18	Manaateee	86
19	pintsizedrogue	80
19	Krowuss	80
21	Elastiq	79
22	ImpavidArcher	68
22	mihimihimihi	68
24	RoskobiOne	64
25	jessewegottacook	59
26	Alteriity	52
27	catandmoose	50
28	CattSoup	44
29	joethahobo	43
30	MineMaster0012	35
31	excelsionprime	30
32	TheSecondLord	19
33	Legendosh	17
34	xxPipperDipperxx	15
34	luseis	15
36	lordpipe	11
37	AdmiralSmoke	10
38	Nicserso	9
39	StinkyDiplomat	8
40	EMC_	7
41	olliebollie48	6
42	diamondgolem35	5
42	ZoomieZoomie	5
44	Marbz_	4
45	Photosynthesis_s	3
46	Mahoose	2
46	Smashic	2
46	TheWildMateo	2
46	JoeSaysBingBong	2
46	iSammael	2
51	Merv__	1
51	rarrq	1
51	drunkeeez	1
51	Kondzik2008	1
51	bearlystraight	1
51	Steelynan	1
