rank	username	minecraft:picked_up/minecraft:end_stone_brick_stairs
1	mwrty	2749
2	fkGrim	479
3	SpaceGrenadier	221
4	Steelynan	202
5	PigDab	187
6	m_be9	127
6	Mewar	127
8	NomadicRobin_	110
9	burbankbuilder28	74
10	jcool7	61
11	WET_WET_WET	57
12	kekhon	56
13	mihimihimihi	54
14	Mahoose	46
15	500am	45
16	EcksD	35
17	eitanzaki	34
18	KarlKaek	33
19	Smoke____	32
20	Ezekson	28
21	TheEnderMan548	27
22	pintsizedrogue	25
23	6king6colt6	24
24	brofrickcheaters	17
25	claivin	16
26	SuperPooch06	14
27	Akoot_	12
28	Nicserso	10
29	NameGenerat0r	9
29	Blu3beast	9
31	elicobnoah	8
31	AuroraValkyrie	8
31	noam464	8
34	RIPB0ZO	7
34	Racengan	7
36	MyNameIsJobo	6
36	Spacewardharpy7	6
38	El_Jalapeno	4
39	12Magner05	3
39	purpolepickle	3
39	John6970	3
39	HellsSponge	3
39	YungMaki	3
44	MinttyFressh	2
44	DoinksInAmish420	2
44	Arceus1975	2
44	thewindmillman	2
44	TheShyPig	2
44	luseis	2
44	Tyrannosplart	2
44	PlasticOtari	2
52	_stets	1
52	Incinere	1
52	catandmoose	1
52	eclipseboi	1
52	Di_infiri	1
52	Quaintster	1
52	fluddd	1
