rank	username	minecraft:picked_up/minecraft:warped_fence
1	thewindmillman	327
2	Di_infiri	144
3	YungMaki	74
4	noam464	66
5	Blaiku	64
6	pintsizedrogue	59
7	rarrq	46
8	Hoid_the_Roamer	28
9	Ezekson	20
10	Eraxa	17
11	Fullut	14
12	PortlyPete69	13
13	KarlKaek	12
14	beeperbeeper5	11
15	BobDeBouwer1337	8
16	Kowcio_	6
17	PegLegPete93	5
18	_Razar	4
19	teslawolf38	3
19	Awyrlas	3
21	Mahoose	2
21	CliffEmAll	2
21	TheSecondLord	2
21	Lord_Jord	2
21	Spacewardharpy7	2
21	sebastiensaborio	2
27	ShedJr_	1
27	gcaisawesome	1
27	Arceus1975	1
27	cwartzo	1
27	djancak	1
27	Sheldor097	1
27	kinas45y5	1
