rank	username	minecraft:picked_up/minecraft:stripped_dark_oak_wood
1	EveryonesUncle	2436
2	Manaateee	1787
3	rarrq	615
4	Zythose	417
5	CalebDHawk	333
6	RebytreGT	286
7	Mattesco	281
8	500am	216
9	ShedJr_	201
10	Reneedium	182
11	Kowcio_	148
12	M_Patata	141
13	crashomon	130
14	Sheldor097	128
15	Merv__	123
16	MasterNueve	113
17	Leyna3	104
18	pintsizedrogue	101
19	Jakobo1337	87
20	ExtraDumb	85
21	_Cloverbelle_	83
22	noam464	69
23	ConnorDanky_	68
24	beeperbeeper5	56
24	Steelynan	56
26	Mahoose	46
27	Snowflowe	43
28	ImpavidArcher	37
29	Werbe	26
30	luseis	25
31	KingMatthew506	23
32	pixelviolin	21
33	SpacesickPrism	20
34	Olib3ar	18
35	SingedBread	17
36	kekhon	15
37	PazinGaming	13
38	Mr_Byzantine	12
38	joethahobo	12
38	Blackberry1310	12
41	m_be9	11
41	Eraxa	11
43	xxPipperDipperxx	10
44	Alteriity	9
44	IamCL4SSY	9
46	Frozil20	8
46	Dakar_	8
48	rachcl	7
48	oscminus	7
48	Spacewardharpy7	7
48	PlasticOtari	7
52	seramalen	6
53	eitanzaki	5
54	Bandito_Roamer	4
54	mattybeewrapss	4
54	Touched_Bread	4
54	MyNameIsJobo	4
54	FreakGenius	4
54	Enderxz3	4
60	Euclidoris	3
60	SuperPooch06	3
60	ReflexCode	3
60	Groundler	3
60	lordpipe	3
60	SvenskaHugo	3
60	Pumpkin_P_Patch	3
60	Ezekson	3
60	jnp_gaming	3
69	JohnnyFyes	2
69	Sleek_Storm_721	2
69	Kondzik2008	2
69	The_slideV3	2
69	jcool7	2
69	skitzxo	2
69	Yamdalorian	2
76	teslawolf38	1
76	T045RTY	1
76	Historical_Sand	1
76	MortimerGaming	1
76	ProfessorBee	1
76	MonkeySaint	1
76	Marbz_	1
76	thewindmillman	1
76	ApophisNova	1
76	The11thDoctor	1
76	yb0e	1
76	Akoot_	1
76	Russiancat1	1
76	iSammael	1
76	YungMaki	1
76	Soplight	1
76	_i_ERROR_i_	1
76	CattSoup	1
76	MyNamaSheff	1
76	2blox_	1
76	TheWickedBird	1
