rank	username	minecraft:picked_up/minecraft:exposed_cut_copper_stairs
1	SpacesickPrism	59
2	EMC_	12
3	jessewegottacook	6
4	beeperbeeper5	4
5	luseis	3
6	Jonafrog99	1
6	Lutres_	1
6	Jimb0nat0r	1
