rank	username	minecraft:picked_up/minecraft:gray_dye
1	thewindmillman	920412
2	noam464	31274
3	EcksD	4164
4	Inbefour	1039
5	YungMaki	629
6	mwrty	400
7	ConnorDanky_	255
8	titanlax	238
9	eitanzaki	226
10	Diavri	197
11	Inchef	192
11	Di_infiri	192
11	Enderxz3	192
14	ImpavidArcher	142
15	Werbe	132
16	Eraxa	129
17	DinoDoctor_	128
17	RoofTyler	128
19	FreakGenius	106
20	Smoke____	105
21	Syropatathe	104
22	Auseawesome	103
23	Jackattack53	99
24	Deathkob	98
25	mihimihimihi	93
26	jessewegottacook	64
26	500am	64
26	emrekn	64
26	lillips	64
26	Eczbek	64
31	DarlaMeow	53
32	ApophisNova	50
32	MyNamaSheff	50
34	fffMike	47
35	LexMakesHistory	46
36	Frozil20	36
37	kekhon	35
38	Akoot_	34
39	xfemboyx	32
39	beeperbeeper5	32
41	TheSecondLord	30
41	Snowflowe	30
43	Ezekson	28
44	rarrq	27
45	MixerDixer	26
45	CalebDHawk	26
47	joethahobo	24
48	Huwulling	20
48	Truckoss	20
50	HellsSponge	17
51	pintsizedrogue	14
52	MinuteMira	10
52	_Karmaa	10
54	lordpipe	9
55	I_Am_Mushkin	8
55	Optiprimus	8
55	Quotary	8
58	Hpdinosaur	6
58	Lez_	6
58	Cryptacity	6
58	M_Patata	6
58	MasterNueve	6
58	lcvezra	6
64	Onennon	5
64	JayToe	5
66	r123moore	4
66	Kakolbus	4
66	yaboo88	4
66	luseis	4
70	Mahoose	3
70	El_Jalapeno	3
70	SammiWolfGirl	3
73	EMC_	2
73	Sleek_Storm_721	2
73	Dan_Scha	2
73	Fuad_R	2
73	Kowcio_	2
78	RoskobiOne	1
78	Ryker	1
78	livingdaydreams	1
78	ThiccExotic	1
78	xxPipperDipperxx	1
78	Marbz_	1
78	AJplaysMC_	1
78	Hyp3rion_	1
78	MangoTheFish	1
78	Mattesco	1
78	fluddd	1
78	marumochis	1
78	MightyWertu	1
78	stavgod	1
78	djancak	1
78	PortlyPete69	1
78	anbbang	1
78	xolstoi	1
78	Wanjibon	1
