rank	username	minecraft:picked_up/minecraft:loom
1	HellsSponge	171
2	pintsizedrogue	103
3	EveryonesUncle	84
4	PlasticOtari	74
5	Freak_Genius	66
6	Inchef	52
7	TheShyPig	45
8	Zythose	43
9	Kakolbus	35
10	Merv__	32
10	TheSeismicDuck	32
12	Eczbek	29
13	Mahoose	28
14	thescout7	27
15	kekhon	26
16	Luigipunch989	24
17	PigDab	23
18	beeperbeeper5	22
18	ROY4LE	22
20	oxfordschool	19
21	YungMaki	18
21	sebastiensaborio	18
23	Historical_Sand	17
24	titanlax	15
24	Onennon	15
26	ImpavidArcher	14
26	joethahobo	14
26	TheSecondLord	14
26	M_Patata	14
26	MasterNueve	14
26	pixelviolin	14
32	Incinere	12
33	Jiminie	11
33	stavgod	11
33	Kubeusz2010	11
36	500am	9
36	Werbe	9
36	AssEatrAndLicker	9
36	WyngGoy	9
40	Hiryu27	8
40	The_slideV3	8
40	_Karmaa	8
40	Xclax101	8
40	fluddd	8
40	Nicserso	8
46	Bandito_Roamer	7
46	Soplight	7
48	Drlzyy	6
48	6king6colt6	6
48	youhjjhhhjj	6
48	Euclidoris	6
48	Blackberry1310	6
48	AdvertisingMerc	6
48	NotMeanttoChange	6
48	Arceus1975	6
48	Hyp3rion_	6
48	Drewen24	6
48	BumbleBeever	6
48	Skippeh	6
60	rarrq	5
60	Fullut	5
60	gcaisawesome	5
60	Chromary	5
60	MakeHistory157	5
60	Ze_BaronKrigler	5
60	stahouo	5
60	Legendosh	5
60	kinas45y5	5
60	Smoke____	5
70	Dedalus36	4
70	NinjaKnifeKill	4
70	H72l9w	4
70	Megarboh	4
70	pappaberg	4
70	ApophisNova	4
70	RobotMinion101	4
70	Kim_Jong_eel	4
70	lordpipe	4
70	UltraZombie	4
70	Ezekson	4
70	MyNamaSheff	4
82	MunkaKris	3
82	Jovaphobic	3
82	Groovy_MoonBird	3
82	heysushii	3
82	teslawolf38	3
82	bigstankyy	3
82	hm947	3
82	Myszoaz	3
82	xxPipperDipperxx	3
82	benediktine1	3
82	loveseeker	3
82	SuperPooch06	3
82	Snowflowe	3
82	regulator75	3
82	RodSerlingCringe	3
82	ADEXTV	3
82	Akoot_	3
82	420BreadLizard	3
82	marumochis	3
82	Racengan	3
82	Fildyr	3
82	SkateboardR6	3
82	Factoroni	3
82	CheifJumbo	3
82	Cocoamallows	3
82	starbits140	3
82	__tomato	3
82	lcvezra	3
82	KingMatthew506	3
82	xorompole	3
112	Louiis123	2
112	PhantomsGhost_	2
112	Cowison	2
112	Tommhh	2
112	EMC_	2
112	SaucyDark	2
112	TooManyDuck	2
112	RebelAndroid	2
112	eitanzaki	2
112	T045RTY	2
112	awesomeoneme	2
112	Cryptacity	2
112	Comma__	2
112	jacxhadow	2
112	YungJakobo	2
112	m_be9	2
112	eclipseboi	2
112	Kamflame10	2
112	himak1	2
112	PegLegPete93	2
112	Stiar	2
112	TableTim	2
112	Zorin_Blitz	2
112	CollinMH06	2
112	killmeiamtraitor	2
112	AnnieBathory	2
112	NarwhalTaco	2
112	The11thDoctor	2
112	Kynigito	2
112	epiksk8erduck	2
112	victorLIE	2
112	thgrocks	2
112	Joestra	2
112	NomadicRobin_	2
112	FreddyFart	2
112	rotten_mango	2
112	claivin	2
112	El_Jalapeno	2
112	Blaiku	2
112	SingedBread	2
112	Spacewardharpy7	2
112	MovingFish7	2
112	SSytex_X	2
112	CalebDHawk	2
112	MilleGrug	2
112	Hermanni__	2
112	Vellu21	2
112	EcksDofficial	2
160	Gary_	1
160	diminub	1
160	Paint	1
160	TildaAndrea	1
160	I_Am_Mushkin	1
160	diamondgolem35	1
160	Tolhart	1
160	ewsophie	1
160	ShedJr_	1
160	Ssor69	1
160	dopplexd	1
160	shdesolt	1
160	12Magner05	1
160	MrExplorer	1
160	Ardennes	1
160	ProfessorBee	1
160	_Dean_123	1
160	CarbonatedCola	1
160	slkiey	1
160	egglapras	1
160	Motsaro	1
160	theonlymagikarp	1
160	r123moore	1
160	noam464	1
160	Marbz_	1
160	MyNameIsJobo	1
160	WET_WET_WET	1
160	thewindmillman	1
160	burbankbuilder28	1
160	AlexStrange	1
160	MangoTheFish	1
160	WarMachina	1
160	Rocco_Lane	1
160	Hoid_the_Roamer	1
160	ooga47	1
160	fred870d	1
160	MinerDec	1
160	Ender_Souls	1
160	_naturell	1
160	sammidk	1
160	Toasty_Tom	1
160	natajimi	1
160	Inbefour	1
160	fkGrim	1
160	proxivitoid	1
160	JESS_THE_RERE	1
160	Blu3beast	1
160	Steven1282598	1
160	Groundler	1
160	Vorlice	1
160	NotMeowMix	1
160	Razzgriz	1
160	Eraxa	1
160	Kowcio_	1
160	Kyrum2169	1
160	stellarjay	1
160	PortlyPete69	1
160	obzii	1
160	Moetis	1
160	jcool7	1
160	VentiHilton	1
160	TrollerYT	1
160	cichy096	1
160	Enderslayerxz3	1
160	UrbanPlanner1978	1
160	TechnoNinja64	1
160	YoshikageBites	1
160	Kateesaur	1
