rank	username	minecraft:picked_up/minecraft:melon
1	thewindmillman	27370
2	PigDab	15201
3	noam464	15034
4	Hyp3rion_	10603
5	MightyWertu	8578
6	diggydog67	8416
7	Blaiku	5267
8	youhjjhhhjj	4144
9	Freak_Genius	3251
10	slkiey	2151
11	CoffeeNoir	1728
12	diamondgolem35	1651
13	Ezekson	1449
14	Di_infiri	1382
15	Werbe	1328
16	thescout7	1305
17	pixelviolin	1236
18	eitanzaki	1067
19	Spacewardharpy7	852
20	PegLegPete93	743
21	Historical_Sand	725
22	Inbefour	718
23	kekhon	697
24	Fast_Turtle	653
25	PhantomsGhost_	638
26	jnp_gaming	615
27	Snowflowe	589
28	ZaneABrain	581
29	loveseeker	498
30	pintsizedrogue	497
31	RoskobiOne	491
32	Mahoose	475
33	The_slideV3	460
34	Sky_light_KING	442
35	BumbleBeever	438
36	Comma__	387
37	emrekn	373
38	Enderslayerxz3	361
39	Blackberry1310	355
40	Hiryu27	348
41	Soplight	311
42	jacxhadow	295
43	livingdaydreams	291
44	EcksDofficial	290
45	Onennon	264
46	UrbanPlanner1978	260
46	Smoke____	260
48	Fullut	259
49	ItzWqlfy	256
49	Fildyr	256
49	starbits140	256
52	Dan_Scha	250
53	Omar_Alone	245
54	SlayerCrypto	234
55	Jackattack53	205
56	jcool7	192
57	KingMatthew506	168
58	HellsSponge	166
59	joethahobo	157
60	TheSecondLord	156
60	Deathkob	156
62	Rumpletaezer	147
63	Kkanot	144
63	FelixPSY375	144
65	sp00ky_ghost977	140
66	Legendosh	138
67	ImpavidArcher	132
68	ShedJr_	124
69	ProfessorBee	122
70	bloomkieren	120
71	sammidk	116
72	NameGenerat0r	114
72	Hermanni__	114
74	Incinere	112
75	rarrq	109
75	YungMaki	109
77	NotMeanttoChange	108
77	Rasmanden	108
77	RasseThePanda	108
80	xxPipperDipperxx	103
81	Lord_Jord	102
82	El_Jalapeno	101
83	Chromary	100
84	Zythose	96
85	LordAurum	92
86	lillips	87
87	_stets	80
87	titanlax	80
89	Merv__	77
90	eiC_	74
91	Frozil12	72
92	chipklip	71
93	TechnoNinja64	69
94	beeperbeeper5	65
94	Kamflame10	65
96	SwiftyPlayz__	64
96	StrawberryTacos	64
96	Ikea_Worker_1	64
96	JESS_THE_RERE	64
96	wwwwinnebagoooo	64
96	Soul_Atreus	64
96	tadees	64
96	Freedrik	64
104	Akoot_	63
105	SkateboardR6	60
106	Prodiginus	58
107	John6970	56
108	PlasticOtari	54
109	_Virify_	53
109	Corbsman	53
111	SaucyDark	52
111	ImagineRamen	52
113	SteveCraftBlocks	51
113	oxfordschool	51
115	Steelynan	50
116	MineMaster0012	48
117	celerey_eater_95	41
118	G1ldor	39
118	Dogcorn69420	39
120	TheShyPig	38
120	BungalowBeet	38
122	striker90333	36
123	Hisiste	34
124	Quotary	33
124	The_SlideV5	33
126	MunkaKris	31
126	SammiWolfGirl	31
128	Hpdinosaur	30
129	TheSeismicDuck	28
130	set67	27
131	EveryonesUncle	25
132	lordpipe	24
133	DarlaMeow	23
133	smogfrog	23
135	UncreativeArtist	22
136	Doom_melon	20
137	Tolhart	19
137	Cryptacity	19
137	ROY4LE	19
140	KarlKaek	18
140	Vizzoid	18
142	m_be9	17
142	Karetoko	17
142	Kubeusz2010	17
142	HesDemonPants	17
146	leaf26	16
147	Ze1ig	15
147	heckface	15
147	Aryamanee	15
147	WYFYoyo	15
151	AlphaWolfPlaysMC	14
151	Zoeyfortnite	14
153	H72l9w	13
153	Ender_Souls	13
155	6king6colt6	12
155	Sheldor097	12
157	Tommhh	11
157	Zaridey	11
159	ItsAki_	10
159	claivin	10
161	T045RTY	9
161	ChillenChiggen	9
163	500am	8
163	Bumpy419	8
163	XxCookiequeenxX	8
166	I_snowy_I	7
166	Megarboh	7
166	_Bguette_	7
169	Ailmast	6
169	LotusProject	6
169	whoaluv	6
169	Skylord_Luke	6
169	_Karmaa	6
169	_AAZAR	6
175	Gundam_Steven	5
175	ToastedGamingYT	5
175	stahouo	5
178	geekbird	4
178	IAmTheWalrus910	4
178	MakeHistory157	4
178	djancak	4
182	RebelAndroid	3
182	Alteriity	3
182	Sparky_KT	3
182	ratglock	3
182	bloodbiter	3
182	MyNameIsJobo	3
182	burbankbuilder28	3
182	LilyNova	3
182	ApophisNova	3
182	07shiny	3
182	MyNamaSheff	3
182	kinas45y5	3
182	JayToe	3
195	BodaciousCake	2
195	Rich_Kat	2
195	SpicyMeatballs	2
195	Kakolbus	2
195	Voxin2K	2
195	Chrisdeadeye	2
195	fred870d	2
195	Jiminie	2
195	Segotep999	2
195	stellarjay	2
195	PortlyPete69	2
195	trexgb	2
207	Bandito_Roamer	1
207	error10101	1
207	jimintyy	1
207	MSK__	1
207	BobDeBouwer1337	1
207	Awyrlas	1
207	fade_emerge78823	1
207	Xalithia	1
207	Stiar	1
207	killmeiamtraitor	1
207	andy_rex	1
207	Donutt	1
207	BronkerBrum	1
207	epiksk8erduck	1
207	Joestra	1
207	NomadicRobin_	1
207	Lutres_Torane	1
207	MAns_44	1
207	Nycteus_	1
207	Xclax101	1
207	Factoroni	1
207	Dusk_95	1
207	jologsimp	1
207	ProbsNotNova	1
207	Hylo482y	1
207	2blox	1
207	FishisTTV	1
207	h2p_emrld	1
