rank	username	minecraft:picked_up/minecraft:oak_door
1	Legendosh	4093
2	_Nuf	2120
3	Cocoamallows	173
4	FreakGenius	147
5	joethahobo	130
6	lizardfightclub	107
7	lcvezra	93
8	Mahoose	84
9	Lez_	82
10	himak1	78
11	Di_infiri	72
12	crying_wolf_13	71
13	HellsSponge	70
14	OrewaSora	67
15	EveryonesUncle	65
16	beeperbeeper5	64
16	Onennon	64
18	YungMaki	53
19	El_Jalapeno	52
20	Akoot_	46
20	BumbleBeever	46
22	EMC_	44
23	Ryan_GEMS	43
23	EcksD	43
25	noam464	42
26	pintsizedrogue	40
26	The11thDoctor	40
28	Kferno	38
28	PlasticOtari	38
30	Mr_Byzantine	37
30	kekhon	37
32	Euclidoris	34
33	mrnosetackle	32
34	ExtraDumb	31
34	TheShyPig	31
36	Jovaphobic	30
36	ShedJr_	30
36	Paintz	30
36	AdmiralSmoke	30
36	diggydog67	30
41	sufjanlover	29
41	SvenskaHugo	29
43	Blackberry1310	27
43	IAmTheWalrus910	27
43	voiding_	27
46	Alteriity	26
46	Jackattack53	26
46	Xclax101	26
49	Hermanni__	25
49	Ezekson	25
51	Fullut	24
51	Syropatathe	24
51	TheEnderMan548	24
51	Spenduh	24
51	PncakeUniverse	24
56	eitanzaki	23
56	Gingayy	23
56	_Karmaa	23
56	Racengan	23
56	jnp_gaming	23
61	youhjjhhhjj	22
61	Natty	22
61	Huwulling	22
61	Whiterooster001	22
61	Z3braYTIL	22
61	QueenShuvi	22
67	Matemax	21
67	excelsionprime	21
67	set67	21
67	Eraxa	21
71	TinMaster	20
71	jacxhadow	20
71	Jakobo1337	20
71	hcb238	20
71	Vorlice	20
76	morgangauk	19
76	MattieHD	19
76	SeverianOfUrth	19
76	Enderxz3	19
80	Wooptey	18
80	TheSecondLord	18
80	MyNameIsJobo	18
80	Hyp3rion_	18
80	EngagedGrub41	18
80	Skippeh	18
80	Zoeyfortnite	18
87	Groovy_MoonBird	17
87	PhantomsGhost_	17
87	q_wq	17
87	bloodbiter	17
87	Zythose	17
87	luseis	17
87	Groundler	17
87	Luigipunch989	17
95	tsohomie	16
95	cheerytomato	16
95	Soap_Bender	16
95	DanTheBuilderino	16
95	Keeogwi	16
95	Airem_Core	16
95	Teebone15	16
102	ewsophie	15
102	CoffeeNoir	15
102	Sleepy_Time_	15
102	titanlax	15
102	Skylord_Luke	15
102	bpmm	15
102	LeonelSalamanca	15
102	SSytex_X	15
102	Eczbek	15
111	NatalieTW	14
111	jimbo61101jr	14
111	GingerNeutron	14
111	SHAOBADMAN	14
111	fw3xy74	14
111	Segotep999	14
111	SammiWolfGirl	14
111	laron58	14
111	MissCeleste7	14
120	seanitoo	13
120	LeauVox4921	13
120	xxPipperDipperxx	13
120	Rebytre	13
120	Inbefour	13
120	Dakar_	13
120	ProfessorDiaper	13
120	bndo	13
120	Kowcio_	13
129	Lepthymo	12
129	_Dean_123	12
129	BlueZabu	12
129	kars0n	12
129	ApophisNova	12
129	cichy096	12
129	RadarHz	12
129	smogfrog	12
129	MyNamaSheff	12
129	calamariclam_I	12
139	Jackster03	11
139	H72l9w	11
139	Minc_	11
