rank	username	minecraft:picked_up/minecraft:end_stone_brick_wall
1	12Magner05	1200
2	mwrty	242
3	fanofbands101	140
4	thewindmillman	116
5	PigDab	94
6	m_be9	73
7	eviltunix	65
7	Maenara	65
9	Di_infiri	52
10	AuroraValkyrie	28
11	Spacewardharpy7	26
12	_Virify_	24
13	Arceus1975	22
14	lordpipe	17
15	Deathkob	16
16	himak1	15
17	El_Jalapeno	10
18	TheShyPig	9
18	OG_Songsee	9
20	Mahoose	8
20	SwooshBoi	8
22	bigstankyy	7
23	joethahobo	6
24	Smoke____	4
25	500am	3
25	Blu3beast	3
27	ImpavidArcher	2
27	beeperbeeper5	2
27	claivin	2
27	Blaiku	2
27	PlasticOtari	2
32	Fullut	1
32	godipose	1
