rank	username	minecraft:picked_up/minecraft:music_disc_wait
1	Blu3beast	121
2	HellsSponge	88
3	Maenara	65
4	Soplight	58
5	kekhon	49
6	youhjjhhhjj	33
6	Mahoose	33
8	Inchef	32
9	ImpavidArcher	26
10	heckface	25
11	RobotMinion101	24
11	lcvezra	24
13	H72l9w	22
14	Merv__	18
14	Blackberry1310	18
14	YungMaki	18
17	claivin	16
18	12Magner05	15
19	fluddd	14
20	pintsizedrogue	13
20	eitanzaki	13
20	Fullut	13
20	_Bguette_	13
20	TechnoNinja64	13
25	Guillemet	12
25	alderban107	12
25	Ezekson	12
28	joethahobo	11
28	SteveCraftBlocks	11
28	_Dean_123	11
28	Akoot_	11
32	Inbefour	10
32	chipklip	10
32	layabout100	10
35	Eraxa	8
36	ShedJr_	7
36	TheSecondLord	7
36	surfinggiraffejp	7
36	SingedBread	7
36	Njensen7	7
36	Smoke____	7
42	chimpmunker	6
42	bloodbiter	6
42	ProfessorBee	6
42	Awyrlas	6
42	Di_infiri	6
42	Chromary	6
42	thewindmillman	6
42	Deodorante	6
42	NameGenerat0r	6
42	El_Jalapeno	6
42	Nagasaki_Riku	6
53	Groovy_MoonBird	5
53	PhantomsGhost_	5
53	beeperbeeper5	5
53	CruncyIsTaken	5
53	OtariCharlie	5
53	audiocracked	5
53	Razzgriz	5
53	Spenduh	5
53	jcool7	5
53	kinas45y5	5
63	Hpdinosaur	4
63	xxPipperDipperxx	4
63	MyNameIsJobo	4
63	Rumpletaezer	4
63	Arceus1975	4
63	Parcc	4
63	Voxin2K	4
63	Werbe	4
63	seramalen	4
63	EveryonesUncle	4
63	AssEatrAndLicker	4
63	SammiWolfGirl	4
63	CalebDHawk	4
63	oxfordschool	4
63	Legendosh	4
78	lewieinnit	3
78	Incinere	3
78	Auseawesome	3
78	mwrty	3
78	r123moore	3
78	Mobstr	3
78	Hyp3rion_	3
78	Bumpy419	3
78	Skylord_Luke	3
78	Lord_Jord	3
78	NomadicRobin_	3
78	godipose	3
78	DemTechAlpha	3
78	Karbl	3
78	Quaintster	3
78	Frozil12	3
78	Dreamdbr14	3
78	FishisTTV	3
96	MixerDixer	2
96	EMC_	2
96	KarlKaek	2
96	diamondgolem35	2
96	Dedalus36	2
96	ZaneABrain	2
96	Cryptacity	2
96	shyshyannne	2
96	Kkanot	2
96	eviltunix	2
96	ROY4LE	2
96	SellyZ	2
96	n2ckn2ck	2
96	KingEgg1	2
96	fr_ser	2
96	Jackattack53	2
96	ApophisNova	2
96	Onennon	2
96	epiksk8erduck	2
96	Gmoney390	2
96	thgrocks	2
96	Sky_light_KING	2
96	Racengan	2
96	sleep444	2
96	Kowcio_	2
96	stahouo	2
96	sebastiensaborio	2
96	MyNamaSheff	2
96	Sral7	2
96	JayToe	2
96	h2p_emrld	2
127	Mr_Byzantine	1
127	nataliecool	1
127	TildaAndrea	1
127	bigstankyy	1
127	SaucyDark	1
127	Sabby65	1
127	AES784	1
127	RebelAndroid	1
127	T045RTY	1
127	Natty	1
127	MOSS000	1
127	rarrq	1
127	Stynxy	1
127	Prodiginus	1
127	500am	1
127	CyrusIsTired	1
127	slkiey	1
127	set67	1
127	Flapjacker687	1
127	Scathra	1
127	beeleg	1
127	gcaisawesome	1
127	noam464	1
127	TheDankPlatypus	1
127	Avrelion	1
127	SuperPooch06	1
127	impossibleteapot	1
127	drompje	1
127	Infernowithazero	1
127	selectrix	1
127	MinerDec	1
127	TTNG	1
127	sammidk	1
127	sxc_	1
127	RodSerlingCringe	1
127	ILoveCarrot	1
127	wezzzi	1
127	AlphaWolfPlaysMC	1
127	yulgur1	1
127	DTwenty	1
127	wobn	1
127	lillips	1
127	The_slideV3	1
127	Freak_Genius	1
127	Nycteus_	1
127	Blaiku	1
127	monky_irl	1
127	Dusk_95	1
127	TheTommyGun63	1
127	sp00ky_ghost977	1
127	SexcMf	1
127	sadvavilloso	1
127	Kijiki	1
127	aywri	1
127	_TCARREIRA_	1
127	obzii	1
127	fffMike	1
127	_3Stump_	1
127	Hermanni__	1
127	Enderslayerxz3	1
127	jnp_gaming	1
127	MeetTheWollo	1
127	Powowowow	1
