rank	username	minecraft:picked_up/minecraft:brown_candle
1	500am	96
2	thewindmillman	35
3	Huwulling	16
3	Enderxz3	16
5	Soplight	13
6	Mr_Byzantine	10
6	Mattesco	10
8	Pumpkin_P_Patch	9
9	Mahoose	7
10	_Huge_Male_	4
11	k_ce	3
11	skroobiez	3
11	beeperbeeper5	3
11	Secret_Canary	3
11	Kowcio_	3
11	Jimb0nat0r	3
17	j5ylim	2
17	myaccountwasgone	2
17	Blackberry1310	2
17	crashomon	2
17	RebytreGT	2
17	Samificator	2
17	pixelviolin	2
24	pintsizedrogue	1
24	joethahobo	1
24	Akoot_	1
24	XxCookiequeenxX	1
24	pretty_pink_reno	1
24	lordpipe	1
24	FiguraDei	1
