rank	username	minecraft:picked_up/minecraft:black_glazed_terracotta
1	QuiCreans	1065
2	ooga47	981
3	ImpavidArcher	675
4	Yamdalorian	431
5	emreknugrlu	315
6	YungMaki	279
7	TheShyPig	222
8	Crowman1	176
9	lordpipe	168
10	noam464	154
11	Lez_	152
12	ZoomieZoomie	146
13	k_ce	142
14	U_Mos_	135
15	AnnieBathory	111
16	PaperCanvas	102
17	Jackattack53	101
18	_Virify_	76
19	Inbefour	69
20	Spacewardharpy7	59
21	Prismyst	51
22	Mahoose	38
23	Mr_Byzantine	37
24	RebytreGT	35
25	Hyp3rion_	34
26	djancak	32
27	beeperbeeper5	27
28	luseis	24
28	FreakGenius	24
30	Secret_Canary	22
30	crashomon	22
32	Hiryu27	19
32	StinkyDiplomat	19
34	FiguraDei	18
35	Soplight	17
36	Inchef	16
36	Elastiq	16
38	Kowcio_	13
39	Krowuss	12
39	Blaiku	12
39	OG_Songsee	12
39	EcksD	12
43	Optiprimus	10
43	Quotary	10
45	jnp_gaming	9
46	Alteriity	8
46	monky_irl	8
48	pixelviolin	7
48	Pumpkin_P_Patch	7
48	laron58	7
48	Iamthejo	7
48	h2p_emrld	7
53	rarrq	6
53	Eraxa	6
53	skitzxo	6
56	Blackberry1310	5
56	Di_infiri	5
58	Frozil20	4
58	jushykins	4
58	gloryoftherain	4
58	SammiWolfGirl	4
62	Huwulling	3
62	kekhon	3
62	bbquakes	3
62	Akoot_	3
62	Steelynan	3
62	ConnorDanky_	3
62	aubergined	3
69	j5ylim	2
69	eitanzaki	2
69	TheSecondLord	2
69	ReSynced	2
69	OverallConcept	2
69	Enderxz3	2
69	TechnoNinja64	2
76	teslawolf38	1
76	MrExplorer	1
76	_Dean_123	1
76	Fullut	1
76	Nach0Bear	1
76	ROY4LE	1
76	r123moore	1
76	Phroni	1
76	bl1ss0	1
76	__Fanda__	1
76	SonicRainBow_	1
76	Macho_Tacos	1
76	ItsDeltaMC	1
76	ArborTigress	1
76	CalebDHawk	1
