rank	username	minecraft:picked_up/minecraft:stripped_birch_log
1	Legendosh	2868
2	tuckerdoodle	2659
3	SpacesickPrism	2423
4	AlexxO_o	2342
5	Spacewardharpy7	1716
6	Mahoose	1333
7	EMC_	937
8	PortlyPete69	856
9	Smoke____	726
10	El_Jalapeno	713
11	xolstoi	584
12	kekhon	581
13	pintsizedrogue	559
14	Soplight	553
15	TheShyPig	482
16	Ezekson	434
17	ooga47	411
18	PazinGaming	336
19	DarkS0L	324
20	Groundler	287
21	SvenskaSara	270
22	Stiar	264
23	Steelynan	256
24	Di_infiri	250
25	MyNameIsJobo	241
26	Blackberry1310	224
26	Onennon	224
28	Deerfoot	222
29	Quotary	207
30	Mr_Byzantine	206
30	ImpavidArcher	206
30	Werbe	206
33	ratglock	191
33	_Karmaa	191
35	_Dean_123	189
35	eiC_	189
35	IamCL4SSY	189
38	500am	186
39	PlasticOtari	182
40	__Fanda__	168
41	Diavri	165
42	jnp_gaming	157
43	EveryonesUncle	142
44	Malorn_Aetherius	135
45	ShedJr_	132
45	brofrickcheaters	132
47	SyntheticSurgeon	124
48	Rebytre	122
49	eitanzaki	117
50	Deathkob	115
51	Kowcio_	113
52	EcksD	110
53	Killercatty78	109
53	FreakGenius	109
55	Cowison	105
56	Alteriity	104
57	Snowflowe	100
58	KarlKaek	95
59	SuperPooch06	94
59	Zythose	94
61	_Virify_	90
62	Merv__	84
63	lcvezra	80
64	EtherealEspresso	78
65	Fullut	73
66	Akoot_	72
67	ZoomieZoomie	68
68	mwrty	66
68	noam464	66
70	bigstankyy	64
71	CoffeeNoir	62
71	NameGenerat0r	62
71	Blu3beast	62
74	Eraza	61
74	lordpipe	61
76	rarrq	57
76	Jij0	57
78	Hpdinosaur	56
79	Ozixar	53
80	_Cloverbelle_	52
80	Leyna3	52
82	whoaluv	47
83	joethahobo	45
83	Enderxz3	45
85	Meatlaugh	43
86	PizzaJake	41
86	Eraxa	41
88	2Stout	40
89	Arceus1975	39
90	shyshyannne	37
91	parodypatient	36
91	Luigipunch989	36
93	beeperbeeper5	34
94	luseis	33
95	M_Patata	31
96	TheBiggestFeller	28
97	CollinMH06	26
97	DarlaMeow	26
97	pixelviolin	26
100	ConnorDanky_	24
101	TechnoNinja64	22
102	spellmre	20
102	ougstur	20
102	tompup	20
105	NotMeanttoChange	19
105	KeruNatsema	19
105	KingMatthew506	19
108	LeauVox4921	18
108	DemTechAlpha	18
110	Burge_r	17
110	2bolx_	17
110	PA_Tech_Gaming	17
113	thewindmillman	16
113	anbbang	16
115	Kirrow	15
116	Nicky_H225	14
116	12Magner05	14
116	blimpeey	14
119	6king6colt6	13
119	r123moore	13
119	Giannism	13
119	burbankbuilder28	13
119	Dusk_95	13
119	HesDemonPants	13
125	BlancoFlaco	12
125	SteveCraftBlocks	12
125	Kynigito	12
125	KlausVonStiglitz	12
125	LokisCharredFace	12
125	Typadopoulos	12
131	fr0stss	11
131	PegLegPete93	11
131	Human_Resource	11
131	SingedBread	11
131	stellarjay	11
131	Lowjinx	11
131	UrbanPlanningEx	11
138	Sleek_Storm_721	10
138	livingdaydreams	10
138	TheSecondLord	10
138	CarltheCuck	10
138	Felenov	10
138	DC_XII	10
138	Inbefour	10
138	Racengan	10
138	Mythic1130	10
138	07shiny	10
138	CattSoup	10
138	smogfrog	10
150	eli_tschki	9
150	_Bguette_	9
150	gusstationwerker	9
153	surfinggiraffejp	8
153	JitteryJared2	8
153	OffWithTheirHead	8
153	infiniteQuery	8
153	Jimb0nat0r	8
153	DkansK	8
159	Groovy_MoonBird	7
159	The_slideV3	7
159	Leeeegend	7
159	ItsDeltaMC	7
163	Travasaur	6
163	_Huge_Male_	6
163	Wooptey	6
163	Lez_	6
163	nocturne78	6
163	Ssor69	6
163	eviltunix	6
163	Chazama	6
163	purpolepickle	6
163	Chromary	6
163	Hiryu27	6
174	chipklip	5
174	Ailmast	5
174	Franco093	5
174	Simon_Lowell	5
174	Cryptacity	5
174	Truckoss	5
174	Zielo2017PL	5
174	sxc_	5
174	Katsuragi0243218	5
174	HellsSponge	5
174	Optiprimus	5
174	SammiWolfGirl	5
174	c0la_c0ca	5
174	knzil	5
174	trexgb	5
174	h2p_emrld	5
190	DermeinUser	4
190	Rasmanden	4
190	groofles	4
190	claivin	4
190	YungMaki	4
195	jessewegottacook	3
195	heckface	3
195	Comma__	3
195	Dali1465	3
195	XboxPanda	3
195	HyperCave	3
195	Kokeech	3
195	MightyWertu	3
195	BumbleBeever	3
195	OG_Songsee	3
195	ayamefag	3
195	Vellu21	3
207	PhantomsGhost_	2
207	fanofbands101	2
207	ExtraDumb	2
207	Kuragari_	2
207	LoboTheLobster	2
207	redikul	2
207	Masssonnn	2
207	Awyrlas	2
207	Touched_Bread	2
207	MitexFTW	2
207	adeptius	2
207	Jackattack53	2
207	Jonafrog99	2
207	WET_WET_WET	2
207	MangoTheFish	2
207	kars0n	2
207	Mpkkiller	2
207	grislgrobl	2
207	ZA07	2
207	Wowful	2
207	yulgur1	2
207	Fuhrer_Teemo	2
207	lillips	2
207	Tyrannosplart	2
207	weabis	2
207	Yahir091	2
207	MovingFish7	2
207	CornOnTheCobalt	2
207	Sank34	2
207	xzvu	2
207	jcool7	2
207	ThisUserIsStump	2
207	Eczbek	2
207	VentiHilton	2
207	cichy096	2
207	vandmanden	2
243	Bandito_Roamer	1
243	Skyler_Diablo	1
243	dabloons	1
243	teslawolf38	1
243	q_wq	1
243	Tommhh	1
243	Frozil20	1
243	_Razaria	1
243	Incinere	1
243	T045RTY	1
243	AlazelTheReal	1
243	ThiccExotic	1
243	MrKrabOnCoke	1
243	MrMattyPatt	1
243	Prodiginus	1
243	Zedducius	1
243	aFrogThatExists	1
243	MattieHD	1
243	_Nuf	1
243	FemboyFwuit	1
243	AngalexikCZ	1
243	thescout7	1
243	Mariopreeet	1
243	IforgotCS_Source	1
243	ROY4LE	1
243	xxPipperDipperxx	1
243	Zaridey	1
243	Kakolbus	1
243	BlueZabu	1
243	Winklepicker279	1
243	ibarker21	1
243	GreedyFern8581	1
243	TheWildMateo	1
243	seramalen	1
243	Mattesco	1
243	jewbacaman	1
243	LilLizardWizard	1
243	Jimi7hits	1
243	SaintJosie	1
243	Maenara	1
243	ADEXTV	1
243	stuy9	1
243	natajimi	1
243	Russiancat1	1
243	thechoosenone69	1
243	The_Quack_Dealer	1
243	MyNameIsDakar	1
243	BigCronkin	1
243	Blaiku	1
243	Warlord324	1
243	Vorlice	1
243	Airem_Core	1
243	Godspirit249	1
243	radioactv_jelly	1
243	IAmTheWalrus910	1
243	PabloGonza02	1
243	rejenita	1
243	sadvavilloso	1
