rank	username	minecraft:picked_up/minecraft:music_disc_mellohi
1	Kura2218	207
2	Blu3beast	92
3	HellsSponge	85
4	TechnoNinja64	83
5	Blackberry1310	80
6	eitanzaki	61
7	kekhon	39
8	Nicserso	33
9	pintsizedrogue	31
10	Inchef	23
11	joethahobo	22
11	H72l9w	22
13	youhjjhhhjj	20
13	claivin	20
13	Soplight	20
16	_Bguette_	19
17	sammidk	18
18	500am	17
18	Fullut	17
20	Mahoose	14
20	Guillemet	14
20	fluddd	14
20	YungMaki	14
20	Steelynan	14
25	bloodbiter	13
25	Akoot_	13
27	SmashingPump	12
27	T045RTY	12
27	Skylord_Luke	12
27	Tyrannosplart	12
27	Eraxa	12
27	CalebDHawk	12
33	ImpavidArcher	11
33	PlasticOtari	11
35	beeperbeeper5	10
35	Chromary	10
35	RobotMinion101	10
35	SammiWolfGirl	10
39	ProfessorBee	9
39	surfinggiraffejp	9
39	Werbe	9
39	Kijiki	9
43	Prismyst	8
43	_Dean_123	8
43	Kkanot	8
43	fw3xywashere	8
43	luseis	8
48	PhantomsGhost_	7
48	Hpdinosaur	7
48	heckface	7
48	Hyp3rion_	7
48	Maenara	7
48	NameGenerat0r	7
48	Quaintster	7
48	ediballbearings	7
48	Njensen7	7
57	Merv__	6
57	KarlKaek	6
57	ApophisNova	6
57	Drewen24	6
57	NomadicRobin_	6
57	DarlaMeow	6
57	Blaiku	6
57	Spacewardharpy7	6
57	MyNamaSheff	6
57	xolstoi	6
67	Prodiginus	5
67	TheSecondLord	5
67	ROY4LE	5
67	xxPipperDipperxx	5
67	Rumpletaezer	5
67	Bumpy419	5
67	FreakGenius	5
67	El_Jalapeno	5
67	Kowcio_	5
76	teslawolf38	4
76	Frozil20	4
76	diamondgolem35	4
76	ShedJr_	4
76	rarrq	4
76	SteveCraftBlocks	4
76	r123moore	4
76	Smussa	4
76	Onennon	4
76	TheShyPig	4
76	yulgur1	4
76	MAns_44	4
76	SingedBread	4
89	Jovaphobic	3
89	Groovy_MoonBird	3
89	MixerDixer	3
89	Huwulling	3
89	jessewegottacook	3
89	Swexti	3
89	12Magner05	3
89	_HoneySlime_	3
89	CyrusIsTired	3
89	switchNat	3
89	mwrty	3
89	Awyrlas	3
89	Arceus1975	3
89	thgrocks	3
89	ese_wn_po	3
89	lillips	3
89	GravitySaint	3
89	Airem_Core	3
89	Cocoamallows	3
89	gusstationwerker	3
89	xzvu	3
89	lcvezra	3
89	alderban107	3
89	ConnorDanky_	3
89	Enderxz3	3
89	Legendosh	3
115	FazeObama69	2
115	hm947	2
115	Euclidoris	2
115	m_be9	2
115	catandmoose	2
115	set67	2
115	gcaisawesome	2
115	noam464	2
115	Bolete	2
115	prizm_	2
115	Jackattack53	2
115	SuperPooch06	2
115	hanaryheatwave	2
115	TheWildMateo	2
115	epiksk8erduck	2
115	ILoveCarrot	2
115	AlphaWolfPlaysMC	2
115	Inbefour	2
115	DTwenty	2
115	EveryonesUncle	2
115	DarkS0L	2
115	Meatlaugh	2
115	RoofTyler	2
115	Godspirit249	2
115	AssFullaCum	2
115	PortlyPete69	2
115	fffMike	2
115	Dreamdbr14	2
115	ThisUserIsStump	2
115	jnp_gaming	2
115	Yahrto	2
115	FishisTTV	2
147	MuffinManzz	1
147	lewieinnit	1
147	TildaAndrea	1
147	xXTheWolfmanXx	1
147	Esme_1	1
147	AES784	1
147	RebelAndroid	1
147	Natty	1
147	FirsTimeGamingTV	1
147	QuakerOatsGod	1
147	Cryptacity	1
147	BobDeBouwer1337	1
147	Megarboh	1
147	Kamflame10	1
147	lorpus	1
147	eviltunix	1
147	Resner	1
147	Touched_Bread	1
147	TheDankPlatypus	1
147	Winklepicker279	1
147	gabriels543	1
147	corpsecity	1
147	WET_WET_WET	1
147	wTXop	1
147	JitteryJared2	1
147	Rebytre	1
147	seramalen	1
147	MinerDec	1
147	AlexxO_o	1
147	DC_XII	1
147	FishyBoy3811	1
147	ZA07	1
147	halfwayup	1
147	SaintJosie	1
147	IamCL4SSY	1
147	wezzzi	1
147	NoChumpChange	1
147	the_russell1611	1
147	godipose	1
147	StinkyDiplomat	1
147	weabis	1
147	FlashMigma	1
147	Nycteus_	1
147	ProfessorDiaper	1
147	monky_irl	1
147	Dusk_95	1
147	Razzgriz	1
147	Burge_r	1
147	TheEnderMan548	1
147	Decaying_Lotus	1
147	pixelviolin	1
147	yatsuta	1
147	tsitrawhy	1
147	Professor_x8	1
147	_TCARREIRA_	1
147	_Yonk_	1
147	annoyingenderman	1
147	J03K	1
147	Hermanni__	1
147	TheOuterCore	1
147	Ezekson	1
147	HesDemonPants	1
147	bladeefan2009	1
147	JayToe	1
147	Smoke____	1
