rank	username	minecraft:picked_up/minecraft:bell
1	YungMaki	275
2	500am	267
3	Soplight	184
4	eitanzaki	129
5	FreakGenius	115
6	PhantomsGhost_	104
7	Tyrannosplart	95
8	Mahoose	90
9	Mattesco	73
10	kekhon	69
11	EveryonesUncle	68
12	pixelviolin	66
13	xolstoi	64
14	noam464	54
15	claivin	47
16	Ezekson	46
17	beeperbeeper5	45
18	Legendosh	41
19	ROY4LE	40
20	pintsizedrogue	38
21	Onennon	37
21	SaintJosie	37
23	Nicserso	35
24	Akoot_	34
24	PlasticOtari	34
26	HellsSponge	33
26	RealGroot	33
28	TheSecondLord	30
28	12Magner05	30
28	Fullut	30
28	Kakolbus	30
28	Skippeh	30
33	Merv__	27
34	El_Jalapeno	25
35	SaucyDark	23
35	TechnoNinja64	23
37	thewindmillman	22
38	Jackattack53	21
39	burbankbuilder28	20
39	trexgb	20
41	legal_tax_evader	19
41	Di_infiri	19
43	Blackberry1310	18
43	TheShyPig	18
43	Kowcio_	18
46	DarlaMeow	17
46	vandmanden	17
48	ImpavidArcher	16
48	lorpus	16
48	SuperPooch06	16
48	Werbe	16
48	wezzzi	16
48	Steelynan	16
54	Hyp3rion_	15
54	Shiirazu	15
56	SmashingPump	14
56	Kouridragon	14
56	fluddd	14
56	djancak	14
56	jnp_gaming	14
61	EMC_	13
61	Lez_	13
61	emrekn	13
61	RoofTyler	13
61	Blu3beast	13
61	Xclax101	13
67	Hpdinosaur	12
67	Guillemet	12
67	mwrty	12
67	pappaberg	12
67	THEKINGLyric10	12
67	Hisiste	12
67	MirielThePastor	12
74	Cryptacity	11
74	Chromary	11
74	luseis	11
74	Blaiku	11
74	Eraxa	11
74	jcool7	11
80	Wooptey	10
80	Historical_Sand	10
80	2Stout	10
80	Maenara	10
80	Fuad_R	10
80	NameGenerat0r	10
80	EcksD	10
80	Smoke____	10
88	Bandito_Roamer	9
88	fanofbands101	9
88	joethahobo	9
88	Frxnkz	9
88	SHAOBADMAN	9
88	Spacewardharpy7	9
88	xzvu	9
88	Jimb0nat0r	9
96	Euclidoris	8
96	ProfessorBee	8
96	Bumpy419	8
96	wwwwinnebagoooo	8
96	KingMatthew506	8
101	q_wq	7
101	TylerDupree	7
101	RobotMinion101	7
101	audiocracked	7
101	Deathkob	7
101	_Karmaa	7
101	bluefragmentt	7
101	AssFullaCum	7
101	LeEricc	7
110	KarlKaek	6
110	corvidpartyfor6	6
110	_Dean_123	6
110	Enigma0251	6
110	thescout7	6
110	Xalithia	6
110	TheDankPlatypus	6
110	BlueZabu	6
110	gabriels543	6
110	The11thDoctor	6
110	Kim_Jong_eel	6
110	WyngGoy	6
110	TheOuterCore	6
123	6king6colt6	5
123	Rumpletaezer	5
123	lillips	5
123	Racengan	5
123	Dusk_95	5
123	stellarjay	5
123	little_dUki	5
130	diamondgolem35	4
130	Zipdrip	4
130	ITDV	4
130	jessewegottacook	4
130	Stynxy	4
130	titanlax	4
130	Secret_Canary	4
130	lordsaladito	4
130	Smashic	4
130	TableTim	4
130	AnnieBathory	4
130	Solar_Power	4
130	Felenov	4
130	TheSeismicDuck	4
130	Inbefour	4
130	ayamefag	4
130	SvenskaHugo	4
130	gusstationwerker	4
130	SammiWolfGirl	4
130	bieeee	4
130	Powowowow	4
130	bladeefan2009	4
152	SugarMyNuggets	3
152	Groovy_MoonBird	3
152	Mr_Byzantine	3
152	Frozil20	3
152	TooManyDuck	3
152	JokoFiskare	3
152	Incinere	3
152	Jahara	3
152	Vizzoid	3
152	Ozixar	3
152	ratglock	3
152	crying_wolf_13	3
152	Awyrlas	3
152	PegLegPete93	3
152	Inchef	3
152	eviltunix	3
152	HypixelForums	3
152	Paintz	3
152	CharlieButt	3
152	Arceus1975	3
152	Skylord_Luke	3
152	ApophisNova	3
152	F_Uhre	3
152	CarryLine	3
152	NoobSlayerPro	3
152	fkGrim	3
152	Groundler	3
152	BumbleBeever	3
152	VilsSwag	3
152	sp00ky_ghost977	3
152	SSytex_X	3
152	NATE_the_HALO	3
152	fffMike	3
152	Eczbek	3
152	Vellu21	3
152	MyNamaSheff	3
152	Enderxz3	3
152	2bolx_	3
190	Louiis123	2
190	RoskobiOne	2
190	_stets	2
190	Hyugo	2
190	DinoDoctor_	2
190	NinjaKnifeKill	2
190	Sleepy_Time_	2
190	rarrq	2
190	Crowman1	2
190	tortillatitan	2
190	Tmb1	2
190	UncreativeArtist	2
190	theonlymagikarp	2
190	ARandomHedge	2
190	M_Patata	2
190	SeverianTheLame	2
190	Windo_licker	2
190	King_Pancake1	2
190	MustardDrinker	2
190	KartivGal	2
190	Moofyman	2
190	victorLIE	2
190	IamCL4SSY	2
190	NomadicRobin_	2
190	Lord_Zacler	2
190	Thomez_	2
190	GigaSl	2
190	JESS_THE_RERE	2
190	The_slideV3	2
190	Shogunite	2
190	DanTheBuilderino	2
190	Quaintster	2
190	MAns_44	2
190	Cyntrical	2
190	Barlycorn	2
190	MasterNueve	2
190	CheifJumbo	2
190	IdeallyGrey	2
190	Luigipunch989	2
190	HAruSAme14	2
190	Dogcorn69420	2
190	Sheldor097	2
190	VentiHilton	2
190	ConnorDanky_	2
190	imaginek1d	2
190	diggydog67	2
236	H0UNDFRMH3LL	1
236	heysushii	1
236	SyK7	1
236	Harotio	1
236	abramgray	1
236	soundad	1
236	TildaAndrea	1
236	KingFaenor	1
236	Sleek_Storm_721	1
236	Creativebuilder2	1
236	_Razaria	1
236	RebelAndroid	1
236	Ryker	1
236	youhjjhhhjj	1
236	Alteriity	1
236	Huwulling	1
236	Myrlewen	1
236	ShedJr_	1
236	SpaceGrenadier	1
236	gaziter10	1
236	IWorkAtIkea	1
236	SquadMonster	1
236	InfernalMound	1
236	Malorn_Aetherius	1
236	Comma__	1
236	Megarboh	1
236	Lumien_	1
236	Scattman_	1
236	redikul	1
236	Kamflame10	1
236	gcaisawesome	1
236	r123moore	1
236	olliebollie48	1
236	Kubelz	1
236	ImDisconnected_	1
236	CollinMH06	1
236	nitram49b	1
236	whoaluv	1
236	wTXop	1
236	Ebsen05	1
236	_Boipl_	1
236	thebaddruid	1
236	WarMachina	1
236	rosswellcrash	1
236	Smussa	1
236	jewbacaman	1
236	MonitorLizards	1
236	aec9	1
236	Huic_ostiarius	1
236	Rasmanden	1
236	Leyna3	1
236	Klerick	1
236	wirelesstree	1
236	ogoa	1
236	natajimi	1
236	DTwenty	1
236	NYJ	1
236	KlausVonStiglitz	1
236	balin55	1
236	Meatlaugh	1
236	weabis	1
236	SingedBread	1
236	LordAurum	1
236	__Auspicious	1
236	DarkLawD	1
